elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
9.65,4.184092,2.666667
19.23,4.085475,2.975064
26.94,4.115421,3.010819
38.4,4.081374,2.888216
43.86,4.088228,2.864785
50.79,4.103641,2.940086
60.7,4.105392,2.879898
65.9,4.07232,2.859026
69.45,4.051853,2.851628
75.95,4.045822,2.817644
86.57,4.084542,2.799123
90.0,4.074418,2.794075
94.75,4.069396,2.799841
98.05,4.045684,2.803518
101.24,4.053155,2.801116
108.12,4.031067,2.766046
116.15,4.046314,2.766857
118.89,4.047837,2.792396
129.98,4.058542,2.796983
136.6,4.068413,2.787437
141.89,4.071376,2.81711
146.3,4.08156,2.843723
156.32,4.08522,2.800324
163.14,4.074219,2.766867
168.01,4.072893,2.76203
172.69,4.082966,2.775254
179.19,4.086906,2.759224
183.6,4.09711,2.775301
