elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
9.09,4.259552,4.0
12.57,4.29473,3.980225
19.22,4.340234,3.81407
21.55,4.359854,3.82216
25.94,4.377479,3.77704
32.32,4.370328,3.747027
39.11,4.330378,3.766145
41.5,4.348112,3.754017
44.09,4.338054,3.773807
49.63,4.365233,3.828823
54.03,4.356075,3.851812
63.32,4.314078,3.806864
70.42,4.311419,3.772047
71.97,4.309996,3.775162
74.82,4.309391,3.792191
78.47,4.291824,3.770848
81.62,4.258981,3.768113
84.4,4.258111,3.762576
86.09,4.261823,3.758824
87.84,4.261815,3.752007
91.59,4.259109,3.745783
93.68,4.268485,3.751455
96.48,4.27351,3.747059
99.32,4.271335,3.728557
105.77,4.256219,3.699374
107.67,4.261118,3.711466
109.97,4.263001,3.714886
117.07,4.268549,3.717016
119.87,4.269323,3.708054
123.91,4.256322,3.715064
126.75,4.252496,3.723316
131.34,4.246717,3.712017
133.63,4.251844,3.712278
138.72,4.231196,3.697433
145.26,4.225707,3.67166
149.5,4.218213,3.659702
152.05,4.220832,3.6587
154.18,4.221778,3.65881
156.82,4.225683,3.661493
160.17,4.221747,3.655702
163.56,4.223205,3.651678
167.8,4.222192,3.645319
170.48,4.226794,3.650894
173.82,4.230816,3.659524
176.57,4.230194,3.660579
179.52,4.225148,3.66287
181.97,4.227576,3.665913
