seconds,mos_pred_concat,mos_target_concat_durw
4.41,4.357354,3.428571
10.91,4.277011,2.776046
15.59,4.24434,2.918324
20.46,4.212296,2.842555
27.28,4.127792,2.631916
37.3,4.125136,2.506935
41.71,4.137521,2.633078
47.0,4.140201,2.740032
53.62,4.139708,2.722743
64.71,4.018584,2.743893
67.45,4.005244,2.789842
75.48,4.015774,2.788559
82.36,3.980267,2.74357
85.55,3.970517,2.742962
88.85,3.937723,2.749132
93.6,3.940227,2.75725
97.03,3.910175,2.754048
107.65,3.900939,2.745427
114.15,3.872195,2.728864
117.7,3.86344,2.728424
122.9,3.852158,2.723641
132.81,3.838374,2.712283
139.74,3.824718,2.747215
145.2,3.793786,2.74544
156.66,3.756939,2.734801
164.37,3.719983,2.751931
173.95,3.697985,2.781328
183.6,3.624011,2.775301
