block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw
0.0,5.0,2.5,3.934463,3.840329
5.0,10.0,7.5,4.172071,3.931691
10.0,15.0,12.5,4.228921,3.63237
15.0,20.0,17.5,4.191613,3.461538
20.0,25.0,22.5,3.76371,3.384615
25.0,30.0,27.5,4.285463,3.698087
30.0,35.0,32.5,3.808661,3.25
35.0,40.0,37.5,3.960316,3.125
40.0,45.0,42.5,3.630699,3.307692
45.0,50.0,47.5,4.218328,3.727273
50.0,55.0,52.5,3.870987,3.4
55.0,60.0,57.5,3.73832,3.989229
60.0,65.0,62.5,4.26305,3.632155
70.0,75.0,72.5,4.428824,4.10554
75.0,80.0,77.5,3.99821,3.25
80.0,85.0,82.5,4.075228,3.1
85.0,90.0,87.5,4.445646,3.770961
90.0,95.0,92.5,4.014978,3.541667
95.0,100.0,97.5,4.151695,3.589198
100.0,105.0,102.5,3.642357,3.503186
105.0,110.0,107.5,4.078301,4.222222
110.0,115.0,112.5,4.325299,3.543093
115.0,120.0,117.5,3.980059,3.545455
125.0,130.0,127.5,4.185925,4.111111
130.0,135.0,132.5,4.501121,4.266667
135.0,140.0,137.5,4.015347,4.090909
140.0,145.0,142.5,4.112207,3.778625
145.0,150.0,147.5,4.233007,3.625
155.0,160.0,157.5,4.341424,3.555556
160.0,165.0,162.5,4.486157,3.600903
165.0,170.0,167.5,4.298726,3.928571
170.0,175.0,172.5,4.011301,4.0
