seconds,mos_pred_concat,mos_target_concat_durw
6.61,3.637256,3.75
12.53,3.818303,3.524505
20.06,3.712676,3.293495
25.42,3.714825,3.361367
27.56,3.743527,3.375662
34.13,3.740507,3.423659
37.68,3.745434,3.390992
43.69,3.785095,3.350963
45.8,3.801936,3.369346
52.32,3.759902,3.379964
54.2,3.764209,3.38165
58.07,3.794688,3.356215
60.39,3.789626,3.328124
65.37,3.748461,3.280272
71.39,3.712172,3.237179
73.99,3.716651,3.269841
79.44,3.673586,3.279914
82.51,3.709563,3.296559
87.92,3.682401,3.333691
96.05,3.677682,3.364696
108.45,3.684358,3.279021
114.07,3.679295,3.265274
122.46,3.64612,3.252809
127.77,3.668977,3.246081
130.15,3.667976,3.255647
133.62,3.644845,3.277338
136.83,3.666178,3.294292
140.53,3.666195,3.290932
146.54,3.654239,3.297642
149.33,3.649945,3.293949
152.27,3.647647,3.295295
156.3,3.643787,3.296276
161.85,3.64359,3.294689
165.01,3.652794,3.289045
168.28,3.663039,3.279896
171.6,3.676841,3.266419
174.97,3.674034,3.282688
177.74,3.672649,3.288672
182.28,3.674346,3.288954
