block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,4.468769,4.875,1.0,1,1.0
1.0,2.0,1.5,3.943621,4.826719,1.0,2,1.0
2.0,3.0,2.5,4.152323,4.25,1.0,1,1.0
3.0,4.0,3.5,4.25982,4.25,1.0,1,1.0
4.0,5.0,4.5,4.329139,4.25,1.0,1,1.0
5.0,6.0,5.5,4.013838,4.25,1.0,1,1.0
6.0,7.0,6.5,4.0025,4.25,1.0,2,1.0
7.0,8.0,7.5,4.395032,4.25,1.0,1,1.0
8.0,9.0,8.5,4.377989,4.25,1.0,1,1.0
9.0,10.0,9.5,4.086469,4.25,1.0,1,1.0
10.0,11.0,10.5,4.278956,4.25,1.0,1,1.0
11.0,12.0,11.5,4.241111,4.25,1.0,1,1.0
12.0,13.0,12.5,4.245164,4.25,1.0,1,1.0
13.0,14.0,13.5,4.263519,4.25,1.0,1,1.0
14.0,15.0,14.5,4.319768,4.25,1.0,1,1.0
15.0,16.0,15.5,4.264836,4.25,1.0,1,1.0
16.0,17.0,16.5,4.35015,4.406891,1.0,2,1.0
17.0,18.0,17.5,3.397249,4.625,1.0,1,1.0
18.0,19.0,18.5,2.212518,4.625,1.0,1,1.0
19.0,20.0,19.5,1.43754,4.625,1.0,1,1.0
20.0,21.0,20.5,4.404543,4.625,1.0,1,1.0
21.0,22.0,21.5,4.431875,3.784891,1.0,2,1.0
22.0,23.0,22.5,2.219484,3.75,1.0,1,1.0
23.0,24.0,23.5,2.219484,3.75,1.0,1,1.0
24.0,25.0,24.5,3.275269,3.75,1.0,1,1.0
25.0,26.0,25.5,4.196069,3.75,1.0,1,1.0
26.0,27.0,26.5,4.190209,3.75,1.0,1,1.0
27.0,28.0,27.5,4.31066,4.018922,1.0,2,1.0
28.0,29.0,28.5,4.373659,4.5,1.0,1,1.0
29.0,30.0,29.5,4.280437,4.5,1.0,1,1.0
30.0,31.0,30.5,2.956987,4.5,1.0,1,1.0
31.0,32.0,31.5,2.225304,4.5,1.0,1,1.0
32.0,33.0,32.5,2.225304,4.5,1.0,1,1.0
33.0,34.0,33.5,1.19184,4.5,1.0,1,1.0
34.0,35.0,34.5,4.300622,4.5,1.0,1,1.0
35.0,36.0,35.5,4.320328,4.5,1.0,1,1.0
36.0,37.0,36.5,4.145706,4.258859,1.0,2,1.0
37.0,38.0,37.5,4.47417,4.25,1.0,1,1.0
38.0,39.0,38.5,4.208815,4.25,1.0,1,1.0
39.0,40.0,39.5,4.197699,4.25,1.0,1,1.0
40.0,41.0,40.5,4.025895,4.25,1.0,1,1.0
41.0,42.0,41.5,3.783404,4.875,1.0,1,1.0
42.0,43.0,42.5,2.214022,4.875,1.0,1,1.0
43.0,44.0,43.5,2.214022,4.875,1.0,1,1.0
44.0,45.0,44.5,3.588741,4.875,1.0,1,1.0
45.0,46.0,45.5,3.890079,4.875,1.0,1,1.0
46.0,47.0,46.5,3.028543,4.875,1.0,1,1.0
47.0,48.0,47.5,2.214022,4.875,1.0,1,1.0
48.0,49.0,48.5,1.693184,4.875,1.0,1,1.0
49.0,50.0,49.5,4.012533,4.875,1.0,1,1.0
50.0,51.0,50.5,4.106422,4.808273,1.0,2,1.0
51.0,52.0,51.5,4.609359,4.5,1.0,1,1.0
52.0,53.0,52.5,4.065263,4.5,1.0,1,1.0
53.0,54.0,53.5,2.219994,4.5,1.0,1,1.0
54.0,55.0,54.5,2.219994,4.5,1.0,1,1.0
55.0,56.0,55.5,3.216424,4.5,1.0,1,1.0
56.0,57.0,56.5,4.252037,4.5,1.0,1,1.0
57.0,58.0,57.5,3.126141,4.393125,1.0,2,1.0
58.0,59.0,58.5,4.088262,4.375,1.0,1,1.0
59.0,60.0,59.5,4.156192,4.375,1.0,1,1.0
60.0,61.0,60.5,3.673844,4.375,1.0,1,1.0
61.0,62.0,61.5,3.765682,4.386867,1.0,2,1.0
62.0,63.0,62.5,4.102353,4.5,1.0,1,1.0
63.0,64.0,63.5,4.25833,4.5,1.0,1,1.0
64.0,65.0,64.5,3.724932,4.5,1.0,1,1.0
65.0,66.0,65.5,3.63106,4.5,1.0,1,1.0
66.0,67.0,66.5,4.454495,4.5,1.0,1,1.0
67.0,68.0,67.5,4.638435,4.5,1.0,1,1.0
68.0,69.0,68.5,4.122512,4.476063,1.0,2,1.0
69.0,70.0,69.5,3.792235,4.375,1.0,1,1.0
70.0,71.0,70.5,2.225304,4.375,1.0,1,1.0
71.0,72.0,71.5,2.225304,4.375,1.0,1,1.0
72.0,73.0,72.5,2.225304,4.375,1.0,1,1.0
73.0,74.0,73.5,4.392558,4.375,1.0,1,1.0
74.0,75.0,74.5,4.291065,4.375,1.0,1,1.0
75.0,76.0,75.5,4.337143,4.375,1.0,1,1.0
76.0,77.0,76.5,3.496005,4.375,1.0,1,1.0
77.0,78.0,77.5,4.111587,4.304336,1.0,2,1.0
78.0,79.0,78.5,4.053774,4.25,1.0,1,1.0
79.0,80.0,79.5,4.253958,4.25,1.0,1,1.0
80.0,81.0,80.5,3.868751,4.25,1.0,1,1.0
81.0,82.0,81.5,4.294343,4.25,1.0,1,1.0
82.0,83.0,82.5,2.141214,3.73668,1.0,2,1.0
83.0,84.0,83.5,4.283152,3.625,1.0,1,1.0
84.0,85.0,84.5,4.233328,4.0895,1.0,2,1.0
85.0,86.0,85.5,4.359089,4.625,1.0,1,1.0
86.0,87.0,86.5,3.936376,4.625,1.0,1,1.0
87.0,88.0,87.5,4.350143,4.625,1.0,1,1.0
88.0,89.0,88.5,4.179457,4.625,1.0,1,1.0
89.0,90.0,89.5,3.704324,4.53775,1.0,2,1.0
90.0,91.0,90.5,4.195047,4.375,1.0,1,1.0
91.0,92.0,91.5,4.21558,4.375,1.0,1,1.0
92.0,93.0,92.5,4.252869,4.375,1.0,1,1.0
93.0,94.0,93.5,4.290077,4.375,1.0,1,1.0
94.0,95.0,94.5,2.22399,4.375,1.0,1,1.0
95.0,96.0,95.5,2.22399,4.375,1.0,1,1.0
96.0,97.0,96.5,2.22399,4.375,1.0,1,1.0
97.0,98.0,97.5,3.078973,4.375,1.0,2,1.0
98.0,99.0,98.5,4.171901,4.375,1.0,1,1.0
99.0,100.0,99.5,4.04362,4.375,1.0,1,1.0
100.0,101.0,100.5,3.887961,4.375,1.0,1,1.0
101.0,102.0,101.5,4.066858,4.375,1.0,1,1.0
102.0,103.0,102.5,4.252207,4.375,1.0,1,1.0
103.0,104.0,103.5,4.243851,4.332469,1.0,2,1.0
104.0,105.0,104.5,3.468797,4.25,1.0,1,1.0
105.0,106.0,105.5,2.22399,4.25,1.0,1,1.0
106.0,107.0,106.5,2.22399,4.25,1.0,1,1.0
107.0,108.0,107.5,1.656321,4.25,1.0,1,1.0
108.0,109.0,108.5,3.918342,4.25,1.0,1,1.0
109.0,110.0,109.5,4.189529,4.25,1.0,1,1.0
110.0,111.0,110.5,3.681013,4.25,1.0,1,1.0
111.0,112.0,111.5,3.692739,4.25,1.0,1,1.0
112.0,113.0,112.5,3.690671,4.688281,1.0,2,1.0
113.0,114.0,113.5,4.310124,4.75,1.0,1,1.0
114.0,115.0,114.5,4.22452,4.75,1.0,1,1.0
115.0,116.0,115.5,4.173002,4.75,1.0,1,1.0
116.0,117.0,116.5,4.095498,4.75,1.0,1,1.0
117.0,118.0,117.5,4.226346,4.75,1.0,1,1.0
118.0,119.0,118.5,3.801838,4.635719,1.0,2,1.0
119.0,120.0,119.5,4.10844,4.25,1.0,1,1.0
120.0,121.0,120.5,4.182569,4.25,1.0,1,1.0
121.0,122.0,121.5,4.315879,4.25,1.0,1,1.0
122.0,123.0,122.5,4.313585,4.25,1.0,1,1.0
123.0,124.0,123.5,3.794905,4.513789,1.0,2,1.0
124.0,125.0,124.5,4.45229,4.875,1.0,1,1.0
125.0,126.0,125.5,3.902812,4.750172,1.0,2,1.0
126.0,127.0,126.5,3.611644,4.625,1.0,1,1.0
127.0,128.0,127.5,2.212518,4.625,1.0,1,1.0
128.0,129.0,128.5,2.983632,4.625,1.0,1,1.0
129.0,130.0,129.5,4.192017,4.609602,1.0,2,1.0
130.0,131.0,130.5,4.370298,4.25,1.0,1,1.0
131.0,132.0,131.5,4.35613,4.25,1.0,1,1.0
132.0,133.0,132.5,4.36333,4.25,1.0,1,1.0
133.0,134.0,133.5,4.23666,4.25,1.0,1,1.0
134.0,135.0,134.5,4.024271,4.25,1.0,1,1.0
135.0,136.0,135.5,4.318,4.25,1.0,1,1.0
136.0,137.0,136.5,4.36353,4.25,1.0,1,1.0
137.0,138.0,137.5,4.138671,4.25,1.0,1,1.0
138.0,139.0,138.5,4.276303,4.25,1.0,1,1.0
139.0,140.0,139.5,4.124815,4.297172,1.0,2,1.0
140.0,141.0,140.5,3.895049,4.5,1.0,1,1.0
141.0,142.0,141.5,4.355494,4.5,1.0,1,1.0
142.0,143.0,142.5,3.827227,4.5,1.0,1,1.0
143.0,144.0,143.5,2.225304,4.5,1.0,1,1.0
144.0,145.0,144.5,2.225304,4.5,1.0,1,1.0
145.0,146.0,145.5,2.225304,4.5,1.0,1,1.0
146.0,147.0,146.5,4.090472,4.5,1.0,1,1.0
147.0,148.0,147.5,4.281394,4.5,1.0,1,1.0
148.0,149.0,148.5,3.584194,3.903984,1.0,2,1.0
149.0,150.0,149.5,2.219484,3.75,1.0,1,1.0
150.0,151.0,150.5,2.219484,3.75,1.0,1,1.0
151.0,152.0,151.5,2.775369,3.75,1.0,1,1.0
152.0,153.0,152.5,4.304021,3.75,1.0,1,1.0
153.0,154.0,153.5,3.975174,3.75,1.0,1,1.0
154.0,155.0,154.5,4.220752,3.967266,1.0,2,1.0
155.0,156.0,155.5,3.119837,4.875,1.0,1,1.0
156.0,157.0,156.5,2.214022,4.875,1.0,1,1.0
157.0,158.0,157.5,1.193755,4.875,1.0,1,1.0
158.0,159.0,158.5,4.075875,4.875,1.0,1,1.0
159.0,160.0,159.5,4.048185,4.875,1.0,1,1.0
160.0,161.0,160.5,2.241442,4.875,1.0,1,1.0
161.0,162.0,161.5,2.214022,4.875,1.0,1,1.0
162.0,163.0,162.5,3.008695,4.875,1.0,1,1.0
163.0,164.0,163.5,4.043119,4.875,1.0,1,1.0
164.0,165.0,164.5,4.168864,4.643086,1.0,2,1.0
165.0,166.0,165.5,4.407651,4.25,1.0,1,1.0
166.0,167.0,166.5,4.408693,4.25,1.0,1,1.0
167.0,168.0,167.5,4.325084,4.25,1.0,1,1.0
168.0,169.0,168.5,4.412608,4.25,1.0,1,1.0
169.0,170.0,169.5,3.750026,4.300812,1.0,2,1.0
170.0,171.0,170.5,3.770169,4.375,1.0,1,1.0
171.0,172.0,171.5,3.773777,4.375,1.0,1,1.0
172.0,173.0,172.5,4.126502,4.375,1.0,1,1.0
173.0,174.0,173.5,3.407771,4.375,1.0,1,1.0
174.0,175.0,174.5,3.684201,4.455805,1.0,2,1.0
175.0,176.0,175.5,4.560643,4.5,1.0,1,1.0
176.0,177.0,176.5,3.022674,4.5,1.0,1,1.0
177.0,178.0,177.5,2.219994,4.5,1.0,1,1.0
178.0,179.0,178.5,2.219994,4.5,1.0,1,1.0
179.0,180.0,179.5,4.271665,4.5,1.0,1,1.0
180.0,180.6765,180.33825,4.144975,4.5,0.6765,1,1.0
