seconds,mos_pred_concat,mos_target_concat_durw
10.84475,2.750149,3.5
15.372625,2.893197,3.684088
29.190375,2.575183,3.182751
38.338062,2.560183,3.258449
44.758375,2.751717,3.454472
49.553313,2.784103,3.434687
63.706125,2.656997,3.393657
74.738875,2.602215,3.353999
85.759938,2.588294,3.372761
91.473375,2.577123,3.372901
96.117375,2.6165,3.427358
100.797625,2.584423,3.436535
116.074625,2.547552,3.379081
122.301188,2.540174,3.347053
127.235438,2.574312,3.386918
136.093875,2.618652,3.43496
149.627563,2.584773,3.440843
151.357438,2.587591,3.451519
159.86025,2.564791,3.427503
169.450063,2.609697,3.502348
174.628125,2.628889,3.528224
176.137438,2.632044,3.538694
181.861187,2.671237,3.557147
