elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
10.84475,2.750149,3.5
15.372625,2.973263,3.684088
29.190375,2.748827,3.182751
38.338062,2.763283,3.258449
44.758375,3.03264,3.454472
49.553313,3.052123,3.434687
63.706125,2.932527,3.393657
74.738875,2.900572,3.353999
85.759938,2.887169,3.372761
91.473375,2.901652,3.372901
96.117375,2.973316,3.427358
100.797625,2.956978,3.436535
116.074625,2.921862,3.379081
122.301188,2.954567,3.347053
127.235438,3.009153,3.386918
136.093875,3.103162,3.43496
149.627563,3.070117,3.440843
151.357438,3.084483,3.451519
159.86025,3.047611,3.427503
169.450063,3.087911,3.502348
174.628125,3.090771,3.528224
176.137438,3.099091,3.538694
181.861187,3.143301,3.557147
