elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
4.527875,4.655994,4.125
17.758,3.225769,3.286849
31.658125,2.84598,2.8316
36.592375,3.050423,3.039718
38.101687,3.090486,3.107467
44.27175,3.066455,3.022805
48.91575,3.191625,3.163048
63.160937,3.033869,2.928929
67.955875,3.103437,2.951584
86.281062,3.031791,2.935318
95.870875,3.151902,3.116838
112.121,3.077373,3.045554
118.876062,3.086513,3.028759
139.32625,3.093434,3.024538
148.184687,3.174734,3.090323
154.605,3.235627,3.154054
159.783062,3.278432,3.193621
161.512937,3.289663,3.206274
180.273125,3.23252,3.249849
191.653312,3.198676,3.235013
