block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,2.922242,2.375,1.0,1,1.0
1.0,2.0,1.5,2.891821,2.375,1.0,1,1.0
2.0,3.0,2.5,2.842002,2.375,1.0,1,1.0
3.0,4.0,3.5,2.6106,2.375,1.0,1,1.0
4.0,5.0,4.5,3.093914,2.375,1.0,1,1.0
5.0,6.0,5.5,2.428665,2.375,1.0,1,1.0
6.0,7.0,6.5,3.203507,2.375,1.0,1,1.0
7.0,8.0,7.5,2.956969,2.375,1.0,1,1.0
8.0,9.0,8.5,3.005993,2.375,1.0,1,1.0
9.0,10.0,9.5,2.564472,2.375,1.0,1,1.0
10.0,11.0,10.5,2.398852,2.375,1.0,1,1.0
11.0,12.0,11.5,2.682822,2.375,1.0,1,1.0
12.0,13.0,12.5,2.547524,2.375,1.0,1,1.0
13.0,14.0,13.5,3.137066,3.959375,1.0,2,1.0
14.0,15.0,14.5,4.454709,4.25,1.0,1,1.0
15.0,16.0,15.5,4.238721,4.25,1.0,1,1.0
16.0,17.0,16.5,4.403424,4.25,1.0,1,1.0
17.0,18.0,17.5,4.268893,4.25,1.0,1,1.0
18.0,19.0,18.5,4.232957,4.25,1.0,1,1.0
19.0,20.0,19.5,4.372543,4.25,1.0,1,1.0
20.0,21.0,20.5,4.125929,4.25,1.0,1,1.0
21.0,22.0,21.5,4.221074,4.25,1.0,1,1.0
22.0,23.0,22.5,4.416498,4.25,1.0,1,1.0
23.0,24.0,23.5,4.317692,4.746313,1.0,2,1.0
24.0,25.0,24.5,4.314341,4.75,1.0,1,1.0
25.0,26.0,25.5,4.264069,4.75,1.0,1,1.0
26.0,27.0,26.5,4.043643,4.75,1.0,1,1.0
27.0,28.0,27.5,3.885888,4.75,1.0,1,1.0
28.0,29.0,28.5,4.398177,4.75,1.0,1,1.0
29.0,30.0,29.5,3.888925,4.103828,1.0,2,1.0
30.0,31.0,30.5,2.658457,2.875,1.0,1,1.0
31.0,32.0,31.5,2.026747,2.875,1.0,1,1.0
32.0,33.0,32.5,2.463968,2.875,1.0,1,1.0
33.0,34.0,33.5,2.873174,2.875,1.0,1,1.0
34.0,35.0,34.5,3.006935,2.875,1.0,1,1.0
35.0,36.0,35.5,2.581079,2.875,1.0,1,1.0
36.0,37.0,36.5,3.125152,2.875,1.0,1,1.0
37.0,38.0,37.5,2.825786,2.875,1.0,1,1.0
38.0,39.0,38.5,2.824476,2.875,1.0,1,1.0
39.0,40.0,39.5,2.702718,2.875,1.0,1,1.0
40.0,41.0,40.5,2.92644,2.875,1.0,1,1.0
41.0,42.0,41.5,2.681989,2.875,1.0,1,1.0
42.0,43.0,42.5,3.156737,2.875,1.0,1,1.0
43.0,44.0,43.5,3.008063,3.436937,1.0,2,1.0
44.0,45.0,44.5,4.190448,4.375,1.0,1,1.0
45.0,46.0,45.5,4.245262,4.375,1.0,1,1.0
46.0,47.0,46.5,3.320619,4.375,1.0,1,1.0
47.0,48.0,47.5,3.141396,4.375,1.0,1,1.0
48.0,49.0,48.5,4.376748,4.375,1.0,1,1.0
49.0,50.0,49.5,3.995654,4.385813,1.0,2,1.0
50.0,51.0,50.5,4.223687,4.5,1.0,1,1.0
51.0,52.0,51.5,4.244325,4.5,1.0,1,1.0
52.0,53.0,52.5,3.467346,4.5,1.0,1,1.0
53.0,54.0,53.5,4.036197,4.5,1.0,1,1.0
54.0,55.0,54.5,4.437895,4.5,1.0,1,1.0
55.0,56.0,55.5,4.597853,4.5,1.0,1,1.0
56.0,57.0,56.5,4.112401,4.362703,1.0,2,1.0
57.0,58.0,57.5,3.926954,3.75,1.0,1,1.0
58.0,59.0,58.5,2.219484,3.75,1.0,1,1.0
59.0,60.0,59.5,2.219484,3.75,1.0,1,1.0
60.0,61.0,60.5,3.454867,3.75,1.0,1,1.0
61.0,62.0,61.5,3.992698,3.75,1.0,1,1.0
62.0,63.0,62.5,4.428208,3.75,1.0,1,1.0
63.0,64.0,63.5,4.352766,4.258812,1.0,2,1.0
64.0,65.0,64.5,4.402166,4.625,1.0,1,1.0
65.0,66.0,65.5,3.986114,4.625,1.0,1,1.0
66.0,67.0,66.5,4.139217,4.625,1.0,1,1.0
67.0,68.0,67.5,4.329699,4.625,1.0,1,1.0
68.0,69.0,68.5,3.474782,3.8095,1.0,2,1.0
69.0,70.0,69.5,3.124886,2.875,1.0,1,1.0
70.0,71.0,70.5,2.70966,2.875,1.0,1,1.0
71.0,72.0,71.5,3.11949,2.875,1.0,1,1.0
72.0,73.0,72.5,2.415624,2.875,1.0,1,1.0
73.0,74.0,73.5,2.063737,2.875,1.0,1,1.0
74.0,75.0,74.5,3.156323,2.875,1.0,1,1.0
75.0,76.0,75.5,3.054315,2.875,1.0,1,1.0
76.0,77.0,76.5,3.011488,2.875,1.0,1,1.0
77.0,78.0,77.5,2.978187,3.34825,1.0,2,1.0
78.0,79.0,78.5,2.949775,3.625,1.0,1,1.0
79.0,80.0,79.5,3.160759,3.625,1.0,1,1.0
80.0,81.0,80.5,2.827412,3.625,1.0,1,1.0
81.0,82.0,81.5,2.831006,3.625,1.0,1,1.0
82.0,83.0,82.5,3.787106,4.131875,1.0,2,1.0
83.0,84.0,83.5,3.707746,4.25,1.0,1,1.0
84.0,85.0,84.5,4.358878,4.25,1.0,1,1.0
85.0,86.0,85.5,4.256301,4.25,1.0,1,1.0
86.0,87.0,86.5,3.141616,4.26675,1.0,2,1.0
87.0,88.0,87.5,4.514632,4.5,1.0,1,1.0
88.0,89.0,88.5,4.037218,4.5,1.0,1,1.0
89.0,90.0,89.5,2.219994,4.5,1.0,1,1.0
90.0,91.0,90.5,2.219994,4.5,1.0,1,1.0
91.0,92.0,91.5,2.491292,4.5,1.0,1,1.0
92.0,93.0,92.5,4.293808,4.5,1.0,1,1.0
93.0,94.0,93.5,3.500362,3.848945,1.0,2,1.0
94.0,95.0,94.5,2.477877,3.625,1.0,1,1.0
95.0,96.0,95.5,2.67896,3.625,1.0,1,1.0
96.0,97.0,96.5,2.220518,3.625,1.0,1,1.0
97.0,98.0,97.5,2.220518,3.625,1.0,1,1.0
98.0,99.0,98.5,2.1553,3.625,1.0,1,1.0
99.0,100.0,99.5,3.091409,3.625,1.0,1,1.0
100.0,101.0,100.5,2.504688,3.625,1.0,2,1.0
101.0,102.0,101.5,3.025758,3.625,1.0,1,1.0
102.0,103.0,102.5,2.924014,3.625,1.0,1,1.0
