block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,2.650017,3.125,1.0,1,1.0
1.0,2.0,1.5,2.229912,3.125,1.0,1,1.0
2.0,3.0,2.5,2.229912,3.125,1.0,1,1.0
3.0,4.0,3.5,2.229912,3.125,1.0,1,1.0
4.0,5.0,4.5,2.446836,3.125,1.0,1,1.0
5.0,6.0,5.5,3.349587,3.125,1.0,1,1.0
6.0,7.0,6.5,3.380949,3.125,1.0,1,1.0
7.0,8.0,7.5,2.862997,3.125,1.0,1,1.0
8.0,9.0,8.5,2.628463,3.125,1.0,1,1.0
9.0,10.0,9.5,3.227623,3.125,1.0,1,1.0
10.0,11.0,10.5,2.913869,3.125,1.0,1,1.0
11.0,12.0,11.5,4.214376,4.817687,1.0,2,1.0
12.0,13.0,12.5,3.69693,4.791562,1.0,2,1.0
13.0,14.0,13.5,2.839703,3.0,1.0,1,1.0
14.0,15.0,14.5,2.211796,3.0,1.0,1,1.0
15.0,16.0,15.5,2.211796,3.0,1.0,1,1.0
16.0,17.0,16.5,2.787715,3.0,1.0,1,1.0
17.0,18.0,17.5,2.211796,3.0,1.0,1,1.0
18.0,19.0,18.5,2.211796,3.0,1.0,1,1.0
19.0,20.0,19.5,2.156418,3.0,1.0,1,1.0
20.0,21.0,20.5,3.285432,3.0,1.0,1,1.0
21.0,22.0,21.5,2.849552,3.947953,1.0,2,1.0
22.0,23.0,22.5,4.375378,4.75,1.0,1,1.0
23.0,24.0,23.5,3.976593,4.75,1.0,1,1.0
24.0,25.0,24.5,4.180058,4.75,1.0,1,1.0
25.0,26.0,25.5,4.229144,4.75,1.0,1,1.0
26.0,27.0,26.5,4.388494,4.75,1.0,1,1.0
27.0,28.0,27.5,4.232633,4.75,1.0,1,1.0
28.0,29.0,28.5,3.147306,3.632891,1.0,2,1.0
29.0,30.0,29.5,3.283073,3.5,1.0,1,1.0
30.0,31.0,30.5,2.212885,3.5,1.0,1,1.0
31.0,32.0,31.5,2.212885,3.5,1.0,1,1.0
