elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
8.626188,3.814599,4.375
16.370062,3.889343,4.493263
21.130125,3.937899,4.466621
30.185938,4.015551,4.364135
40.008,4.033086,4.489553
44.779688,4.074013,4.464027
53.173687,4.117458,4.469705
60.604062,4.107127,4.304837
65.062312,4.114867,4.326776
70.786062,4.146313,4.31046
75.592562,4.15495,4.306616
80.236562,4.168259,4.317809
88.70025,4.132568,4.311339
90.209563,4.131384,4.318678
97.930188,4.139941,4.323118
104.3505,4.170774,4.341692
106.707313,4.164799,4.325863
111.235187,4.165937,4.317686
119.861375,4.140652,4.321811
125.039437,4.115383,4.324014
129.7995,4.114998,4.325884
134.73375,4.124049,4.327682
144.555812,4.121529,4.364871
153.41425,4.140694,4.35102
161.80825,4.151512,4.358749
171.398062,4.155756,4.380639
175.856312,4.157387,4.386834
177.586187,4.15904,4.386719
182.392687,4.162284,4.383116
187.187625,4.155213,4.354091
