block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,3.400801,4.25,1.0,1,1.0
1.0,2.0,1.5,2.944083,4.25,1.0,1,1.0
2.0,3.0,2.5,4.013684,4.25,1.0,1,1.0
3.0,4.0,3.5,3.920135,4.25,1.0,1,1.0
4.0,5.0,4.5,3.32351,4.25,1.0,1,1.0
5.0,6.0,5.5,3.808526,4.25,1.0,1,1.0
6.0,7.0,6.5,3.470845,4.25,1.0,1,1.0
7.0,8.0,7.5,3.22117,4.25,1.0,1,1.0
8.0,9.0,8.5,3.271297,3.177375,1.0,2,1.0
9.0,10.0,9.5,2.463453,2.25,1.0,1,1.0
10.0,11.0,10.5,2.028273,2.25,1.0,1,1.0
11.0,12.0,11.5,2.708124,2.25,1.0,1,1.0
12.0,13.0,12.5,2.788018,2.25,1.0,1,1.0
13.0,14.0,13.5,2.751983,2.25,1.0,1,1.0
14.0,15.0,14.5,2.909911,2.25,1.0,1,1.0
15.0,16.0,15.5,1.85201,2.25,1.0,1,1.0
16.0,17.0,16.5,3.063468,2.25,1.0,1,1.0
17.0,18.0,17.5,2.607821,2.25,1.0,1,1.0
18.0,19.0,18.5,2.921906,2.25,1.0,1,1.0
19.0,20.0,19.5,2.556974,2.25,1.0,1,1.0
20.0,21.0,20.5,2.786309,2.25,1.0,1,1.0
21.0,22.0,21.5,2.595027,2.25,1.0,1,1.0
22.0,23.0,22.5,3.022158,3.601898,1.0,2,1.0
23.0,24.0,23.5,3.837753,4.375,1.0,1,1.0
24.0,25.0,24.5,3.859267,4.375,1.0,1,1.0
25.0,26.0,25.5,4.204128,4.375,1.0,1,1.0
26.0,27.0,26.5,3.926459,4.375,1.0,1,1.0
27.0,28.0,27.5,4.17082,4.375,1.0,1,1.0
28.0,29.0,28.5,4.07731,4.375,1.0,1,1.0
29.0,30.0,29.5,3.316897,4.375,1.0,1,1.0
30.0,31.0,30.5,2.444651,3.116102,1.0,2,1.0
31.0,32.0,31.5,2.752181,3.0,1.0,1,1.0
32.0,33.0,32.5,2.496199,3.0,1.0,1,1.0
33.0,34.0,33.5,2.87053,3.0,1.0,1,1.0
34.0,35.0,34.5,2.686664,3.0,1.0,1,1.0
