elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
8.463688,3.920712,4.25
22.363813,2.951145,3.006909
30.084437,3.290691,3.358005
41.464625,3.118296,3.259749
43.821438,3.160351,3.279393
62.581625,3.034508,3.382996
71.207813,3.150165,3.503168
87.457937,3.054941,3.34
92.218,3.109137,3.393424
98.388063,3.097154,3.337396
108.210125,3.220576,3.476962
128.660313,3.206762,3.40115
137.054313,3.279881,3.46845
143.809375,3.277924,3.434703
148.267625,3.317893,3.470494
161.49775,3.270247,3.43195
166.30425,3.299493,3.455594
180.549438,3.235795,3.350611
