elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
4.794937,3.649993,3.25
19.040125,2.91944,2.408312
20.77,3.049898,2.572112
34.000125,3.035322,2.738612
43.589937,3.311419,3.181119
50.345,3.345352,3.123273
59.203437,3.512107,3.273158
79.653625,3.445291,3.203028
84.587875,3.498348,3.271393
90.757938,3.473929,3.21895
95.936,3.512627,3.281347
112.186125,3.351267,3.186275
116.714,3.393809,3.222693
135.474187,3.337305,3.278404
141.8945,3.384098,3.339333
153.274687,3.34618,3.314139
154.784,3.355932,3.32814
168.684125,3.317044,3.239298
173.328125,3.353578,3.273076
191.653312,3.330324,3.235013
