block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,2.480325,3.5,1.0,1,1.0
1.0,2.0,1.5,3.161918,3.5,1.0,1,1.0
2.0,3.0,2.5,2.657383,3.5,1.0,1,1.0
3.0,4.0,3.5,3.348583,3.5,1.0,1,1.0
4.0,5.0,4.5,3.068524,3.5,1.0,1,1.0
5.0,6.0,5.5,3.299464,3.5,1.0,1,1.0
6.0,7.0,6.5,3.155849,3.5,1.0,1,1.0
7.0,8.0,7.5,2.651555,3.5,1.0,1,1.0
8.0,9.0,8.5,3.361905,3.5,1.0,1,1.0
9.0,10.0,9.5,2.630371,3.286922,1.0,2,1.0
10.0,11.0,10.5,2.715453,3.25,1.0,1,1.0
11.0,12.0,11.5,3.419169,3.25,1.0,1,1.0
12.0,13.0,12.5,3.275541,3.25,1.0,1,1.0
13.0,14.0,13.5,2.800526,3.25,1.0,1,1.0
14.0,15.0,14.5,3.314547,3.25,1.0,1,1.0
15.0,16.0,15.5,2.71172,3.25,1.0,1,1.0
16.0,17.0,16.5,2.889855,3.25,1.0,1,1.0
17.0,18.0,17.5,3.240712,3.25,1.0,1,1.0
18.0,19.0,18.5,2.564664,3.25,1.0,1,1.0
19.0,20.0,19.5,3.069297,3.25,1.0,1,1.0
20.0,21.0,20.5,3.052934,3.25,1.0,1,1.0
21.0,22.0,21.5,3.112238,3.25,1.0,1,1.0
22.0,23.0,22.5,3.149665,3.25,1.0,1,1.0
23.0,24.0,23.5,3.177305,3.075125,1.0,2,1.0
24.0,25.0,24.5,2.931837,3.0,1.0,1,1.0
25.0,26.0,25.5,3.031824,3.0,1.0,1,1.0
26.0,27.0,26.5,3.482892,3.0,1.0,1,1.0
27.0,28.0,27.5,1.168355,3.0,1.0,1,1.0
28.0,29.0,28.5,3.117447,3.0,1.0,1,1.0
29.0,30.0,29.5,3.137902,3.0,1.0,1,1.0
30.0,31.0,30.5,2.967225,3.0,1.0,1,1.0
31.0,32.0,31.5,3.047159,3.0,1.0,1,1.0
32.0,33.0,32.5,3.148827,3.0,1.0,1,1.0
33.0,34.0,33.5,3.043716,3.0,1.0,1,1.0
34.0,35.0,34.5,3.214462,3.0,1.0,1,1.0
35.0,36.0,35.5,1.167816,3.0,1.0,1,1.0
36.0,37.0,36.5,1.167342,3.0,1.0,1,1.0
37.0,38.0,37.5,3.151242,3.0,1.0,1,1.0
38.0,39.0,38.5,3.00807,3.0,1.0,1,1.0
39.0,40.0,39.5,2.851866,3.0,1.0,1,1.0
40.0,41.0,40.5,2.939245,3.0,1.0,1,1.0
41.0,42.0,41.5,3.047127,3.0,1.0,1,1.0
42.0,43.0,42.5,3.592805,3.0,1.0,1,1.0
43.0,44.0,43.5,2.795508,2.906508,1.0,2,1.0
44.0,45.0,44.5,3.144669,2.625,1.0,1,1.0
45.0,46.0,45.5,3.220113,2.625,1.0,1,1.0
46.0,47.0,46.5,2.035321,2.625,1.0,1,1.0
47.0,48.0,47.5,3.252731,2.625,1.0,1,1.0
48.0,49.0,48.5,2.950031,2.625,1.0,1,1.0
49.0,50.0,49.5,3.114904,2.625,1.0,1,1.0
50.0,51.0,50.5,2.740617,2.625,1.0,1,1.0
51.0,52.0,51.5,2.861709,2.625,1.0,1,1.0
52.0,53.0,52.5,2.316766,2.625,1.0,1,1.0
53.0,54.0,53.5,3.357076,2.625,1.0,1,1.0
54.0,55.0,54.5,3.060926,2.625,1.0,1,1.0
55.0,56.0,55.5,2.785075,2.625,1.0,1,1.0
56.0,57.0,56.5,3.25738,2.625,1.0,1,1.0
57.0,58.0,57.5,3.51769,3.002617,1.0,2,1.0
58.0,59.0,58.5,3.560459,3.5,1.0,1,1.0
59.0,60.0,59.5,2.329773,3.5,1.0,1,1.0
60.0,61.0,60.5,3.155087,3.5,1.0,1,1.0
61.0,62.0,61.5,3.055361,3.5,1.0,1,1.0
62.0,63.0,62.5,2.753454,3.5,1.0,1,1.0
63.0,64.0,63.5,3.399546,3.5,1.0,1,1.0
64.0,65.0,64.5,2.497053,3.5,1.0,1,1.0
65.0,66.0,65.5,3.31119,3.5,1.0,1,1.0
66.0,67.0,66.5,3.193626,3.5,1.0,1,1.0
67.0,68.0,67.5,2.723257,3.5,1.0,1,1.0
68.0,69.0,68.5,3.257207,3.573352,1.0,2,1.0
69.0,70.0,69.5,2.933936,3.625,1.0,1,1.0
70.0,71.0,70.5,3.056168,3.625,1.0,1,1.0
71.0,72.0,71.5,2.382571,3.625,1.0,1,1.0
72.0,73.0,72.5,3.005803,3.625,1.0,1,1.0
73.0,74.0,73.5,3.14053,3.625,1.0,1,1.0
74.0,75.0,74.5,3.754623,3.625,1.0,1,1.0
75.0,76.0,75.5,2.500675,3.625,1.0,1,1.0
76.0,77.0,76.5,2.942444,3.625,1.0,1,1.0
77.0,78.0,77.5,3.156979,3.625,1.0,1,1.0
78.0,79.0,78.5,2.697109,3.625,1.0,1,1.0
79.0,80.0,79.5,1.168909,3.625,1.0,1,1.0
80.0,81.0,80.5,2.607049,3.625,1.0,1,1.0
81.0,82.0,81.5,3.030176,3.625,1.0,1,1.0
82.0,83.0,82.5,3.251198,3.625,1.0,1,1.0
83.0,84.0,83.5,2.654782,3.625,1.0,1,1.0
84.0,85.0,84.5,3.122239,3.625,1.0,1,1.0
85.0,86.0,85.5,3.046481,3.625,1.0,1,1.0
86.0,87.0,86.5,1.860725,3.625,1.0,1,1.0
87.0,88.0,87.5,2.913116,3.418344,1.0,2,1.0
88.0,89.0,88.5,3.468264,3.375,1.0,1,1.0
89.0,90.0,89.5,3.41704,3.375,1.0,1,1.0
90.0,91.0,90.5,2.194284,3.375,1.0,1,1.0
91.0,92.0,91.5,2.426566,3.375,1.0,1,1.0
92.0,93.0,92.5,3.821457,3.332555,1.0,2,1.0
93.0,94.0,93.5,3.04566,3.0,1.0,1,1.0
94.0,95.0,94.5,2.324749,3.0,1.0,1,1.0
95.0,96.0,95.5,3.617192,3.0,1.0,1,1.0
96.0,97.0,96.5,2.825872,3.0,1.0,1,1.0
97.0,98.0,97.5,3.136527,3.0,1.0,1,1.0
98.0,99.0,98.5,3.578008,3.0,1.0,1,1.0
99.0,100.0,99.5,1.168289,3.0,1.0,1,1.0
100.0,101.0,100.5,3.178117,3.0,1.0,1,1.0
101.0,102.0,101.5,3.09288,3.0,1.0,1,1.0
102.0,103.0,102.5,3.335413,3.0,1.0,1,1.0
103.0,104.0,103.5,1.168214,3.0,1.0,1,1.0
104.0,105.0,104.5,2.921152,2.6335,1.0,2,1.0
105.0,106.0,105.5,3.104488,2.5,1.0,1,1.0
106.0,107.0,106.5,2.869172,2.5,1.0,1,1.0
107.0,108.0,107.5,3.180728,2.5,1.0,1,1.0
108.0,109.0,108.5,3.049051,2.5,1.0,1,1.0
109.0,110.0,109.5,2.185253,2.5,1.0,1,1.0
110.0,111.0,110.5,1.727226,2.570367,1.0,2,1.0
111.0,112.0,111.5,2.436474,2.625,1.0,1,1.0
112.0,113.0,112.5,2.712609,2.625,1.0,1,1.0
113.0,114.0,113.5,3.038299,2.625,1.0,1,1.0
114.0,115.0,114.5,3.381064,2.625,1.0,1,1.0
115.0,116.0,115.5,1.168319,2.625,1.0,1,1.0
116.0,117.0,116.5,2.896786,2.625,1.0,1,1.0
117.0,118.0,117.5,3.163749,2.625,1.0,1,1.0
118.0,119.0,118.5,2.678465,2.625,1.0,1,1.0
119.0,120.0,119.5,3.146606,2.625,1.0,1,1.0
120.0,121.0,120.5,3.104367,2.625,1.0,1,1.0
121.0,122.0,121.5,2.636951,2.625,1.0,1,1.0
122.0,123.0,122.5,3.39321,2.625,1.0,1,1.0
123.0,124.0,123.5,3.039515,2.625,1.0,1,1.0
124.0,125.0,124.5,3.109824,2.625,1.0,1,1.0
125.0,126.0,125.5,3.217448,2.625,1.0,1,1.0
126.0,127.0,126.5,3.176596,2.664102,1.0,2,1.0
127.0,128.0,127.5,3.328856,2.75,1.0,1,1.0
128.0,129.0,128.5,3.407558,2.75,1.0,1,1.0
129.0,130.0,129.5,2.885561,2.75,1.0,1,1.0
130.0,131.0,130.5,3.273505,2.75,1.0,1,1.0
131.0,132.0,131.5,2.830557,2.75,1.0,1,1.0
132.0,133.0,132.5,3.322341,2.825469,1.0,2,1.0
133.0,134.0,133.5,3.23682,3.625,1.0,1,1.0
134.0,135.0,134.5,2.439959,3.625,1.0,1,1.0
135.0,136.0,135.5,2.697854,3.625,1.0,1,1.0
136.0,137.0,136.5,2.858113,3.625,1.0,1,1.0
137.0,138.0,137.5,3.40936,3.26975,1.0,2,1.0
138.0,139.0,138.5,3.313474,2.75,1.0,1,1.0
139.0,140.0,139.5,2.900578,2.75,1.0,1,1.0
140.0,141.0,140.5,3.091431,2.75,1.0,1,1.0
141.0,142.0,141.5,3.195251,2.75,1.0,1,1.0
142.0,143.0,142.5,3.24401,2.75,1.0,1,1.0
143.0,144.0,143.5,1.164576,2.75,1.0,1,1.0
144.0,145.0,144.5,2.448733,2.912734,1.0,2,1.0
145.0,146.0,145.5,2.624791,3.0,1.0,1,1.0
146.0,147.0,146.5,3.253492,3.0,1.0,1,1.0
147.0,148.0,147.5,3.161955,3.0,1.0,1,1.0
148.0,149.0,148.5,3.164774,3.0,1.0,1,1.0
149.0,150.0,149.5,3.187124,3.0,1.0,1,1.0
150.0,151.0,150.5,3.357317,3.0,1.0,1,1.0
151.0,152.0,151.5,1.167887,3.0,1.0,1,1.0
152.0,153.0,152.5,2.901117,3.0,1.0,1,1.0
153.0,154.0,153.5,3.11465,3.0,1.0,1,1.0
154.0,155.0,154.5,3.18625,3.0,1.0,1,1.0
155.0,156.0,155.5,2.928023,3.0,1.0,1,1.0
156.0,157.0,156.5,3.188487,3.0,1.0,1,1.0
157.0,158.0,157.5,2.849022,3.0,1.0,2,1.0
158.0,159.0,158.5,2.825184,3.0,1.0,1,1.0
159.0,160.0,159.5,2.971338,3.0,1.0,1,1.0
160.0,161.0,160.5,3.128384,3.0,1.0,1,1.0
161.0,162.0,161.5,3.362304,3.0,1.0,1,1.0
162.0,163.0,162.5,2.728381,3.0,1.0,1,1.0
163.0,164.0,163.5,3.448011,3.0,1.0,1,1.0
164.0,165.0,164.5,3.032256,3.0,1.0,1,1.0
165.0,166.0,165.5,3.244211,3.0,1.0,1,1.0
166.0,167.0,166.5,3.406506,3.0,1.0,1,1.0
167.0,168.0,167.5,3.06818,3.0,1.0,1,1.0
168.0,169.0,168.5,2.904927,3.0,1.0,1,1.0
169.0,170.0,169.5,3.55049,3.0,1.0,1,1.0
170.0,171.0,170.5,3.42785,3.0,1.0,1,1.0
171.0,172.0,171.5,3.308078,3.0,1.0,1,1.0
172.0,173.0,172.5,3.31104,2.874164,1.0,2,1.0
173.0,174.0,173.5,3.179799,2.125,1.0,1,1.0
174.0,175.0,174.5,2.957036,2.125,1.0,1,1.0
175.0,176.0,175.5,3.481666,2.125,1.0,1,1.0
176.0,177.0,176.5,1.16755,2.125,1.0,1,1.0
177.0,178.0,177.5,2.181054,2.125,1.0,1,1.0
178.0,179.0,178.5,3.052023,2.125,1.0,1,1.0
179.0,180.0,179.5,2.899183,2.125,1.0,1,1.0
180.0,181.0,180.5,2.58818,2.125,1.0,1,1.0
181.0,182.0,181.5,3.76697,2.125,1.0,1,1.0
182.0,183.0,182.5,1.167588,2.125,1.0,1,1.0
183.0,184.0,183.5,2.429516,2.125,1.0,1,1.0
184.0,185.0,184.5,3.050265,2.125,1.0,1,1.0
185.0,186.0,185.5,3.052835,2.125,1.0,1,1.0
186.0,187.0,186.5,1.168354,2.125,1.0,1,1.0
187.0,187.101375,187.050687,1.164572,2.125,0.101375,1,1.0
