elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
7.720625,4.199537,4.375
13.890688,3.728529,3.542149
23.71275,4.047201,4.09423
36.942875,3.676627,3.70236
41.749375,3.759689,3.765408
46.207625,3.802002,3.848344
52.962688,3.771687,3.708257
69.212812,3.449317,3.453925
77.839,3.533914,3.555999
91.739125,3.435442,3.358117
100.133125,3.515818,3.453839
120.583313,3.471053,3.376871
139.3435,3.405718,3.410277
141.700312,3.41459,3.413848
146.460375,3.439468,3.445087
160.705562,3.371574,3.328072
172.08575,3.338629,3.306376
180.549437,3.371664,3.350611
