elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
9.147687,2.952988,3.5
23.392875,2.666233,2.662688
34.237625,2.737784,2.927906
47.46775,2.78937,2.948
53.181188,2.867379,2.993874
59.93625,2.931519,2.966389
75.21325,2.937024,2.973216
95.663438,2.973385,2.978941
100.343688,2.964935,3.009075
106.51375,2.968712,2.979586
120.666562,2.954174,3.011302
136.916687,2.931043,2.965453
150.734437,2.943711,2.934244
169.494625,2.951118,3.010699
175.721187,2.980787,3.001461
187.101375,2.958245,3.001373
