elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
1.92275,4.672359,4.875
16.167938,2.876929,2.45204
26.020313,3.502675,3.132823
39.250438,3.331302,3.088052
45.852,3.499458,3.183356
52.607063,3.491372,3.127711
57.571625,3.606168,3.224489
78.021813,3.493119,3.165648
84.34475,3.572943,3.265679
90.514813,3.535942,3.213485
97.41825,3.615463,3.304653
113.668375,3.480116,3.207489
118.412375,3.526605,3.249255
137.172562,3.456401,3.300644
142.288062,3.496458,3.348256
153.66825,3.445776,3.322466
159.956375,3.485445,3.363842
173.8565,3.43422,3.274789
180.5045,3.475725,3.329121
