seconds,mos_pred_concat,mos_target_concat_durw
10.84475,2.857398,3.5
17.071312,2.895696,3.226446
32.348312,2.864641,3.119503
51.1085,2.86643,3.305054
71.558687,2.923889,3.217875
85.376437,2.868215,3.121921
96.756625,2.859921,3.107581
105.904313,2.817307,3.141477
112.659375,2.838907,3.118004
118.829437,2.821724,3.085915
124.542875,2.817901,3.099177
137.773,2.803957,3.089653
142.45325,2.793074,3.107242
156.606063,2.760647,3.120143
172.856188,2.741527,3.073595
187.101375,2.626473,3.001373
