seconds,mos_pred_concat,mos_target_concat_durw
5.713438,3.515483,3.375
14.21625,3.038902,3.150711
29.49325,2.96061,3.072645
37.213875,3.220083,3.34284
41.894125,3.142692,3.374362
52.915187,3.09113,3.400529
57.721687,3.214147,3.471265
66.185375,3.304159,3.570848
79.719062,3.2819,3.558821
84.525562,3.340244,3.598124
92.919562,3.409953,3.679596
103.764313,3.327605,3.660826
106.121125,3.326914,3.66003
112.347688,3.319492,3.609594
120.973875,3.374197,3.664173
130.795938,3.448801,3.755099
144.613687,3.374438,3.647119
149.071937,3.391136,3.676364
153.832,3.417441,3.697982
158.29025,3.449698,3.724092
167.437937,3.398819,3.711849
181.59075,3.315974,3.675853
