block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,4.623097,4.5,1.0,1,1.0
1.0,2.0,1.5,4.533253,4.5,1.0,1,1.0
2.0,3.0,2.5,4.404161,4.5,1.0,1,1.0
3.0,4.0,3.5,4.571984,4.5,1.0,1,1.0
4.0,5.0,4.5,4.413569,4.4555,1.0,2,1.0
5.0,6.0,5.5,3.921763,4.375,1.0,1,1.0
6.0,7.0,6.5,2.209724,4.375,1.0,1,1.0
7.0,8.0,7.5,2.209724,4.375,1.0,1,1.0
8.0,9.0,8.5,1.67977,4.375,1.0,1,1.0
9.0,10.0,9.5,4.607059,4.375,1.0,1,1.0
10.0,11.0,10.5,4.389594,4.375,1.0,1,1.0
11.0,12.0,11.5,4.417959,4.375,1.0,1,1.0
12.0,13.0,12.5,4.097778,4.375,1.0,1,1.0
13.0,14.0,13.5,4.497642,4.375,1.0,2,1.0
14.0,15.0,14.5,3.714722,4.375,1.0,1,1.0
15.0,16.0,15.5,2.209724,4.375,1.0,1,1.0
16.0,17.0,16.5,2.209724,4.375,1.0,1,1.0
17.0,18.0,17.5,4.596558,4.375,1.0,1,1.0
18.0,19.0,18.5,4.365817,4.375,1.0,1,1.0
19.0,20.0,19.5,4.479309,4.375,1.0,1,1.0
20.0,21.0,20.5,4.16804,4.375,1.0,1,1.0
21.0,22.0,21.5,4.271276,4.349094,1.0,2,1.0
22.0,23.0,22.5,4.450756,4.125,1.0,1,1.0
23.0,24.0,23.5,4.161888,4.125,1.0,1,1.0
24.0,25.0,24.5,4.453612,4.125,1.0,1,1.0
25.0,26.0,25.5,4.197719,4.125,1.0,1,1.0
26.0,27.0,26.5,4.291332,4.125,1.0,1,1.0
27.0,28.0,27.5,4.271202,4.125,1.0,1,1.0
28.0,29.0,28.5,4.412253,4.125,1.0,1,1.0
29.0,30.0,29.5,3.904934,4.125,1.0,1,1.0
30.0,31.0,30.5,4.373928,4.125,1.0,2,1.0
31.0,32.0,31.5,3.366996,4.125,1.0,1,1.0
32.0,33.0,32.5,2.047427,4.125,1.0,1,1.0
33.0,34.0,33.5,4.132699,4.125,1.0,1,1.0
34.0,35.0,34.5,4.642206,4.125,1.0,1,1.0
35.0,36.0,35.5,2.047427,4.125,1.0,1,1.0
36.0,37.0,36.5,2.047427,4.125,1.0,1,1.0
37.0,38.0,37.5,4.43717,4.125,1.0,1,1.0
38.0,39.0,38.5,4.483387,4.125,1.0,1,1.0
39.0,40.0,39.5,4.229052,4.243359,1.0,2,1.0
40.0,41.0,40.5,4.707965,4.75,1.0,1,1.0
41.0,42.0,41.5,4.363418,4.664992,1.0,2,1.0
42.0,43.0,42.5,4.526844,4.625,1.0,1,1.0
43.0,44.0,43.5,4.322582,4.625,1.0,1,1.0
44.0,45.0,44.5,3.252822,4.625,1.0,1,1.0
45.0,46.0,45.5,2.193351,4.625,1.0,1,1.0
46.0,47.0,46.5,2.193351,4.625,1.0,1,1.0
47.0,48.0,47.5,4.43026,4.625,1.0,1,1.0
48.0,49.0,48.5,4.43601,4.625,1.0,1,1.0
49.0,50.0,49.5,3.914204,4.625,1.0,2,1.0
50.0,51.0,50.5,2.042624,4.625,1.0,1,1.0
51.0,52.0,51.5,2.042624,4.625,1.0,1,1.0
52.0,53.0,52.5,4.283123,4.625,1.0,1,1.0
53.0,54.0,53.5,4.483604,4.445773,1.0,2,1.0
54.0,55.0,54.5,4.152953,4.25,1.0,1,1.0
55.0,56.0,55.5,2.193351,4.25,1.0,1,1.0
56.0,57.0,56.5,2.193351,4.25,1.0,1,1.0
57.0,58.0,57.5,4.117462,4.25,1.0,1,1.0
58.0,59.0,58.5,4.267674,4.25,1.0,1,1.0
59.0,60.0,59.5,4.181249,4.25,1.0,1,1.0
60.0,61.0,60.5,4.087719,4.25,1.0,1,1.0
61.0,62.0,61.5,3.43009,4.251781,1.0,2,1.0
62.0,63.0,62.5,4.151652,4.375,1.0,1,1.0
63.0,64.0,63.5,4.401023,4.375,1.0,1,1.0
64.0,65.0,64.5,4.482561,4.375,1.0,1,1.0
65.0,66.0,65.5,3.986451,4.375,1.0,1,1.0
66.0,67.0,66.5,3.985809,4.184359,1.0,2,1.0
67.0,68.0,67.5,4.068427,3.625,1.0,1,1.0
68.0,69.0,68.5,4.507263,3.625,1.0,1,1.0
69.0,70.0,69.5,4.178198,4.185859,1.0,2,1.0
70.0,71.0,70.5,4.269021,4.25,1.0,1,1.0
71.0,72.0,71.5,4.16182,4.25,1.0,1,1.0
72.0,73.0,72.5,4.544593,4.25,1.0,1,1.0
73.0,74.0,73.5,4.304525,4.265711,1.0,2,1.0
74.0,75.0,74.5,3.768356,4.375,1.0,1,1.0
75.0,76.0,75.5,4.330714,4.375,1.0,1,1.0
76.0,77.0,76.5,4.425011,4.375,1.0,1,1.0
77.0,78.0,77.5,4.122807,4.375,1.0,1,1.0
78.0,79.0,78.5,4.266565,4.557812,1.0,2,1.0
79.0,80.0,79.5,4.1268,4.875,1.0,1,1.0
80.0,81.0,80.5,2.062549,4.875,1.0,1,1.0
81.0,82.0,81.5,2.607349,4.875,1.0,1,1.0
82.0,83.0,82.5,4.393052,4.875,1.0,1,1.0
83.0,84.0,83.5,4.435054,4.875,1.0,1,1.0
84.0,85.0,84.5,2.062549,4.875,1.0,1,1.0
85.0,86.0,85.5,2.062549,4.875,1.0,1,1.0
86.0,87.0,86.5,4.234929,4.875,1.0,1,1.0
87.0,88.0,87.5,4.478551,4.875,1.0,1,1.0
88.0,89.0,88.5,2.980596,3.991711,1.0,2,1.0
89.0,90.0,89.5,4.085752,3.25,1.0,1,1.0
90.0,91.0,90.5,2.052341,3.25,1.0,1,1.0
91.0,92.0,91.5,2.122089,3.25,1.0,1,1.0
92.0,93.0,92.5,4.323749,3.25,1.0,1,1.0
93.0,94.0,93.5,4.473125,4.092203,1.0,2,1.0
94.0,95.0,94.5,4.254935,4.375,1.0,1,1.0
95.0,96.0,95.5,4.260886,4.375,1.0,1,1.0
96.0,97.0,96.5,4.444108,4.375,1.0,1,1.0
97.0,98.0,97.5,4.094676,4.375,1.0,1,1.0
98.0,99.0,98.5,2.193351,4.375,1.0,1,1.0
99.0,100.0,99.5,2.193351,4.375,1.0,1,1.0
100.0,101.0,100.5,1.706579,4.382,1.0,2,1.0
101.0,102.0,101.5,4.678981,4.625,1.0,1,1.0
102.0,103.0,102.5,4.451738,4.625,1.0,1,1.0
103.0,104.0,103.5,4.029764,4.625,1.0,1,1.0
104.0,105.0,104.5,3.642906,4.625,1.0,1,1.0
105.0,106.0,105.5,4.439159,4.625,1.0,1,1.0
106.0,107.0,106.5,4.451135,4.625,1.0,1,1.0
107.0,108.0,107.5,4.15272,4.473078,1.0,2,1.0
108.0,109.0,108.5,4.408971,4.375,1.0,1,1.0
109.0,110.0,109.5,4.002058,4.375,1.0,1,1.0
110.0,111.0,110.5,4.557185,4.375,1.0,1,1.0
111.0,112.0,111.5,4.478117,4.375,1.0,1,1.0
112.0,113.0,112.5,3.942965,4.375,1.0,2,1.0
113.0,114.0,113.5,4.583031,4.375,1.0,1,1.0
114.0,115.0,114.5,4.268103,4.257055,1.0,2,1.0
115.0,116.0,115.5,4.292587,4.25,1.0,1,1.0
116.0,117.0,116.5,4.36525,4.25,1.0,1,1.0
117.0,118.0,117.5,4.407908,4.25,1.0,1,1.0
118.0,119.0,118.5,4.270963,4.095805,1.0,2,1.0
119.0,120.0,119.5,3.626509,3.125,1.0,1,1.0
120.0,121.0,120.5,4.297626,3.125,1.0,1,1.0
121.0,122.0,121.5,4.279271,3.125,1.0,1,1.0
122.0,123.0,122.5,3.493294,3.125,1.0,1,1.0
123.0,124.0,123.5,4.015309,3.125,1.0,1,1.0
