block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,2.850146,2.125,1.0,1,1.0
1.0,2.0,1.5,2.883394,2.125,1.0,1,1.0
2.0,3.0,2.5,2.731372,2.125,1.0,1,1.0
3.0,4.0,3.5,2.298497,2.125,1.0,1,1.0
4.0,5.0,4.5,2.453303,2.125,1.0,1,1.0
5.0,6.0,5.5,2.777374,2.125,1.0,1,1.0
6.0,7.0,6.5,2.837355,2.125,1.0,1,1.0
7.0,8.0,7.5,2.239208,2.125,1.0,1,1.0
8.0,9.0,8.5,2.897286,2.125,1.0,1,1.0
9.0,10.0,9.5,2.950858,2.125,1.0,1,1.0
10.0,11.0,10.5,1.816634,2.125,1.0,1,1.0
11.0,12.0,11.5,2.392472,2.125,1.0,1,1.0
12.0,13.0,12.5,2.712243,2.125,1.0,1,1.0
13.0,14.0,13.5,2.636461,2.125,1.0,1,1.0
14.0,15.0,14.5,2.025447,2.502406,1.0,2,1.0
15.0,16.0,15.5,2.857337,2.625,1.0,1,1.0
16.0,17.0,16.5,2.669685,2.625,1.0,1,1.0
17.0,18.0,17.5,3.038789,2.625,1.0,1,1.0
18.0,19.0,18.5,2.772439,2.625,1.0,1,1.0
19.0,20.0,19.5,3.278463,2.625,1.0,1,1.0
20.0,21.0,20.5,2.944963,2.625,1.0,1,1.0
21.0,22.0,21.5,2.562042,2.625,1.0,1,1.0
22.0,23.0,22.5,2.659755,2.625,1.0,1,1.0
23.0,24.0,23.5,3.145068,2.625,1.0,1,1.0
24.0,25.0,24.5,2.87048,2.625,1.0,1,1.0
25.0,26.0,25.5,2.646818,2.625,1.0,1,1.0
26.0,27.0,26.5,3.080298,2.625,1.0,1,1.0
27.0,28.0,27.5,2.706473,2.625,1.0,1,1.0
28.0,29.0,28.5,3.057418,2.625,1.0,1,1.0
29.0,30.0,29.5,3.068827,2.625,1.0,1,1.0
30.0,31.0,30.5,2.718592,2.814258,1.0,2,1.0
31.0,32.0,31.5,2.523893,3.0,1.0,1,1.0
32.0,33.0,32.5,2.021945,3.0,1.0,1,1.0
33.0,34.0,33.5,3.203491,3.0,1.0,1,1.0
34.0,35.0,34.5,2.824075,3.0,1.0,1,1.0
35.0,36.0,35.5,2.66772,3.0,1.0,1,1.0
36.0,37.0,36.5,2.59668,3.0,1.0,1,1.0
37.0,38.0,37.5,2.782907,3.0,1.0,1,1.0
38.0,39.0,38.5,2.538043,3.0,1.0,1,1.0
39.0,40.0,39.5,2.890212,3.0,1.0,1,1.0
40.0,41.0,40.5,2.718812,3.0,1.0,1,1.0
41.0,42.0,41.5,3.385553,3.202312,1.0,2,1.0
42.0,43.0,42.5,4.465296,4.625,1.0,1,1.0
43.0,44.0,43.5,4.426579,4.625,1.0,1,1.0
44.0,45.0,44.5,4.134512,4.625,1.0,1,1.0
45.0,46.0,45.5,4.371735,4.625,1.0,1,1.0
46.0,47.0,46.5,4.445219,4.62725,1.0,2,1.0
47.0,48.0,47.5,4.485366,4.875,1.0,1,1.0
48.0,49.0,48.5,4.128108,4.864219,1.0,2,1.0
49.0,50.0,49.5,4.101281,4.75,1.0,1,1.0
50.0,51.0,50.5,4.383129,4.75,1.0,1,1.0
51.0,52.0,51.5,4.481605,4.75,1.0,1,1.0
52.0,53.0,52.5,4.135283,4.75,1.0,1,1.0
53.0,54.0,53.5,4.291817,4.75,1.0,1,1.0
54.0,55.0,54.5,4.640765,4.75,1.0,1,1.0
55.0,56.0,55.5,4.299567,4.31175,1.0,2,1.0
56.0,57.0,56.5,4.239108,3.75,1.0,1,1.0
57.0,58.0,57.5,4.672324,3.75,1.0,1,1.0
58.0,59.0,58.5,4.210183,3.75,1.0,1,1.0
59.0,60.0,59.5,3.833825,3.75,1.0,1,1.0
60.0,61.0,60.5,4.598253,3.75,1.0,1,1.0
61.0,62.0,61.5,4.511364,3.75,1.0,1,1.0
62.0,63.0,62.5,4.386241,4.377516,1.0,2,1.0
63.0,64.0,63.5,4.487218,4.5,1.0,1,1.0
64.0,65.0,64.5,4.624815,4.5,1.0,1,1.0
65.0,66.0,65.5,3.866129,4.5,1.0,1,1.0
66.0,67.0,66.5,4.683428,4.5,1.0,1,1.0
67.0,68.0,67.5,4.33486,4.5,1.0,1,1.0
68.0,69.0,68.5,3.766432,3.600938,1.0,2,1.0
69.0,70.0,69.5,2.813299,2.75,1.0,1,1.0
70.0,71.0,70.5,3.18024,2.75,1.0,1,1.0
71.0,72.0,71.5,2.681493,2.75,1.0,1,1.0
72.0,73.0,72.5,2.808449,2.75,1.0,1,1.0
73.0,74.0,73.5,2.518954,2.75,1.0,1,1.0
74.0,75.0,74.5,3.170486,2.75,1.0,1,1.0
75.0,76.0,75.5,2.683329,2.939672,1.0,2,1.0
76.0,77.0,76.5,2.760706,3.0,1.0,1,1.0
77.0,78.0,77.5,2.982174,3.0,1.0,1,1.0
78.0,79.0,78.5,2.929408,3.0,1.0,1,1.0
79.0,80.0,79.5,2.896379,3.0,1.0,1,1.0
80.0,81.0,80.5,2.80136,3.0,1.0,1,1.0
81.0,82.0,81.5,2.619902,3.0,1.0,1,1.0
82.0,83.0,82.5,3.192782,3.0,1.0,1,1.0
83.0,84.0,83.5,2.506371,3.0,1.0,1,1.0
84.0,85.0,84.5,2.716403,3.0,1.0,1,1.0
85.0,86.0,85.5,2.841916,3.0,1.0,1,1.0
86.0,87.0,86.5,2.827524,3.0,1.0,1,1.0
87.0,88.0,87.5,2.640143,3.0,1.0,1,1.0
88.0,89.0,88.5,2.875854,3.330352,1.0,2,1.0
