block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,2.897844,2.125,1.0,1,1.0
1.0,2.0,1.5,2.788578,2.125,1.0,1,1.0
2.0,3.0,2.5,3.286496,2.125,1.0,1,1.0
3.0,4.0,3.5,1.053144,2.125,1.0,1,1.0
4.0,5.0,4.5,2.065628,2.125,1.0,1,1.0
5.0,6.0,5.5,3.032636,2.125,1.0,1,1.0
6.0,7.0,6.5,3.095446,2.125,1.0,1,1.0
7.0,8.0,7.5,2.066416,2.125,1.0,1,1.0
8.0,9.0,8.5,3.321163,2.125,1.0,1,1.0
9.0,10.0,9.5,1.046227,2.125,1.0,1,1.0
10.0,11.0,10.5,1.995517,2.125,1.0,1,1.0
11.0,12.0,11.5,2.703553,2.125,1.0,1,1.0
12.0,13.0,12.5,2.686872,2.125,1.0,1,1.0
13.0,14.0,13.5,1.045674,2.125,1.0,1,1.0
14.0,15.0,14.5,2.048825,2.502406,1.0,2,1.0
15.0,16.0,15.5,2.896517,2.625,1.0,1,1.0
16.0,17.0,16.5,2.643041,2.625,1.0,1,1.0
17.0,18.0,17.5,3.070363,2.625,1.0,1,1.0
18.0,19.0,18.5,3.325534,2.625,1.0,1,1.0
19.0,20.0,19.5,1.056511,2.625,1.0,1,1.0
20.0,21.0,20.5,3.367388,2.625,1.0,1,1.0
21.0,22.0,21.5,2.635618,2.625,1.0,1,1.0
22.0,23.0,22.5,2.746832,2.625,1.0,1,1.0
23.0,24.0,23.5,3.202985,2.625,1.0,1,1.0
24.0,25.0,24.5,3.0358,2.625,1.0,1,1.0
25.0,26.0,25.5,2.886039,2.625,1.0,1,1.0
26.0,27.0,26.5,3.10554,2.625,1.0,1,1.0
27.0,28.0,27.5,2.839602,2.625,1.0,1,1.0
28.0,29.0,28.5,3.189829,2.625,1.0,1,1.0
29.0,30.0,29.5,2.474158,2.625,1.0,1,1.0
30.0,31.0,30.5,2.487703,2.814258,1.0,2,1.0
31.0,32.0,31.5,2.80838,3.0,1.0,1,1.0
32.0,33.0,32.5,2.832643,3.0,1.0,1,1.0
33.0,34.0,33.5,1.051321,3.0,1.0,1,1.0
34.0,35.0,34.5,3.148913,3.0,1.0,1,1.0
35.0,36.0,35.5,2.889976,3.0,1.0,1,1.0
36.0,37.0,36.5,2.435472,3.0,1.0,1,1.0
37.0,38.0,37.5,3.282037,3.0,1.0,1,1.0
38.0,39.0,38.5,3.073936,3.0,1.0,1,1.0
39.0,40.0,39.5,3.124348,3.0,1.0,1,1.0
40.0,41.0,40.5,3.397505,3.0,1.0,1,1.0
41.0,42.0,41.5,3.792242,3.202312,1.0,2,1.0
42.0,43.0,42.5,4.403907,4.625,1.0,1,1.0
43.0,44.0,43.5,4.442805,4.625,1.0,1,1.0
44.0,45.0,44.5,4.229749,4.625,1.0,1,1.0
45.0,46.0,45.5,4.40811,4.625,1.0,1,1.0
46.0,47.0,46.5,4.337782,4.62725,1.0,2,1.0
47.0,48.0,47.5,4.485366,4.875,1.0,1,1.0
48.0,49.0,48.5,4.127428,4.864219,1.0,2,1.0
49.0,50.0,49.5,4.000954,4.75,1.0,1,1.0
50.0,51.0,50.5,4.388206,4.75,1.0,1,1.0
51.0,52.0,51.5,4.462961,4.75,1.0,1,1.0
52.0,53.0,52.5,4.12159,4.75,1.0,1,1.0
53.0,54.0,53.5,4.256855,4.75,1.0,1,1.0
54.0,55.0,54.5,4.545807,4.75,1.0,1,1.0
55.0,56.0,55.5,4.280463,4.31175,1.0,2,1.0
56.0,57.0,56.5,4.341481,3.75,1.0,1,1.0
