block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,4.411612,4.625,1.0,1,1.0
1.0,2.0,1.5,4.540698,4.625,1.0,1,1.0
2.0,3.0,2.5,4.333893,4.625,1.0,1,1.0
3.0,4.0,3.5,4.304826,4.625,1.0,1,1.0
4.0,5.0,4.5,3.711965,3.744656,1.0,2,1.0
5.0,6.0,5.5,2.474301,3.0,1.0,1,1.0
6.0,7.0,6.5,3.207245,3.0,1.0,1,1.0
7.0,8.0,7.5,3.216907,3.0,1.0,1,1.0
8.0,9.0,8.5,2.904379,3.0,1.0,1,1.0
9.0,10.0,9.5,2.725115,3.0,1.0,1,1.0
10.0,11.0,10.5,2.987296,3.0,1.0,1,1.0
11.0,12.0,11.5,2.357722,3.0,1.0,1,1.0
12.0,13.0,12.5,2.682176,3.048672,1.0,2,1.0
13.0,14.0,13.5,4.260479,4.25,1.0,1,1.0
14.0,15.0,14.5,4.297365,4.25,1.0,1,1.0
15.0,16.0,15.5,4.153234,4.25,1.0,1,1.0
16.0,17.0,16.5,4.359692,4.25,1.0,1,1.0
17.0,18.0,17.5,3.777824,4.075672,1.0,2,1.0
18.0,19.0,18.5,3.003311,3.5,1.0,1,1.0
19.0,20.0,19.5,3.43192,3.5,1.0,1,1.0
20.0,21.0,20.5,3.207605,3.5,1.0,1,1.0
21.0,22.0,21.5,3.015627,3.5,1.0,1,1.0
22.0,23.0,22.5,3.173061,3.5,1.0,1,1.0
23.0,24.0,23.5,2.68705,3.5,1.0,1,1.0
24.0,25.0,24.5,2.728465,3.5,1.0,1,1.0
25.0,26.0,25.5,2.473762,3.5,1.0,1,1.0
26.0,27.0,26.5,3.226572,3.5,1.0,1,1.0
27.0,28.0,27.5,3.586788,3.5,1.0,1,1.0
28.0,29.0,28.5,2.42807,3.5,1.0,1,1.0
29.0,30.0,29.5,2.891123,3.5,1.0,1,1.0
30.0,31.0,30.5,3.276244,3.5,1.0,1,1.0
31.0,32.0,31.5,4.151292,4.024063,1.0,2,1.0
32.0,33.0,32.5,4.17634,4.25,1.0,1,1.0
33.0,34.0,33.5,4.188538,4.25,1.0,1,1.0
34.0,35.0,34.5,4.338753,4.25,1.0,1,1.0
35.0,36.0,35.5,4.281854,4.25,1.0,1,1.0
36.0,37.0,36.5,3.867147,4.25,1.0,1,1.0
37.0,38.0,37.5,4.252614,4.25,1.0,1,1.0
38.0,39.0,38.5,3.312324,4.25,1.0,1,1.0
39.0,40.0,39.5,3.606804,4.073703,1.0,2,1.0
40.0,41.0,40.5,3.100253,3.5,1.0,1,1.0
41.0,42.0,41.5,3.026123,3.5,1.0,1,1.0
42.0,43.0,42.5,3.094567,3.5,1.0,1,1.0
43.0,44.0,43.5,2.833612,3.5,1.0,1,1.0
44.0,45.0,44.5,3.38674,3.5,1.0,1,1.0
45.0,46.0,45.5,2.934546,3.5,1.0,1,1.0
46.0,47.0,46.5,2.447972,3.5,1.0,1,1.0
47.0,48.0,47.5,2.916248,3.5,1.0,1,1.0
48.0,49.0,48.5,2.927017,3.5,1.0,1,1.0
49.0,50.0,49.5,3.120879,3.5,1.0,1,1.0
50.0,51.0,50.5,3.631674,3.68725,1.0,2,1.0
51.0,52.0,51.5,4.415902,4.375,1.0,1,1.0
52.0,53.0,52.5,4.177883,4.375,1.0,1,1.0
53.0,54.0,53.5,4.334507,4.375,1.0,1,1.0
54.0,55.0,54.5,4.237584,4.375,1.0,1,1.0
55.0,56.0,55.5,4.354703,4.375,1.0,1,1.0
56.0,57.0,56.5,3.74003,4.375,1.0,1,1.0
57.0,58.0,57.5,3.493361,4.375,1.0,1,1.0
58.0,59.0,58.5,2.863759,3.573266,1.0,2,1.0
59.0,60.0,59.5,3.966402,2.75,1.0,1,1.0
60.0,61.0,60.5,2.817883,2.75,1.0,1,1.0
61.0,62.0,61.5,3.360683,2.75,1.0,1,1.0
62.0,63.0,62.5,3.220317,2.75,1.0,1,1.0
63.0,64.0,63.5,2.771334,2.75,1.0,1,1.0
64.0,65.0,64.5,3.168265,2.983461,1.0,2,1.0
65.0,66.0,65.5,4.21858,3.625,1.0,1,1.0
66.0,67.0,66.5,4.39559,3.625,1.0,1,1.0
67.0,68.0,67.5,3.274505,2.715,1.0,2,1.0
68.0,69.0,68.5,3.805317,2.625,1.0,1,1.0
69.0,70.0,69.5,2.953242,2.625,1.0,1,1.0
70.0,71.0,70.5,2.554539,2.625,1.0,1,1.0
71.0,72.0,71.5,2.615111,2.625,1.0,1,1.0
72.0,73.0,72.5,2.716694,2.625,1.0,1,1.0
73.0,74.0,73.5,2.328305,2.625,1.0,1,1.0
74.0,75.0,74.5,2.680553,2.625,1.0,1,1.0
75.0,76.0,75.5,2.238568,2.625,1.0,1,1.0
76.0,77.0,76.5,2.959629,2.625,1.0,1,1.0
77.0,78.0,77.5,2.935044,2.625,1.0,1,1.0
78.0,79.0,78.5,2.926394,2.625,1.0,1,1.0
79.0,80.0,79.5,2.896759,2.625,1.0,1,1.0
80.0,81.0,80.5,2.937808,2.786438,1.0,2,1.0
81.0,82.0,81.5,4.492379,4.375,1.0,1,1.0
82.0,83.0,82.5,3.839682,4.375,1.0,1,1.0
83.0,84.0,83.5,4.739213,4.375,1.0,1,1.0
84.0,85.0,84.5,4.338643,4.375,1.0,1,1.0
85.0,86.0,85.5,4.151399,4.375,1.0,1,1.0
86.0,87.0,86.5,4.217857,4.375,1.0,1,1.0
87.0,88.0,87.5,4.114199,4.375,1.0,1,1.0
88.0,89.0,88.5,4.325927,4.375,1.0,1,1.0
89.0,90.0,89.5,2.838645,3.85068,1.0,2,1.0
90.0,91.0,90.5,1.818882,3.25,1.0,1,1.0
91.0,92.0,91.5,2.889823,3.25,1.0,1,1.0
92.0,93.0,92.5,3.345749,3.25,1.0,1,1.0
93.0,94.0,93.5,2.785575,3.25,1.0,1,1.0
94.0,95.0,94.5,3.204819,3.25,1.0,1,1.0
95.0,96.0,95.5,2.496683,3.25,1.0,1,1.0
96.0,97.0,96.5,2.792617,3.25,1.0,1,1.0
97.0,98.0,97.5,2.97013,3.25,1.0,1,1.0
98.0,99.0,98.5,2.588551,3.25,1.0,1,1.0
99.0,100.0,99.5,2.837101,3.25,1.0,1,1.0
100.0,101.0,100.5,2.771681,3.25,1.0,1,1.0
101.0,102.0,101.5,3.32458,3.25,1.0,1,1.0
102.0,103.0,102.5,3.149425,3.25,1.0,1,1.0
103.0,104.0,103.5,3.401704,3.602406,1.0,2,1.0
104.0,105.0,104.5,3.739905,4.375,1.0,1,1.0
105.0,106.0,105.5,4.237802,4.375,1.0,1,1.0
106.0,107.0,106.5,4.268411,4.375,1.0,1,1.0
107.0,108.0,107.5,3.997824,4.375,1.0,1,1.0
108.0,109.0,108.5,2.765856,3.960109,1.0,2,1.0
109.0,110.0,109.5,3.057684,3.625,1.0,1,1.0
110.0,111.0,110.5,2.760004,3.625,1.0,1,1.0
111.0,112.0,111.5,2.645773,3.625,1.0,1,1.0
112.0,113.0,112.5,3.071442,3.625,1.0,1,1.0
113.0,114.0,113.5,4.533323,4.716172,1.0,2,1.0
114.0,115.0,114.5,3.003632,4.875,1.0,1,1.0
115.0,116.0,115.5,4.330492,4.875,1.0,1,1.0
116.0,117.0,116.5,3.965411,4.875,1.0,1,1.0
117.0,118.0,117.5,4.326859,4.875,1.0,1,1.0
118.0,119.0,118.5,4.290192,4.875,1.0,1,1.0
119.0,120.0,119.5,4.138059,4.875,1.0,1,1.0
120.0,121.0,120.5,4.38082,4.875,1.0,1,1.0
121.0,122.0,121.5,4.305755,4.875,1.0,1,1.0
122.0,123.0,122.5,3.901828,4.779609,1.0,2,1.0
123.0,124.0,123.5,2.312504,3.0,1.0,1,1.0
124.0,125.0,124.5,2.786838,3.0,1.0,1,1.0
125.0,126.0,125.5,3.150284,3.0,1.0,1,1.0
126.0,127.0,126.5,3.227386,3.0,1.0,1,1.0
127.0,128.0,127.5,3.073192,3.0,1.0,1,1.0
128.0,129.0,128.5,3.342218,3.0,1.0,1,1.0
129.0,130.0,129.5,3.512139,3.0,1.0,1,1.0
130.0,131.0,130.5,2.50087,3.0,1.0,1,1.0
