block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,2.800173,2.875,1.0,1,1.0
1.0,2.0,1.5,3.018929,2.875,1.0,1,1.0
2.0,3.0,2.5,3.013549,2.875,1.0,1,1.0
3.0,4.0,3.5,3.126943,2.875,1.0,1,1.0
4.0,5.0,4.5,2.927392,2.875,1.0,1,1.0
5.0,6.0,5.5,3.077647,2.875,1.0,1,1.0
6.0,7.0,6.5,3.117132,2.875,1.0,1,1.0
7.0,8.0,7.5,1.798669,2.875,1.0,1,1.0
8.0,9.0,8.5,1.04182,2.875,1.0,1,1.0
9.0,10.0,9.5,2.965935,2.875,1.0,1,1.0
10.0,11.0,10.5,3.217515,2.875,1.0,1,1.0
11.0,12.0,11.5,3.170667,2.875,1.0,1,1.0
12.0,13.0,12.5,1.057825,2.875,1.0,1,1.0
13.0,14.0,13.5,2.697259,2.875,1.0,1,1.0
14.0,15.0,14.5,2.853428,2.875,1.0,1,1.0
15.0,16.0,15.5,3.010341,2.875,1.0,1,1.0
16.0,17.0,16.5,3.385521,2.875,1.0,1,1.0
17.0,18.0,17.5,1.058546,2.875,1.0,1,1.0
18.0,19.0,18.5,4.453266,3.97157,1.0,2,1.0
19.0,20.0,19.5,4.509171,4.5,1.0,1,1.0
20.0,21.0,20.5,4.347991,4.5,1.0,1,1.0
21.0,22.0,21.5,4.609676,4.5,1.0,1,1.0
22.0,23.0,22.5,4.477761,4.430672,1.0,2,1.0
23.0,24.0,23.5,2.97521,2.25,1.0,1,1.0
24.0,25.0,24.5,2.35488,2.25,1.0,1,1.0
25.0,26.0,25.5,2.998338,2.25,1.0,1,1.0
26.0,27.0,26.5,3.173394,2.25,1.0,1,1.0
27.0,28.0,27.5,3.014019,2.25,1.0,1,1.0
28.0,29.0,28.5,3.542835,2.25,1.0,1,1.0
29.0,30.0,29.5,1.044712,2.25,1.0,1,1.0
30.0,31.0,30.5,2.524494,2.25,1.0,1,1.0
31.0,32.0,31.5,2.959827,2.25,1.0,1,1.0
32.0,33.0,32.5,3.122947,2.25,1.0,1,1.0
33.0,34.0,33.5,2.793002,2.25,1.0,1,1.0
34.0,35.0,34.5,2.851491,2.25,1.0,1,1.0
35.0,36.0,35.5,3.384563,2.25,1.0,1,1.0
36.0,37.0,36.5,3.13845,2.576719,1.0,2,1.0
37.0,38.0,37.5,4.561031,4.75,1.0,1,1.0
38.0,39.0,38.5,3.414824,3.662594,1.0,2,1.0
39.0,40.0,39.5,2.583945,3.0,1.0,1,1.0
40.0,41.0,40.5,3.160163,3.0,1.0,1,1.0
41.0,42.0,41.5,1.05496,3.0,1.0,1,1.0
42.0,43.0,42.5,3.105887,3.0,1.0,1,1.0
43.0,44.0,43.5,2.974685,3.0,1.0,1,1.0
44.0,45.0,44.5,1.114261,3.0,1.0,1,1.0
45.0,46.0,45.5,3.171695,3.0,1.0,1,1.0
46.0,47.0,46.5,3.021719,3.0,1.0,1,1.0
47.0,48.0,47.5,2.947996,3.0,1.0,1,1.0
48.0,49.0,48.5,3.267335,3.0,1.0,1,1.0
49.0,50.0,49.5,4.271633,3.39193,1.0,2,1.0
50.0,51.0,50.5,4.583103,4.625,1.0,1,1.0
51.0,52.0,51.5,4.297111,4.625,1.0,1,1.0
52.0,53.0,52.5,3.8933,4.625,1.0,1,1.0
53.0,54.0,53.5,4.026848,4.625,1.0,1,1.0
54.0,55.0,54.5,4.338135,4.625,1.0,1,1.0
55.0,56.0,55.5,4.403683,4.625,1.0,1,1.0
56.0,57.0,56.5,3.202138,3.804125,1.0,2,1.0
57.0,58.0,57.5,2.845261,3.625,1.0,1,1.0
58.0,59.0,58.5,3.063048,3.625,1.0,1,1.0
59.0,60.0,59.5,2.657443,3.625,1.0,1,1.0
60.0,61.0,60.5,2.829853,3.625,1.0,1,1.0
61.0,62.0,61.5,3.227964,3.625,1.0,1,1.0
62.0,63.0,62.5,1.857959,3.625,1.0,1,1.0
63.0,64.0,63.5,2.880397,3.625,1.0,1,1.0
64.0,65.0,64.5,2.968006,3.625,1.0,1,1.0
65.0,66.0,65.5,2.926179,3.625,1.0,1,1.0
66.0,67.0,66.5,2.917455,3.625,1.0,1,1.0
67.0,68.0,67.5,1.056554,3.625,1.0,1,1.0
68.0,69.0,68.5,3.117534,3.625,1.0,1,1.0
69.0,70.0,69.5,2.979185,3.625,1.0,1,1.0
70.0,71.0,70.5,2.849472,3.625,1.0,1,1.0
71.0,72.0,71.5,2.747993,3.625,1.0,1,1.0
72.0,73.0,72.5,2.972967,3.625,1.0,1,1.0
73.0,74.0,73.5,3.05929,3.625,1.0,1,1.0
74.0,75.0,74.5,2.246556,3.655344,1.0,2,1.0
75.0,76.0,75.5,4.458163,4.125,1.0,1,1.0
76.0,77.0,76.5,4.383575,4.125,1.0,1,1.0
77.0,78.0,77.5,4.412617,4.125,1.0,1,1.0
78.0,79.0,78.5,4.529874,4.125,1.0,1,1.0
79.0,80.0,79.5,3.029497,3.325781,1.0,2,1.0
80.0,81.0,80.5,1.974433,2.625,1.0,1,1.0
81.0,82.0,81.5,2.562889,2.625,1.0,1,1.0
82.0,83.0,82.5,3.069732,2.625,1.0,1,1.0
83.0,84.0,83.5,3.128612,2.625,1.0,1,1.0
84.0,85.0,84.5,1.053655,2.625,1.0,1,1.0
85.0,86.0,85.5,2.881005,2.625,1.0,1,1.0
86.0,87.0,86.5,2.960211,2.625,1.0,1,1.0
87.0,88.0,87.5,2.527699,2.625,1.0,1,1.0
88.0,89.0,88.5,2.910887,2.625,1.0,1,1.0
89.0,90.0,89.5,3.001974,2.625,1.0,1,1.0
90.0,91.0,90.5,2.62043,2.625,1.0,1,1.0
91.0,92.0,91.5,3.300515,2.625,1.0,1,1.0
92.0,93.0,92.5,2.946938,2.625,1.0,1,1.0
93.0,94.0,93.5,2.927816,2.625,1.0,1,1.0
94.0,95.0,94.5,3.028641,2.625,1.0,1,1.0
95.0,96.0,95.5,4.072572,3.119703,1.0,2,1.0
96.0,97.0,96.5,4.535326,4.375,1.0,1,1.0
97.0,98.0,97.5,3.265237,4.375,1.0,1,1.0
98.0,99.0,98.5,4.61201,4.375,1.0,1,1.0
99.0,100.0,99.5,4.442842,4.375,1.0,1,1.0
100.0,101.0,100.5,3.606044,4.178828,1.0,2,1.0
101.0,102.0,101.5,3.267723,2.5,1.0,1,1.0
102.0,103.0,102.5,2.672741,2.5,1.0,1,1.0
103.0,104.0,103.5,2.727319,2.5,1.0,1,1.0
104.0,105.0,104.5,2.970435,2.5,1.0,1,1.0
105.0,106.0,105.5,3.320106,2.5,1.0,1,1.0
