seconds,mos_pred_concat,mos_target_concat_durw
9.852375,4.529216,4.25
18.687375,3.646578,3.599929
20.610125,3.76749,3.718882
33.765125,3.487751,3.195301
40.413125,3.629175,3.451051
51.228125,3.554331,3.434995
57.51625,3.626327,3.537764
64.40625,3.591448,3.547096
69.52175,3.628569,3.62641
83.49175,3.55097,3.500683
88.23575,3.577545,3.54097
101.50075,3.530794,3.486607
108.404187,3.569589,3.551142
112.769187,3.571078,3.524971
119.092125,3.587042,3.576738
133.772125,3.538029,3.568317
138.736687,3.554343,3.59271
143.556687,3.557779,3.593794
150.15825,3.581912,3.600662
160.02825,3.555607,3.602163
169.880625,3.575299,3.639735
179.565625,3.56255,3.611972
181.488375,3.563379,3.625353
