seconds,mos_pred_concat,mos_target_concat_durw
9.147687,3.034348,3.5
11.070438,3.21862,3.738815
21.915188,2.969615,3.620637
31.767563,3.164469,3.815827
37.481,3.028813,3.74863
44.082563,3.093998,3.748835
59.359563,2.951034,3.556112
64.324125,3.018421,3.609666
69.004375,2.956793,3.610706
75.327313,2.997756,3.685353
89.480125,2.868203,3.616495
96.383562,2.929313,3.679775
110.201313,2.820063,3.547521
114.945312,2.849514,3.576513
121.171875,2.845248,3.534042
126.287375,2.868237,3.578233
137.308437,2.832269,3.571954
143.596563,2.864373,3.60712
157.13025,2.824509,3.597893
163.77825,2.852858,3.644659
172.281062,2.825728,3.612842
174.203812,2.833019,3.626773
185.236562,2.81893,3.596887
