seconds,mos_pred_concat,mos_target_concat_durw
1.92275,4.494092,4.875
11.60775,3.363181,3.414876
21.460125,3.606717,3.798283
31.330125,3.341533,3.743693
37.931688,3.394188,3.744791
42.751688,3.373464,3.731285
47.71625,3.474845,3.785254
62.39625,3.206908,3.718142
68.719188,3.238707,3.790082
73.084187,3.212858,3.735428
79.987625,3.286952,3.801415
93.252625,3.170644,3.705197
97.996625,3.20261,3.73157
111.966625,3.100289,3.624697
117.082125,3.13005,3.668402
123.972125,3.075704,3.665989
130.26025,3.103225,3.700216
141.07525,3.072721,3.675284
147.72325,3.105261,3.72365
160.87825,3.048029,3.613371
162.801,3.058008,3.628271
171.636,3.032614,3.589497
181.488375,3.080603,3.625353
