block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,4.093023,4.25,1.0,1,1.0
1.0,2.0,1.5,4.051089,4.25,1.0,1,1.0
2.0,3.0,2.5,4.009362,4.25,1.0,1,1.0
3.0,4.0,3.5,4.279576,4.25,1.0,1,1.0
4.0,5.0,4.5,3.492011,4.080687,1.0,2,1.0
5.0,6.0,5.5,2.808615,3.375,1.0,1,1.0
6.0,7.0,6.5,3.008941,3.375,1.0,1,1.0
7.0,8.0,7.5,3.033618,3.375,1.0,1,1.0
8.0,9.0,8.5,3.297984,3.375,1.0,1,1.0
9.0,10.0,9.5,2.893432,3.375,1.0,1,1.0
10.0,11.0,10.5,3.049065,3.375,1.0,1,1.0
11.0,12.0,11.5,2.694008,3.375,1.0,1,1.0
12.0,13.0,12.5,2.954393,3.375,1.0,1,1.0
13.0,14.0,13.5,2.890146,3.375,1.0,1,1.0
14.0,15.0,14.5,2.848958,3.375,1.0,1,1.0
15.0,16.0,15.5,3.507464,3.848125,1.0,2,1.0
16.0,17.0,16.5,3.267773,4.625,1.0,1,1.0
17.0,18.0,17.5,1.094593,4.625,1.0,1,1.0
18.0,19.0,18.5,1.094435,4.625,1.0,1,1.0
19.0,20.0,19.5,4.497978,4.625,1.0,1,1.0
20.0,21.0,20.5,4.319056,4.394937,1.0,2,1.0
21.0,22.0,21.5,1.085532,4.375,1.0,1,1.0
22.0,23.0,22.5,1.094474,4.375,1.0,1,1.0
23.0,24.0,23.5,1.091002,4.375,1.0,1,1.0
24.0,25.0,24.5,3.4267,4.375,1.0,1,1.0
25.0,26.0,25.5,4.099511,4.375,1.0,1,1.0
26.0,27.0,26.5,3.582895,4.375,1.0,1,1.0
27.0,28.0,27.5,3.926309,4.375,1.0,1,1.0
28.0,29.0,28.5,3.811466,3.933906,1.0,2,1.0
29.0,30.0,29.5,2.664259,2.875,1.0,1,1.0
30.0,31.0,30.5,2.767889,2.875,1.0,1,1.0
31.0,32.0,31.5,2.858138,2.875,1.0,1,1.0
32.0,33.0,32.5,2.653219,2.875,1.0,1,1.0
33.0,34.0,33.5,2.704416,2.875,1.0,1,1.0
34.0,35.0,34.5,1.920973,2.875,1.0,1,1.0
35.0,36.0,35.5,2.758123,2.875,1.0,1,1.0
36.0,37.0,36.5,2.611226,2.875,1.0,1,1.0
37.0,38.0,37.5,2.704424,2.875,1.0,2,1.0
38.0,39.0,38.5,3.01965,2.875,1.0,1,1.0
39.0,40.0,39.5,3.122589,2.875,1.0,1,1.0
40.0,41.0,40.5,2.976056,2.875,1.0,1,1.0
41.0,42.0,41.5,2.111706,2.945547,1.0,2,1.0
42.0,43.0,42.5,3.691896,3.625,1.0,1,1.0
43.0,44.0,43.5,4.34021,3.625,1.0,1,1.0
44.0,45.0,44.5,2.692655,3.348531,1.0,2,1.0
45.0,46.0,45.5,2.615843,3.25,1.0,1,1.0
46.0,47.0,46.5,2.939977,3.25,1.0,1,1.0
47.0,48.0,47.5,2.550856,3.25,1.0,1,1.0
48.0,49.0,48.5,2.621485,3.25,1.0,1,1.0
49.0,50.0,49.5,2.850788,3.25,1.0,1,1.0
50.0,51.0,50.5,2.769558,3.25,1.0,1,1.0
51.0,52.0,51.5,3.238771,3.25,1.0,1,1.0
52.0,53.0,52.5,2.686497,3.25,1.0,1,1.0
53.0,54.0,53.5,3.152967,3.25,1.0,1,1.0
54.0,55.0,54.5,3.142966,3.25,1.0,1,1.0
55.0,56.0,55.5,2.863053,2.963656,1.0,2,1.0
56.0,57.0,56.5,2.776225,2.375,1.0,1,1.0
57.0,58.0,57.5,2.975929,2.375,1.0,1,1.0
58.0,59.0,58.5,3.232536,2.375,1.0,1,1.0
59.0,60.0,59.5,2.699389,2.375,1.0,1,1.0
60.0,61.0,60.5,2.822465,2.375,1.0,1,1.0
61.0,62.0,61.5,2.458244,2.375,1.0,1,1.0
62.0,63.0,62.5,2.782758,2.375,1.0,1,1.0
63.0,64.0,63.5,2.937045,2.375,1.0,1,1.0
64.0,65.0,64.5,3.086686,2.375,1.0,1,1.0
65.0,66.0,65.5,2.959894,2.375,1.0,1,1.0
66.0,67.0,66.5,2.438582,2.375,1.0,1,1.0
67.0,68.0,67.5,2.738345,2.375,1.0,1,1.0
68.0,69.0,68.5,2.175618,2.7195,1.0,2,1.0
69.0,70.0,69.5,3.87026,4.375,1.0,1,1.0
70.0,71.0,70.5,4.17595,4.375,1.0,1,1.0
71.0,72.0,71.5,3.967181,4.375,1.0,1,1.0
72.0,73.0,72.5,2.945809,4.375,1.0,1,1.0
73.0,74.0,73.5,2.991384,4.014336,1.0,2,1.0
74.0,75.0,74.5,2.84385,3.5,1.0,1,1.0
75.0,76.0,75.5,2.855134,3.5,1.0,1,1.0
76.0,77.0,76.5,2.328121,3.5,1.0,1,1.0
77.0,78.0,77.5,3.141886,3.5,1.0,1,1.0
78.0,79.0,78.5,2.920962,3.5,1.0,1,1.0
79.0,80.0,79.5,3.079434,3.5,1.0,1,1.0
80.0,81.0,80.5,2.241193,3.5,1.0,1,1.0
81.0,82.0,81.5,2.71207,3.5,1.0,1,1.0
82.0,83.0,82.5,2.463052,3.5,1.0,1,1.0
83.0,84.0,83.5,2.82305,3.5,1.0,1,1.0
84.0,85.0,84.5,1.916508,3.5,1.0,1,1.0
85.0,86.0,85.5,2.460703,3.5,1.0,1,1.0
86.0,87.0,86.5,2.739046,3.5,1.0,1,1.0
87.0,88.0,87.5,2.804437,3.5,1.0,1,1.0
88.0,89.0,88.5,2.536737,3.22543,1.0,2,1.0
89.0,90.0,89.5,2.749125,3.125,1.0,1,1.0
90.0,91.0,90.5,2.283621,3.125,1.0,1,1.0
91.0,92.0,91.5,2.84567,3.125,1.0,1,1.0
92.0,93.0,92.5,3.125569,3.125,1.0,1,1.0
93.0,94.0,93.5,2.849606,3.125,1.0,1,1.0
94.0,95.0,94.5,2.625792,3.125,1.0,1,1.0
95.0,96.0,95.5,2.654951,3.125,1.0,1,1.0
96.0,97.0,96.5,3.090696,3.125,1.0,1,1.0
97.0,98.0,97.5,2.74992,3.183984,1.0,2,1.0
98.0,99.0,98.5,4.20183,4.375,1.0,1,1.0
99.0,100.0,99.5,4.188415,4.375,1.0,1,1.0
100.0,101.0,100.5,4.163193,4.375,1.0,1,1.0
101.0,102.0,101.5,4.38704,4.375,1.0,1,1.0
102.0,103.0,102.5,1.1125,4.375,1.0,1,1.0
103.0,104.0,103.5,1.093618,4.375,1.0,1,1.0
104.0,105.0,104.5,1.095882,4.375,1.0,1,1.0
105.0,106.0,105.5,2.864219,4.456641,1.0,2,1.0
106.0,107.0,106.5,3.295626,4.625,1.0,1,1.0
107.0,108.0,107.5,1.094665,4.625,1.0,1,1.0
108.0,109.0,108.5,1.096063,4.625,1.0,1,1.0
109.0,110.0,109.5,4.437259,4.625,1.0,1,1.0
110.0,111.0,110.5,3.91173,4.299383,1.0,2,1.0
111.0,112.0,111.5,1.089259,4.25,1.0,1,1.0
112.0,113.0,112.5,1.091079,4.25,1.0,1,1.0
113.0,114.0,113.5,1.093184,4.25,1.0,1,1.0
114.0,115.0,114.5,3.704187,4.25,1.0,1,1.0
115.0,116.0,115.5,4.063024,4.25,1.0,1,1.0
116.0,117.0,116.5,4.103425,4.25,1.0,1,1.0
117.0,118.0,117.5,3.52108,4.25,1.0,1,1.0
118.0,119.0,118.5,4.044388,4.25,1.0,2,1.0
119.0,120.0,119.5,4.124671,4.25,1.0,1,1.0
120.0,121.0,120.5,4.233985,4.25,1.0,1,1.0
121.0,122.0,121.5,4.370564,4.25,1.0,1,1.0
122.0,123.0,122.5,3.836672,4.25,1.0,1,1.0
123.0,124.0,123.5,4.339964,4.399531,1.0,2,1.0
124.0,125.0,124.5,4.123102,4.5,1.0,1,1.0
125.0,126.0,125.5,4.22123,4.5,1.0,1,1.0
126.0,127.0,126.5,2.804031,4.5,1.0,1,1.0
127.0,128.0,127.5,1.095702,4.5,1.0,1,1.0
128.0,129.0,128.5,1.096857,4.5,1.0,1,1.0
129.0,130.0,129.5,2.800282,4.5,1.0,1,1.0
130.0,131.0,130.5,4.333801,4.5,1.0,1,1.0
131.0,132.0,131.5,3.483481,4.219328,1.0,2,1.0
132.0,133.0,132.5,2.485959,3.125,1.0,1,1.0
133.0,134.0,133.5,2.903713,3.125,1.0,1,1.0
134.0,135.0,134.5,2.655275,3.125,1.0,1,1.0
