elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
11.380187,2.806159,3.0
18.270187,2.858795,3.235698
37.030375,2.75428,3.432925
51.000375,2.80899,3.280098
67.2505,2.713147,3.121803
80.5155,2.731211,3.12233
86.685563,2.735348,3.078034
91.050562,2.743961,3.0683
111.50075,2.811818,3.055774
126.18075,2.813668,3.107455
132.935812,2.847513,3.089291
137.755812,2.865046,3.108036
150.985937,2.839444,3.098569
160.855937,2.845337,3.13087
175.101125,2.801775,3.049039
184.786125,2.824529,3.05302
