block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,2.506476,3.0,1.0,1,1.0
1.0,2.0,1.5,3.045619,3.0,1.0,1,1.0
2.0,3.0,2.5,1.095709,3.0,1.0,1,1.0
3.0,4.0,3.5,1.095681,3.0,1.0,1,1.0
4.0,5.0,4.5,1.215904,3.0,1.0,1,1.0
5.0,6.0,5.5,3.111215,3.0,1.0,1,1.0
6.0,7.0,6.5,1.074876,3.0,1.0,1,1.0
7.0,8.0,7.5,1.096581,3.0,1.0,1,1.0
8.0,9.0,8.5,1.096195,3.0,1.0,1,1.0
9.0,10.0,9.5,2.856049,3.0,1.0,1,1.0
10.0,11.0,10.5,2.808618,3.0,1.0,1,1.0
11.0,12.0,11.5,3.078318,3.387383,1.0,2,1.0
12.0,13.0,12.5,3.038487,3.625,1.0,1,1.0
13.0,14.0,13.5,2.595152,3.625,1.0,1,1.0
14.0,15.0,14.5,1.094551,3.625,1.0,1,1.0
15.0,16.0,15.5,1.094294,3.625,1.0,1,1.0
16.0,17.0,16.5,1.600273,3.625,1.0,1,1.0
17.0,18.0,17.5,2.873038,3.625,1.0,1,1.0
18.0,19.0,18.5,2.776462,3.625,1.0,2,1.0
19.0,20.0,19.5,2.735775,3.625,1.0,1,1.0
20.0,21.0,20.5,2.386635,3.625,1.0,1,1.0
21.0,22.0,21.5,2.819284,3.625,1.0,1,1.0
22.0,23.0,22.5,3.014432,3.625,1.0,1,1.0
23.0,24.0,23.5,1.095723,3.625,1.0,1,1.0
24.0,25.0,24.5,1.096488,3.625,1.0,1,1.0
25.0,26.0,25.5,1.095557,3.625,1.0,1,1.0
26.0,27.0,26.5,2.334492,3.625,1.0,1,1.0
27.0,28.0,27.5,3.242496,3.625,1.0,1,1.0
28.0,29.0,28.5,2.735127,3.625,1.0,1,1.0
29.0,30.0,29.5,1.09624,3.625,1.0,1,1.0
30.0,31.0,30.5,1.093856,3.625,1.0,1,1.0
31.0,32.0,31.5,1.097914,3.625,1.0,1,1.0
32.0,33.0,32.5,1.15974,3.625,1.0,1,1.0
33.0,34.0,33.5,2.764895,3.625,1.0,1,1.0
34.0,35.0,34.5,2.783464,3.625,1.0,1,1.0
35.0,36.0,35.5,2.863596,3.625,1.0,1,1.0
36.0,37.0,36.5,3.543062,3.625,1.0,1,1.0
37.0,38.0,37.5,2.66514,2.897781,1.0,2,1.0
38.0,39.0,38.5,2.319319,2.875,1.0,1,1.0
39.0,40.0,39.5,2.34984,2.875,1.0,1,1.0
40.0,41.0,40.5,2.716727,2.875,1.0,1,1.0
41.0,42.0,41.5,2.916632,2.875,1.0,1,1.0
42.0,43.0,42.5,2.286273,2.875,1.0,1,1.0
43.0,44.0,43.5,2.804364,2.875,1.0,1,1.0
44.0,45.0,44.5,2.724618,2.875,1.0,1,1.0
45.0,46.0,45.5,1.873155,2.875,1.0,1,1.0
46.0,47.0,46.5,2.885059,2.875,1.0,1,1.0
47.0,48.0,47.5,2.755789,2.875,1.0,1,1.0
48.0,49.0,48.5,2.789326,2.875,1.0,1,1.0
49.0,50.0,49.5,3.217806,2.875,1.0,1,1.0
50.0,51.0,50.5,3.025843,2.875,1.0,1,1.0
