elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
9.147687,2.966946,3.5
23.392875,2.589557,2.662688
34.237625,2.671209,2.927906
47.46775,2.688252,2.948
53.181188,2.749091,2.993874
59.93625,2.831825,2.966389
75.21325,2.853019,2.973216
95.663438,2.826764,2.978941
100.343688,2.819264,3.009075
106.51375,2.828629,2.979586
120.666562,2.793408,3.011302
136.916687,2.756467,2.965453
150.734437,2.731342,2.934244
169.494625,2.708097,3.010699
175.721187,2.745747,3.001461
187.101375,2.717365,3.001373
