block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,2.654495,3.5,1.0,1,1.0
1.0,2.0,1.5,3.124523,3.5,1.0,1,1.0
2.0,3.0,2.5,2.898747,3.5,1.0,1,1.0
3.0,4.0,3.5,3.164882,3.5,1.0,1,1.0
4.0,5.0,4.5,3.030368,3.5,1.0,1,1.0
5.0,6.0,5.5,3.204729,3.5,1.0,1,1.0
6.0,7.0,6.5,2.815277,3.5,1.0,1,1.0
7.0,8.0,7.5,2.46607,3.5,1.0,1,1.0
8.0,9.0,8.5,3.276385,3.5,1.0,1,1.0
9.0,10.0,9.5,3.387462,2.32807,1.0,2,1.0
10.0,11.0,10.5,2.889099,2.125,1.0,1,1.0
11.0,12.0,11.5,2.828564,2.125,1.0,1,1.0
12.0,13.0,12.5,1.057644,2.125,1.0,1,1.0
13.0,14.0,13.5,1.876436,2.125,1.0,1,1.0
14.0,15.0,14.5,2.868393,2.125,1.0,1,1.0
15.0,16.0,15.5,2.995314,2.125,1.0,1,1.0
16.0,17.0,16.5,2.045214,2.125,1.0,1,1.0
17.0,18.0,17.5,3.596147,2.125,1.0,1,1.0
18.0,19.0,18.5,1.057156,2.125,1.0,1,1.0
19.0,20.0,19.5,1.976248,2.125,1.0,1,1.0
20.0,21.0,20.5,2.428949,2.125,1.0,1,1.0
21.0,22.0,21.5,2.672181,2.125,1.0,1,1.0
22.0,23.0,22.5,2.620327,2.125,1.0,1,1.0
23.0,24.0,23.5,3.408856,2.959797,1.0,2,1.0
24.0,25.0,24.5,3.246817,3.5,1.0,1,1.0
25.0,26.0,25.5,3.373535,3.5,1.0,1,1.0
26.0,27.0,26.5,3.214903,3.5,1.0,1,1.0
27.0,28.0,27.5,3.248439,3.5,1.0,1,1.0
28.0,29.0,28.5,3.098447,3.5,1.0,1,1.0
29.0,30.0,29.5,3.830088,3.5,1.0,1,1.0
30.0,31.0,30.5,1.881598,3.5,1.0,1,1.0
31.0,32.0,31.5,3.243661,3.5,1.0,1,1.0
32.0,33.0,32.5,3.375068,3.5,1.0,1,1.0
33.0,34.0,33.5,2.756964,3.5,1.0,1,1.0
34.0,35.0,34.5,2.554817,3.118812,1.0,2,1.0
35.0,36.0,35.5,2.922388,3.0,1.0,1,1.0
36.0,37.0,36.5,3.032211,3.0,1.0,1,1.0
37.0,38.0,37.5,2.95914,3.0,1.0,1,1.0
38.0,39.0,38.5,3.052553,3.0,1.0,1,1.0
39.0,40.0,39.5,2.954419,3.0,1.0,1,1.0
40.0,41.0,40.5,3.276201,3.0,1.0,1,1.0
41.0,42.0,41.5,1.058861,3.0,1.0,1,1.0
42.0,43.0,42.5,2.831198,3.0,1.0,1,1.0
43.0,44.0,43.5,2.63612,3.0,1.0,1,1.0
44.0,45.0,44.5,2.976883,3.0,1.0,1,1.0
45.0,46.0,45.5,3.192067,3.0,1.0,1,1.0
46.0,47.0,46.5,2.719359,3.0,1.0,1,1.0
47.0,48.0,47.5,3.177342,3.199594,1.0,2,1.0
48.0,49.0,48.5,2.728166,3.375,1.0,1,1.0
49.0,50.0,49.5,3.091813,3.375,1.0,1,1.0
50.0,51.0,50.5,2.74098,3.375,1.0,1,1.0
51.0,52.0,51.5,3.093294,3.375,1.0,1,1.0
52.0,53.0,52.5,3.619898,3.375,1.0,1,1.0
53.0,54.0,53.5,3.430544,2.863242,1.0,2,1.0
54.0,55.0,54.5,2.816753,2.75,1.0,1,1.0
55.0,56.0,55.5,2.925757,2.75,1.0,1,1.0
56.0,57.0,56.5,3.063463,2.75,1.0,1,1.0
57.0,58.0,57.5,2.870527,2.75,1.0,1,1.0
58.0,59.0,58.5,3.363256,2.75,1.0,1,1.0
59.0,60.0,59.5,2.615048,2.765938,1.0,2,1.0
60.0,61.0,60.5,2.300414,3.0,1.0,1,1.0
61.0,62.0,61.5,2.901066,3.0,1.0,1,1.0
62.0,63.0,62.5,3.311611,3.0,1.0,1,1.0
63.0,64.0,63.5,3.1894,3.0,1.0,1,1.0
