elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
4.794937,3.295673,3.25
9.601437,3.787613,3.750602
11.331312,3.850321,3.845925
15.789562,3.77726,4.0659
25.379375,3.787745,4.324393
33.773375,3.812071,4.368038
42.631813,3.926666,4.317537
52.453875,3.858338,4.421923
57.388125,3.898036,4.417889
62.148188,3.918802,4.414604
67.32625,3.870135,4.411558
75.952438,3.859228,4.407406
80.480312,3.847071,4.391517
82.837125,3.851353,4.369709
89.257437,3.900921,4.388072
96.978062,3.881913,4.387032
98.487375,3.888519,4.392594
106.951062,3.867987,4.38131
111.595062,3.895103,4.386249
116.401562,3.910929,4.380623
122.125312,3.938983,4.368642
126.583562,3.926747,4.377671
134.013937,3.935567,4.308217
142.407938,3.932623,4.319522
147.179625,3.943278,4.317268
157.001688,3.919411,4.352159
166.0575,3.895393,4.339771
170.817563,3.903022,4.340753
178.561438,3.900552,4.35308
187.187625,3.894724,4.354091
