block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,2.640431,3.0,1.0,1,1.0
1.0,2.0,1.5,2.895988,3.0,1.0,1,1.0
2.0,3.0,2.5,2.752329,3.0,1.0,1,1.0
3.0,4.0,3.5,2.100877,3.0,1.0,1,1.0
4.0,5.0,4.5,2.100877,3.0,1.0,1,1.0
5.0,6.0,5.5,2.100877,3.0,1.0,1,1.0
6.0,7.0,6.5,2.355829,3.0,1.0,1,1.0
7.0,8.0,7.5,2.743109,3.0,1.0,1,1.0
8.0,9.0,8.5,2.809459,3.0,1.0,1,1.0
9.0,10.0,9.5,2.696867,3.0,1.0,1,1.0
10.0,11.0,10.5,2.756298,3.0,1.0,1,1.0
11.0,12.0,11.5,2.710536,3.0,1.0,1,1.0
12.0,13.0,12.5,2.100877,3.0,1.0,1,1.0
13.0,14.0,13.5,2.100877,3.0,1.0,1,1.0
14.0,15.0,14.5,2.100877,3.0,1.0,1,1.0
15.0,16.0,15.5,2.475483,3.0,1.0,1,1.0
16.0,17.0,16.5,2.930764,3.0,1.0,1,1.0
17.0,18.0,17.5,2.901099,3.0,1.0,1,1.0
18.0,19.0,18.5,2.808182,3.0,1.0,1,1.0
19.0,20.0,19.5,2.951674,3.0,1.0,1,1.0
20.0,21.0,20.5,2.654369,3.687266,1.0,2,1.0
21.0,22.0,21.5,3.814869,4.25,1.0,1,1.0
22.0,23.0,22.5,2.083955,4.25,1.0,1,1.0
23.0,24.0,23.5,2.083955,4.25,1.0,1,1.0
24.0,25.0,24.5,3.234283,4.25,1.0,1,1.0
25.0,26.0,25.5,4.022741,4.25,1.0,1,1.0
26.0,27.0,26.5,3.636095,4.25,1.0,1,1.0
27.0,28.0,27.5,3.844107,4.25,1.0,1,1.0
28.0,29.0,28.5,3.276734,4.260766,1.0,2,1.0
29.0,30.0,29.5,4.423244,4.375,1.0,1,1.0
30.0,31.0,30.5,2.085737,4.375,1.0,1,1.0
31.0,32.0,31.5,2.085737,4.375,1.0,1,1.0
32.0,33.0,32.5,2.085737,4.375,1.0,1,1.0
33.0,34.0,33.5,3.984869,4.375,1.0,1,1.0
34.0,35.0,34.5,4.097799,4.375,1.0,1,1.0
35.0,36.0,35.5,4.313344,4.375,1.0,1,1.0
36.0,37.0,36.5,3.680968,4.375,1.0,1,1.0
37.0,38.0,37.5,4.196212,4.604969,1.0,2,1.0
38.0,39.0,38.5,1.99158,4.875,1.0,1,1.0
39.0,40.0,39.5,2.07061,4.875,1.0,1,1.0
40.0,41.0,40.5,1.7342,4.875,1.0,1,1.0
41.0,42.0,41.5,4.30239,4.875,1.0,1,1.0
42.0,43.0,42.5,4.110674,4.875,1.0,1,1.0
43.0,44.0,43.5,2.07061,4.875,1.0,1,1.0
44.0,45.0,44.5,2.07061,4.875,1.0,1,1.0
45.0,46.0,45.5,3.968347,4.875,1.0,1,1.0
46.0,47.0,46.5,4.216393,4.875,1.0,1,1.0
47.0,48.0,47.5,3.49061,4.077656,1.0,2,1.0
48.0,49.0,48.5,4.051326,3.625,1.0,1,1.0
49.0,50.0,49.5,3.631575,3.238539,1.0,2,1.0
50.0,51.0,50.5,2.489332,2.25,1.0,1,1.0
51.0,52.0,51.5,2.769473,2.25,1.0,1,1.0
52.0,53.0,52.5,2.950654,2.25,1.0,1,1.0
53.0,54.0,53.5,2.838953,2.25,1.0,1,1.0
54.0,55.0,54.5,2.833627,2.25,1.0,1,1.0
55.0,56.0,55.5,2.107922,2.25,1.0,1,1.0
56.0,57.0,56.5,2.107922,2.25,1.0,1,1.0
57.0,58.0,57.5,2.107922,2.25,1.0,1,1.0
58.0,59.0,58.5,2.458174,2.25,1.0,1,1.0
59.0,60.0,59.5,2.258392,2.25,1.0,1,1.0
60.0,61.0,60.5,2.694395,2.25,1.0,1,1.0
61.0,62.0,61.5,2.788427,2.25,1.0,1,1.0
62.0,63.0,62.5,2.883145,2.25,1.0,1,1.0
63.0,64.0,63.5,2.46682,2.535703,1.0,2,1.0
64.0,65.0,64.5,3.306467,3.0,1.0,1,1.0
65.0,66.0,65.5,2.946502,3.0,1.0,1,1.0
66.0,67.0,66.5,2.780691,3.0,1.0,1,1.0
67.0,68.0,67.5,2.902151,3.0,1.0,1,1.0
68.0,69.0,68.5,2.731054,3.0,1.0,1,1.0
69.0,70.0,69.5,2.109401,3.0,1.0,1,1.0
70.0,71.0,70.5,2.109401,3.0,1.0,1,1.0
71.0,72.0,71.5,2.109401,3.0,1.0,1,1.0
72.0,73.0,72.5,2.109401,3.0,1.0,1,1.0
73.0,74.0,73.5,2.64347,3.0,1.0,1,1.0
74.0,75.0,74.5,2.591032,3.0,1.0,1,1.0
75.0,76.0,75.5,3.053904,3.0,1.0,1,1.0
76.0,77.0,76.5,2.914524,3.0,1.0,2,1.0
77.0,78.0,77.5,2.127091,3.0,1.0,1,1.0
78.0,79.0,78.5,3.956775,3.0,1.0,1,1.0
79.0,80.0,79.5,2.086656,3.0,1.0,1,1.0
80.0,81.0,80.5,2.086656,3.0,1.0,1,1.0
81.0,82.0,81.5,2.486273,3.0,1.0,1,1.0
82.0,83.0,82.5,3.564206,3.0,1.0,1,1.0
83.0,84.0,83.5,2.086656,3.0,1.0,1,1.0
84.0,85.0,84.5,2.086656,3.0,1.0,1,1.0
85.0,86.0,85.5,2.086656,3.0,1.0,1,1.0
86.0,87.0,86.5,2.879164,3.0,1.0,1,1.0
87.0,88.0,87.5,3.121354,3.0,1.0,1,1.0
88.0,89.0,88.5,3.077464,4.059609,1.0,2,1.0
