block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,4.222424,4.375,1.0,1,1.0
1.0,2.0,1.5,1.062124,4.375,1.0,1,1.0
2.0,3.0,2.5,1.0581,4.375,1.0,1,1.0
3.0,4.0,3.5,1.059158,4.375,1.0,1,1.0
4.0,5.0,4.5,3.302448,4.375,1.0,1,1.0
5.0,6.0,5.5,4.091828,4.375,1.0,1,1.0
6.0,7.0,6.5,4.110695,4.375,1.0,1,1.0
7.0,8.0,7.5,3.662977,4.375,1.0,1,1.0
8.0,9.0,8.5,4.13754,4.468453,1.0,2,1.0
9.0,10.0,9.5,4.427656,4.625,1.0,1,1.0
10.0,11.0,10.5,3.913124,4.625,1.0,1,1.0
11.0,12.0,11.5,3.652728,4.625,1.0,1,1.0
12.0,13.0,12.5,1.060037,4.625,1.0,1,1.0
13.0,14.0,13.5,1.059755,4.625,1.0,1,1.0
14.0,15.0,14.5,2.591681,4.625,1.0,1,1.0
15.0,16.0,15.5,4.294926,4.625,1.0,1,1.0
16.0,17.0,16.5,3.698709,4.467516,1.0,2,1.0
17.0,18.0,17.5,3.861211,4.375,1.0,1,1.0
18.0,19.0,18.5,3.56646,4.375,1.0,1,1.0
19.0,20.0,19.5,3.477734,4.375,1.0,1,1.0
20.0,21.0,20.5,3.397717,4.375,1.0,1,1.0
21.0,22.0,21.5,3.517468,4.157531,1.0,2,1.0
22.0,23.0,22.5,1.058908,4.125,1.0,1,1.0
23.0,24.0,23.5,1.059843,4.125,1.0,1,1.0
24.0,25.0,24.5,4.112262,4.125,1.0,1,1.0
25.0,26.0,25.5,1.25019,4.125,1.0,1,1.0
26.0,27.0,26.5,1.057628,4.125,1.0,1,1.0
27.0,28.0,27.5,3.114838,4.125,1.0,1,1.0
28.0,29.0,28.5,4.517989,4.125,1.0,1,1.0
29.0,30.0,29.5,4.300059,4.125,1.0,1,1.0
30.0,31.0,30.5,4.151504,4.735547,1.0,2,1.0
31.0,32.0,31.5,1.060629,4.875,1.0,1,1.0
