seconds,mos_pred_concat,mos_target_concat_durw
11.41,3.248238,3.25
15.86825,3.193287,3.636312
24.70325,3.129568,3.364032
29.50975,3.284256,3.508337
42.66475,3.057167,3.158891
51.128437,3.024302,3.33951
61.943437,3.03254,3.345707
69.664062,3.063193,3.45978
76.554063,2.932169,3.47465
78.910875,2.933789,3.47914
92.880875,2.899668,3.388273
101.507063,2.928726,3.472126
114.772063,2.901841,3.432006
119.532125,2.918903,3.469559
123.897125,2.908657,3.448612
133.719188,2.914757,3.553384
148.399188,2.850276,3.548103
156.793188,2.891366,3.599064
161.613188,2.89496,3.599837
166.071438,2.914567,3.627358
175.941438,2.902287,3.627226
180.747938,2.944163,3.643787
190.432938,2.929965,3.617402
