block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,3.970189,4.5,1.0,1,1.0
1.0,2.0,1.5,4.251369,4.5,1.0,1,1.0
2.0,3.0,2.5,3.797722,4.5,1.0,1,1.0
3.0,4.0,3.5,3.663078,4.5,1.0,1,1.0
4.0,5.0,4.5,4.232823,4.5,1.0,1,1.0
5.0,6.0,5.5,3.96329,4.5,1.0,1,1.0
6.0,7.0,6.5,3.101454,4.415367,1.0,2,1.0
7.0,8.0,7.5,4.182515,4.375,1.0,1,1.0
8.0,9.0,8.5,4.02833,4.375,1.0,1,1.0
9.0,10.0,9.5,3.364799,4.375,1.0,1,1.0
10.0,11.0,10.5,4.170448,4.375,1.0,1,1.0
11.0,12.0,11.5,4.282561,4.260375,1.0,2,1.0
12.0,13.0,12.5,3.828949,4.25,1.0,1,1.0
13.0,14.0,13.5,3.710338,4.25,1.0,1,1.0
14.0,15.0,14.5,4.108484,4.25,1.0,1,1.0
15.0,16.0,15.5,4.285463,4.25,1.0,1,1.0
16.0,17.0,16.5,4.183489,4.845273,1.0,2,1.0
17.0,18.0,17.5,3.825084,4.875,1.0,1,1.0
18.0,19.0,18.5,3.459664,4.875,1.0,1,1.0
19.0,20.0,19.5,4.257481,4.875,1.0,1,1.0
20.0,21.0,20.5,3.266754,4.875,1.0,1,1.0
21.0,22.0,21.5,3.920171,4.875,1.0,1,1.0
22.0,23.0,22.5,3.937008,4.875,1.0,1,1.0
23.0,24.0,23.5,3.999584,4.875,1.0,1,1.0
24.0,25.0,24.5,4.009776,4.875,1.0,1,1.0
25.0,26.0,25.5,3.723372,4.728328,1.0,2,1.0
26.0,27.0,26.5,4.406307,3.75,1.0,1,1.0
27.0,28.0,27.5,4.204375,3.75,1.0,1,1.0
28.0,29.0,28.5,2.91338,3.75,1.0,1,1.0
29.0,30.0,29.5,4.226135,3.75,1.0,1,1.0
30.0,31.0,30.5,3.593272,3.75,1.0,1,1.0
31.0,32.0,31.5,4.186876,3.75,1.0,1,1.0
32.0,33.0,32.5,4.010596,4.146609,1.0,2,1.0
33.0,34.0,33.5,4.347336,4.5,1.0,1,1.0
34.0,35.0,34.5,4.117808,4.5,1.0,1,1.0
35.0,36.0,35.5,4.183689,4.5,1.0,1,1.0
36.0,37.0,36.5,4.240712,4.5,1.0,1,1.0
37.0,38.0,37.5,3.870376,4.5,1.0,1,1.0
38.0,39.0,38.5,4.06966,4.5,1.0,1,1.0
39.0,40.0,39.5,4.213321,4.5,1.0,1,1.0
40.0,41.0,40.5,4.115602,4.466297,1.0,2,1.0
41.0,42.0,41.5,4.447319,4.25,1.0,1,1.0
42.0,43.0,42.5,4.273984,4.25,1.0,1,1.0
43.0,44.0,43.5,4.202535,4.25,1.0,1,1.0
44.0,45.0,44.5,3.665435,4.25,1.0,1,1.0
45.0,46.0,45.5,4.243289,4.25,1.0,1,1.0
46.0,47.0,46.5,4.415591,4.25,1.0,1,1.0
47.0,48.0,47.5,4.399099,4.25,1.0,1,1.0
48.0,49.0,48.5,4.237891,4.25,1.0,1,1.0
49.0,50.0,49.5,4.118607,4.25,1.0,1,1.0
