seconds,mos_pred_concat,mos_target_concat_durw
4.794937,2.901425,3.25
14.479938,3.071187,3.166393
16.209813,3.166909,3.295373
26.079813,3.157384,3.420121
35.669625,3.307484,3.777661
40.489625,3.334858,3.759487
49.348063,3.513256,3.8251
64.028063,3.383412,3.750563
68.962313,3.429361,3.795242
73.327313,3.440346,3.740462
78.505375,3.355636,3.782315
91.770375,3.315453,3.687303
96.29825,3.26464,3.707883
110.26825,3.242189,3.602364
116.688562,3.291702,3.658631
123.578562,3.258648,3.656755
125.087875,3.246618,3.669947
135.902875,3.259804,3.646475
140.546875,3.280095,3.674678
153.701875,3.253113,3.563441
159.425625,3.287693,3.583602
168.260625,3.279148,3.546395
175.691,3.288699,3.528573
187.101,3.293398,3.511585
