block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,2.890516,3.25,1.0,1,1.0
1.0,2.0,1.5,3.955542,3.25,1.0,1,1.0
2.0,3.0,2.5,3.99781,3.25,1.0,1,1.0
3.0,4.0,3.5,4.128088,3.25,1.0,1,1.0
4.0,5.0,4.5,4.208558,3.455063,1.0,2,1.0
5.0,6.0,5.5,4.224123,4.25,1.0,1,1.0
6.0,7.0,6.5,4.27455,4.25,1.0,1,1.0
7.0,8.0,7.5,4.492485,4.25,1.0,1,1.0
8.0,9.0,8.5,4.433858,4.25,1.0,1,1.0
9.0,10.0,9.5,4.172238,4.29982,1.0,2,1.0
10.0,11.0,10.5,4.235222,4.375,1.0,1,1.0
11.0,12.0,11.5,4.221936,4.542172,1.0,2,1.0
12.0,13.0,12.5,4.233214,4.625,1.0,1,1.0
13.0,14.0,13.5,3.909349,4.625,1.0,1,1.0
14.0,15.0,14.5,4.23878,4.625,1.0,1,1.0
15.0,16.0,15.5,4.280701,4.651305,1.0,2,1.0
16.0,17.0,16.5,4.484336,4.75,1.0,1,1.0
17.0,18.0,17.5,4.503433,4.75,1.0,1,1.0
18.0,19.0,18.5,3.933227,4.75,1.0,1,1.0
19.0,20.0,19.5,4.497324,4.75,1.0,1,1.0
20.0,21.0,20.5,3.971611,4.75,1.0,1,1.0
21.0,22.0,21.5,3.563888,4.75,1.0,1,1.0
22.0,23.0,22.5,4.182265,4.75,1.0,1,1.0
23.0,24.0,23.5,3.978887,4.75,1.0,1,1.0
24.0,25.0,24.5,4.381405,4.75,1.0,1,1.0
25.0,26.0,25.5,3.997966,4.594844,1.0,2,1.0
26.0,27.0,26.5,4.363737,4.5,1.0,1,1.0
27.0,28.0,27.5,3.557754,4.5,1.0,1,1.0
28.0,29.0,28.5,4.269816,4.5,1.0,1,1.0
29.0,30.0,29.5,4.077543,4.5,1.0,1,1.0
30.0,31.0,30.5,4.437284,4.5,1.0,1,1.0
31.0,32.0,31.5,4.006735,4.5,1.0,1,1.0
32.0,33.0,32.5,4.516064,4.5,1.0,1,1.0
33.0,34.0,33.5,4.306984,4.415016,1.0,2,1.0
34.0,35.0,34.5,4.573487,4.125,1.0,1,1.0
35.0,36.0,35.5,4.194159,4.125,1.0,1,1.0
36.0,37.0,36.5,4.104129,4.125,1.0,1,1.0
37.0,38.0,37.5,4.283111,4.125,1.0,1,1.0
38.0,39.0,38.5,4.194831,4.125,1.0,1,1.0
39.0,40.0,39.5,4.201282,4.125,1.0,1,1.0
40.0,41.0,40.5,4.164948,4.125,1.0,1,1.0
41.0,42.0,41.5,3.907548,4.125,1.0,1,1.0
42.0,43.0,42.5,4.416852,4.401141,1.0,2,1.0
43.0,44.0,43.5,4.369716,4.875,1.0,1,1.0
44.0,45.0,44.5,4.065964,4.875,1.0,1,1.0
45.0,46.0,45.5,4.28263,4.875,1.0,1,1.0
46.0,47.0,46.5,3.365756,4.875,1.0,1,1.0
47.0,48.0,47.5,4.104001,4.875,1.0,1,1.0
48.0,49.0,48.5,4.227844,4.875,1.0,1,1.0
49.0,50.0,49.5,4.371029,4.875,1.0,1,1.0
50.0,51.0,50.5,4.154754,4.875,1.0,1,1.0
51.0,52.0,51.5,4.223356,4.875,1.0,1,1.0
52.0,53.0,52.5,4.354569,4.601938,1.0,2,1.0
53.0,54.0,53.5,4.38637,4.375,1.0,1,1.0
54.0,55.0,54.5,4.083949,4.375,1.0,1,1.0
55.0,56.0,55.5,4.592369,4.375,1.0,1,1.0
56.0,57.0,56.5,4.312679,4.375,1.0,1,1.0
57.0,58.0,57.5,3.816299,4.375,1.0,2,1.0
58.0,59.0,58.5,4.34497,4.375,1.0,1,1.0
59.0,60.0,59.5,4.189807,4.375,1.0,1,1.0
60.0,61.0,60.5,4.185893,4.375,1.0,1,1.0
61.0,62.0,61.5,4.055972,4.375,1.0,1,1.0
62.0,63.0,62.5,4.092558,4.375,1.0,2,1.0
63.0,64.0,63.5,3.288975,4.375,1.0,1,1.0
64.0,65.0,64.5,4.325864,4.375,1.0,1,1.0
65.0,66.0,65.5,4.457572,4.375,1.0,1,1.0
66.0,67.0,66.5,4.196901,4.375,1.0,1,1.0
67.0,68.0,67.5,4.112353,4.375,1.0,2,1.0
68.0,69.0,68.5,4.20657,4.375,1.0,1,1.0
69.0,70.0,69.5,4.062884,4.375,1.0,1,1.0
70.0,71.0,70.5,4.263441,4.375,1.0,1,1.0
71.0,72.0,71.5,4.384877,4.375,1.0,1,1.0
