block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,3.216532,3.125,1.0,1,1.0
1.0,2.0,1.5,3.17284,3.125,1.0,1,1.0
2.0,3.0,2.5,2.66892,3.125,1.0,1,1.0
3.0,4.0,3.5,2.757815,3.125,1.0,1,1.0
4.0,5.0,4.5,3.391924,3.125,1.0,1,1.0
5.0,6.0,5.5,3.348716,3.125,1.0,1,1.0
6.0,7.0,6.5,3.025249,3.125,1.0,1,1.0
7.0,8.0,7.5,3.264324,3.125,1.0,1,1.0
8.0,9.0,8.5,3.202286,3.125,1.0,1,1.0
9.0,10.0,9.5,2.373742,2.81,1.0,2,1.0
10.0,11.0,10.5,3.141253,2.125,1.0,1,1.0
11.0,12.0,11.5,2.963674,2.125,1.0,1,1.0
12.0,13.0,12.5,3.104622,2.125,1.0,1,1.0
13.0,14.0,13.5,2.830056,2.125,1.0,1,1.0
14.0,15.0,14.5,2.210435,2.125,1.0,1,1.0
15.0,16.0,15.5,2.980178,2.125,1.0,1,1.0
16.0,17.0,16.5,2.384858,2.125,1.0,1,1.0
17.0,18.0,17.5,3.037522,2.125,1.0,1,1.0
18.0,19.0,18.5,2.604575,2.125,1.0,1,1.0
19.0,20.0,19.5,2.881164,2.125,1.0,1,1.0
20.0,21.0,20.5,2.279404,2.125,1.0,1,1.0
21.0,22.0,21.5,2.666101,2.125,1.0,1,1.0
22.0,23.0,22.5,3.416354,2.125,1.0,1,1.0
23.0,24.0,23.5,2.754979,2.229719,1.0,2,1.0
24.0,25.0,24.5,2.932734,3.625,1.0,1,1.0
25.0,26.0,25.5,3.409605,3.625,1.0,1,1.0
26.0,27.0,26.5,2.904111,3.625,1.0,1,1.0
27.0,28.0,27.5,3.061473,3.625,1.0,1,1.0
28.0,29.0,28.5,3.001976,3.625,1.0,1,1.0
29.0,30.0,29.5,3.070647,3.625,1.0,1,1.0
30.0,31.0,30.5,3.382697,3.625,1.0,1,1.0
31.0,32.0,31.5,3.052968,3.625,1.0,1,1.0
32.0,33.0,32.5,3.112264,3.625,1.0,1,1.0
33.0,34.0,33.5,3.336761,3.500117,1.0,2,1.0
34.0,35.0,34.5,2.400679,3.0,1.0,1,1.0
35.0,36.0,35.5,3.105934,3.0,1.0,1,1.0
36.0,37.0,36.5,3.096601,3.0,1.0,1,1.0
