block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,3.12976,2.125,1.0,1,1.0
1.0,2.0,1.5,3.046204,2.125,1.0,1,1.0
2.0,3.0,2.5,2.742675,2.125,1.0,1,1.0
3.0,4.0,3.5,2.103289,2.125,1.0,1,1.0
4.0,5.0,4.5,2.270839,2.125,1.0,1,1.0
5.0,6.0,5.5,3.025894,2.125,1.0,1,1.0
6.0,7.0,6.5,3.041456,2.125,1.0,1,1.0
7.0,8.0,7.5,2.239785,2.125,1.0,1,1.0
8.0,9.0,8.5,3.007122,2.125,1.0,1,1.0
9.0,10.0,9.5,2.99736,2.125,1.0,1,1.0
10.0,11.0,10.5,2.106979,2.125,1.0,1,1.0
11.0,12.0,11.5,2.715259,2.125,1.0,1,1.0
12.0,13.0,12.5,2.717478,2.125,1.0,1,1.0
13.0,14.0,13.5,2.997379,2.125,1.0,1,1.0
14.0,15.0,14.5,4.478765,3.728977,1.0,2,1.0
15.0,16.0,15.5,4.295043,4.25,1.0,1,1.0
16.0,17.0,16.5,4.618034,4.25,1.0,1,1.0
17.0,18.0,17.5,4.448247,4.25,1.0,1,1.0
18.0,19.0,18.5,4.285983,4.25,1.0,1,1.0
19.0,20.0,19.5,1.549469,3.064609,1.0,2,1.0
20.0,21.0,20.5,3.027509,3.0,1.0,1,1.0
21.0,22.0,21.5,3.134067,3.0,1.0,1,1.0
22.0,23.0,22.5,2.830237,3.0,1.0,1,1.0
23.0,24.0,23.5,3.078595,3.0,1.0,1,1.0
24.0,25.0,24.5,2.989555,3.0,1.0,1,1.0
25.0,26.0,25.5,3.120054,3.0,1.0,1,1.0
26.0,27.0,26.5,2.960603,3.0,1.0,1,1.0
27.0,28.0,27.5,2.72488,3.0,1.0,1,1.0
28.0,29.0,28.5,2.9465,3.0,1.0,1,1.0
29.0,30.0,29.5,3.073937,3.0,1.0,1,1.0
30.0,31.0,30.5,2.953715,3.0,1.0,1,1.0
31.0,32.0,31.5,3.09559,3.0,1.0,1,1.0
32.0,33.0,32.5,4.241304,4.167055,1.0,2,1.0
33.0,34.0,33.5,4.270458,4.625,1.0,1,1.0
34.0,35.0,34.5,4.017602,4.625,1.0,1,1.0
35.0,36.0,35.5,4.239813,4.625,1.0,1,1.0
36.0,37.0,36.5,3.472724,4.137617,1.0,2,1.0
37.0,38.0,37.5,3.390508,2.75,1.0,1,1.0
38.0,39.0,38.5,3.137569,2.75,1.0,1,1.0
39.0,40.0,39.5,2.69447,2.75,1.0,1,1.0
40.0,41.0,40.5,3.188976,2.75,1.0,1,1.0
41.0,42.0,41.5,2.960785,2.75,1.0,1,1.0
42.0,43.0,42.5,2.829848,2.75,1.0,1,1.0
43.0,44.0,43.5,4.001577,3.633531,1.0,2,1.0
44.0,45.0,44.5,4.387688,4.5,1.0,1,1.0
45.0,46.0,45.5,3.866052,4.5,1.0,1,1.0
46.0,47.0,46.5,4.480763,4.5,1.0,1,1.0
47.0,48.0,47.5,4.111653,4.5,1.0,1,1.0
48.0,49.0,48.5,4.452116,4.5,1.0,1,1.0
49.0,50.0,49.5,4.154627,4.5,1.0,1,1.0
50.0,51.0,50.5,4.297781,4.5,1.0,1,1.0
51.0,52.0,51.5,4.20686,4.333687,1.0,2,1.0
52.0,53.0,52.5,2.953702,3.0,1.0,1,1.0
53.0,54.0,53.5,3.129451,3.0,1.0,1,1.0
54.0,55.0,54.5,2.724284,3.0,1.0,1,1.0
55.0,56.0,55.5,3.225449,3.0,1.0,1,1.0
56.0,57.0,56.5,3.037814,3.0,1.0,1,1.0
57.0,58.0,57.5,3.173876,3.0,1.0,1,1.0
58.0,59.0,58.5,2.880947,3.0,1.0,1,1.0
59.0,60.0,59.5,3.250848,3.0,1.0,1,1.0
60.0,61.0,60.5,3.190038,3.0,1.0,1,1.0
61.0,62.0,61.5,2.891156,3.0,1.0,1,1.0
62.0,63.0,62.5,2.061614,3.0,1.0,1,1.0
63.0,64.0,63.5,3.165307,3.0,1.0,1,1.0
64.0,65.0,64.5,3.103299,3.0,1.0,1,1.0
65.0,66.0,65.5,3.156694,3.0,1.0,1,1.0
66.0,67.0,66.5,2.868033,3.0,1.0,1,1.0
67.0,68.0,67.5,2.616178,3.0,1.0,1,1.0
68.0,69.0,68.5,2.838901,3.0,1.0,1,1.0
69.0,70.0,69.5,3.131276,3.0,1.0,1,1.0
70.0,71.0,70.5,3.042862,3.0,1.0,1,1.0
71.0,72.0,71.5,3.094407,3.0,1.0,1,1.0
72.0,73.0,72.5,3.762266,4.238789,1.0,2,1.0
73.0,74.0,73.5,3.007646,4.875,1.0,1,1.0
74.0,75.0,74.5,4.392244,4.875,1.0,1,1.0
75.0,76.0,75.5,3.416034,4.875,1.0,1,1.0
76.0,77.0,76.5,3.790921,4.875,1.0,1,1.0
77.0,78.0,77.5,4.485734,4.875,1.0,1,1.0
78.0,79.0,78.5,4.212296,4.875,1.0,1,1.0
79.0,80.0,79.5,4.415332,4.875,1.0,1,1.0
80.0,81.0,80.5,4.171404,4.875,1.0,1,1.0
81.0,82.0,81.5,4.424838,4.875,1.0,1,1.0
82.0,83.0,82.5,2.929386,2.883266,1.0,2,1.0
83.0,84.0,83.5,2.941279,2.5,1.0,1,1.0
84.0,85.0,84.5,2.89121,2.5,1.0,1,1.0
85.0,86.0,85.5,3.028265,2.5,1.0,1,1.0
86.0,87.0,86.5,2.961308,2.5,1.0,1,1.0
87.0,88.0,87.5,3.141755,2.5,1.0,1,1.0
88.0,89.0,88.5,3.842713,3.753555,1.0,2,1.0
89.0,90.0,89.5,4.237199,4.375,1.0,1,1.0
90.0,91.0,90.5,4.257078,4.375,1.0,1,1.0
91.0,92.0,91.5,4.119304,4.375,1.0,1,1.0
92.0,93.0,92.5,4.139519,4.375,1.0,1,1.0
93.0,94.0,93.5,1.779665,2.785125,1.0,2,1.0
94.0,95.0,94.5,2.558122,2.625,1.0,1,1.0
95.0,96.0,95.5,2.883151,2.625,1.0,1,1.0
96.0,97.0,96.5,3.430997,2.625,1.0,1,1.0
97.0,98.0,97.5,3.11245,2.625,1.0,1,1.0
98.0,99.0,98.5,3.056,2.625,1.0,1,1.0
99.0,100.0,99.5,2.61156,2.625,1.0,1,1.0
100.0,101.0,100.5,2.998612,2.625,1.0,1,1.0
101.0,102.0,101.5,3.109494,2.625,1.0,1,1.0
102.0,103.0,102.5,2.873477,2.625,1.0,1,1.0
103.0,104.0,103.5,2.887681,2.625,1.0,1,1.0
104.0,105.0,104.5,2.993001,2.625,1.0,1,1.0
105.0,106.0,105.5,3.077354,2.625,1.0,1,1.0
106.0,107.0,106.5,3.073585,2.625,1.0,1,1.0
107.0,108.0,107.5,3.213418,2.625,1.0,1,1.0
108.0,109.0,108.5,3.114841,2.625,1.0,1,1.0
109.0,110.0,109.5,3.437856,3.777156,1.0,2,1.0
110.0,111.0,110.5,4.113759,4.375,1.0,1,1.0
111.0,112.0,111.5,4.097764,4.375,1.0,1,1.0
112.0,113.0,112.5,4.432886,4.375,1.0,1,1.0
113.0,114.0,113.5,4.363136,4.375,1.0,1,1.0
114.0,115.0,114.5,4.500056,4.375,1.0,1,1.0
115.0,116.0,115.5,4.418097,4.375,1.0,1,1.0
116.0,117.0,116.5,3.742635,4.375,1.0,1,1.0
117.0,118.0,117.5,4.008076,4.350859,1.0,2,1.0
118.0,119.0,118.5,2.890867,3.625,1.0,1,1.0
119.0,120.0,119.5,3.06181,3.625,1.0,1,1.0
120.0,121.0,120.5,2.974687,3.625,1.0,1,1.0
121.0,122.0,121.5,2.697993,3.625,1.0,1,1.0
122.0,123.0,122.5,2.924727,3.625,1.0,1,1.0
123.0,124.0,123.5,3.033119,3.625,1.0,1,1.0
124.0,125.0,124.5,3.155448,3.625,1.0,1,1.0
125.0,126.0,125.5,2.99503,3.625,1.0,1,1.0
126.0,127.0,126.5,2.946118,3.625,1.0,1,1.0
127.0,128.0,127.5,3.243122,3.625,1.0,1,1.0
128.0,129.0,128.5,3.058947,3.625,1.0,1,1.0
129.0,130.0,129.5,2.631889,3.625,1.0,1,1.0
130.0,131.0,130.5,2.912161,3.625,1.0,1,1.0
131.0,132.0,131.5,3.226638,3.625,1.0,1,1.0
132.0,133.0,132.5,3.178868,3.625,1.0,1,1.0
133.0,134.0,133.5,3.069183,3.625,1.0,1,1.0
134.0,135.0,134.5,3.065368,3.625,1.0,1,1.0
135.0,136.0,135.5,3.242354,3.625,1.0,1,1.0
136.0,137.0,136.5,2.551159,3.625,1.0,2,1.0
137.0,138.0,137.5,4.115189,3.625,1.0,1,1.0
138.0,139.0,138.5,4.371542,3.625,1.0,1,1.0
139.0,140.0,139.5,2.671946,3.053008,1.0,2,1.0
140.0,141.0,140.5,2.865153,3.0,1.0,1,1.0
141.0,142.0,141.5,2.254805,3.0,1.0,1,1.0
142.0,143.0,142.5,2.635601,3.0,1.0,1,1.0
143.0,144.0,143.5,2.91122,3.0,1.0,1,1.0
144.0,145.0,144.5,2.648797,3.0,1.0,1,1.0
145.0,146.0,145.5,2.264719,3.0,1.0,1,1.0
146.0,147.0,146.5,3.074573,3.0,1.0,1,1.0
147.0,148.0,147.5,2.973399,3.0,1.0,1,1.0
148.0,149.0,148.5,3.119559,3.0,1.0,1,1.0
149.0,150.0,149.5,2.934216,3.0,1.0,1,1.0
150.0,151.0,150.5,3.885462,3.735625,1.0,2,1.0
151.0,152.0,151.5,4.293371,4.375,1.0,1,1.0
152.0,153.0,152.5,4.163034,4.375,1.0,1,1.0
153.0,154.0,153.5,4.405933,4.375,1.0,1,1.0
154.0,155.0,154.5,3.980114,4.375,1.0,1,1.0
155.0,156.0,155.5,4.187495,4.375,1.0,1,1.0
156.0,157.0,156.5,4.221382,4.375,1.0,1,1.0
157.0,158.0,157.5,2.919724,4.375,1.0,1,1.0
158.0,159.0,158.5,2.986386,2.644453,1.0,2,1.0
159.0,160.0,159.5,2.664264,2.25,1.0,1,1.0
160.0,161.0,160.5,2.837679,2.25,1.0,1,1.0
161.0,162.0,161.5,2.902058,2.25,1.0,1,1.0
162.0,163.0,162.5,3.049608,2.25,1.0,1,1.0
163.0,164.0,163.5,3.068713,2.25,1.0,1,1.0
164.0,165.0,164.5,3.267921,2.25,1.0,1,1.0
165.0,166.0,165.5,2.526935,2.25,1.0,1,1.0
166.0,167.0,166.5,3.078484,2.25,1.0,1,1.0
167.0,168.0,167.5,3.243725,2.25,1.0,1,1.0
168.0,169.0,168.5,3.057258,2.25,1.0,1,1.0
169.0,170.0,169.5,3.143064,2.25,1.0,1,1.0
170.0,171.0,170.5,3.115875,2.25,1.0,1,1.0
171.0,172.0,171.5,3.24142,2.25,1.0,1,1.0
172.0,173.0,172.5,3.754858,4.0785,1.0,2,1.0
173.0,174.0,173.5,4.001891,4.25,1.0,1,1.0
174.0,175.0,174.5,4.36171,4.25,1.0,1,1.0
175.0,176.0,175.5,3.929727,4.25,1.0,1,1.0
176.0,177.0,176.5,3.209456,4.25,1.0,1,1.0
177.0,178.0,177.5,4.195229,4.25,1.0,1,1.0
178.0,179.0,178.5,4.378102,4.25,1.0,1,1.0
179.0,180.0,179.5,3.412307,4.25,1.0,1,1.0
180.0,180.549438,180.274719,3.9706,4.25,0.549438,1,1.0
