elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
6.226562,3.834142,2.75
17.247625,3.400155,3.229243
25.750437,3.326098,3.153547
30.9285,3.496424,3.358043
36.641937,3.509439,3.360687
41.322187,3.443085,3.390624
55.475,3.309085,3.354748
61.895312,3.426231,3.486509
70.75375,3.555823,3.566449
80.343562,3.674253,3.707718
91.188312,3.60221,3.683014
95.716187,3.645143,3.703923
100.650437,3.686158,3.736821
114.468187,3.614714,3.60261
119.263125,3.615946,3.588434
123.907125,3.655951,3.622599
133.054812,3.609051,3.61417
138.778562,3.658452,3.635239
140.287875,3.669187,3.647232
151.320625,3.639507,3.609156
164.854312,3.620894,3.600195
180.131312,3.581199,3.549292
181.861187,3.590563,3.557147
