block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,3.96518,4.25,1.0,1,1.0
1.0,2.0,1.5,3.335082,4.25,1.0,1,1.0
2.0,3.0,2.5,4.240004,4.25,1.0,1,1.0
3.0,4.0,3.5,4.19862,4.25,1.0,1,1.0
4.0,5.0,4.5,3.844882,4.25,1.0,1,1.0
5.0,6.0,5.5,4.219525,4.25,1.0,1,1.0
6.0,7.0,6.5,4.259309,4.25,1.0,1,1.0
7.0,8.0,7.5,3.558571,4.25,1.0,1,1.0
8.0,9.0,8.5,4.37672,4.25,1.0,2,1.0
9.0,10.0,9.5,4.599793,4.25,1.0,1,1.0
10.0,11.0,10.5,4.357294,4.25,1.0,1,1.0
11.0,12.0,11.5,3.86465,4.25,1.0,1,1.0
12.0,13.0,12.5,4.288167,4.25,1.0,1,1.0
13.0,14.0,13.5,4.300102,4.25,1.0,1,1.0
14.0,15.0,14.5,4.352175,4.25,1.0,1,1.0
15.0,16.0,15.5,4.243591,4.25,1.0,1,1.0
16.0,17.0,16.5,4.188287,4.25,1.0,1,1.0
17.0,18.0,17.5,4.317291,4.25,1.0,1,1.0
18.0,19.0,18.5,3.972629,4.335492,1.0,2,1.0
19.0,20.0,19.5,4.348935,4.375,1.0,1,1.0
20.0,21.0,20.5,4.30313,4.375,1.0,1,1.0
21.0,22.0,21.5,3.931091,4.375,1.0,1,1.0
22.0,23.0,22.5,4.312955,4.375,1.0,1,1.0
23.0,24.0,23.5,4.374193,4.605969,1.0,2,1.0
24.0,25.0,24.5,4.16011,4.625,1.0,1,1.0
25.0,26.0,25.5,4.041091,4.625,1.0,1,1.0
26.0,27.0,26.5,4.327401,4.625,1.0,1,1.0
27.0,28.0,27.5,4.5399,4.625,1.0,1,1.0
28.0,29.0,28.5,4.367868,4.625,1.0,2,1.0
29.0,30.0,29.5,4.485437,4.625,1.0,1,1.0
30.0,31.0,30.5,4.118425,4.625,1.0,1,1.0
31.0,32.0,31.5,4.253249,4.625,1.0,1,1.0
32.0,33.0,32.5,4.316725,4.712531,1.0,2,1.0
33.0,34.0,33.5,4.460757,4.875,1.0,1,1.0
34.0,35.0,34.5,4.408861,4.607891,1.0,2,1.0
