seconds,mos_pred_concat,mos_target_concat_durw
13.533687,2.569706,3.5
24.348687,2.717037,3.444479
35.36975,2.576199,3.461779
42.25975,2.559404,3.48839
48.486312,2.614725,3.393567
62.456312,2.659655,3.277576
76.274062,2.577698,3.159356
89.539062,2.599834,3.154266
103.691875,2.508246,3.167333
108.056875,2.52289,3.155524
112.737125,2.503255,3.175014
127.417125,2.535676,3.212456
142.694125,2.538924,3.18971
147.514125,2.552668,3.203933
153.227562,2.538193,3.210312
163.097562,2.554065,3.235407
173.942312,2.547493,3.251904
183.627312,2.550417,3.245211
192.775,2.552867,3.257301
