block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,3.097623,3.5,1.0,1,1.0
1.0,2.0,1.5,3.233956,3.5,1.0,1,1.0
2.0,3.0,2.5,3.289398,3.5,1.0,1,1.0
3.0,4.0,3.5,3.138239,3.5,1.0,1,1.0
4.0,5.0,4.5,3.155046,3.5,1.0,1,1.0
5.0,6.0,5.5,3.016333,3.5,1.0,1,1.0
6.0,7.0,6.5,3.419837,3.5,1.0,1,1.0
7.0,8.0,7.5,2.986922,3.5,1.0,1,1.0
8.0,9.0,8.5,3.183311,3.5,1.0,1,1.0
9.0,10.0,9.5,3.383214,3.5,1.0,1,1.0
10.0,11.0,10.5,4.093772,3.5,1.0,1,1.0
11.0,12.0,11.5,3.28227,3.5,1.0,1,1.0
12.0,13.0,12.5,3.383439,3.5,1.0,1,1.0
13.0,14.0,13.5,3.351038,3.441711,1.0,2,1.0
14.0,15.0,14.5,3.158641,3.375,1.0,1,1.0
15.0,16.0,15.5,3.286707,3.375,1.0,1,1.0
16.0,17.0,16.5,3.232577,3.375,1.0,1,1.0
17.0,18.0,17.5,3.424309,3.375,1.0,1,1.0
18.0,19.0,18.5,2.855438,3.375,1.0,1,1.0
19.0,20.0,19.5,3.21845,3.375,1.0,1,1.0
20.0,21.0,20.5,3.038496,3.375,1.0,1,1.0
21.0,22.0,21.5,3.315834,3.375,1.0,1,1.0
22.0,23.0,22.5,2.154401,3.375,1.0,1,1.0
23.0,24.0,23.5,2.770158,3.375,1.0,1,1.0
24.0,25.0,24.5,2.860831,3.456414,1.0,2,1.0
25.0,26.0,25.5,2.921574,3.5,1.0,1,1.0
26.0,27.0,26.5,3.058555,3.5,1.0,1,1.0
27.0,28.0,27.5,2.878566,3.5,1.0,1,1.0
28.0,29.0,28.5,3.288542,3.5,1.0,1,1.0
29.0,30.0,29.5,3.528009,3.5,1.0,1,1.0
30.0,31.0,30.5,3.024754,3.5,1.0,1,1.0
31.0,32.0,31.5,2.760371,3.5,1.0,1,1.0
32.0,33.0,32.5,3.084544,3.5,1.0,1,1.0
33.0,34.0,33.5,2.840172,3.5,1.0,1,1.0
34.0,35.0,34.5,3.064563,3.5,1.0,1,1.0
35.0,36.0,35.5,3.164321,3.578781,1.0,2,1.0
36.0,37.0,36.5,4.023061,3.625,1.0,1,1.0
37.0,38.0,37.5,2.777338,3.625,1.0,1,1.0
38.0,39.0,38.5,2.854561,3.625,1.0,1,1.0
39.0,40.0,39.5,2.208457,3.625,1.0,1,1.0
40.0,41.0,40.5,2.897347,3.625,1.0,1,1.0
41.0,42.0,41.5,3.159447,3.625,1.0,1,1.0
42.0,43.0,42.5,2.396481,2.977281,1.0,2,1.0
43.0,44.0,43.5,4.010304,2.75,1.0,1,1.0
44.0,45.0,44.5,3.005108,2.75,1.0,1,1.0
45.0,46.0,45.5,3.754719,2.75,1.0,1,1.0
46.0,47.0,46.5,3.112328,2.75,1.0,1,1.0
47.0,48.0,47.5,2.95272,2.75,1.0,1,1.0
48.0,49.0,48.5,3.43064,2.814211,1.0,2,1.0
49.0,50.0,49.5,2.939468,2.875,1.0,1,1.0
50.0,51.0,50.5,2.83999,2.875,1.0,1,1.0
51.0,52.0,51.5,2.946716,2.875,1.0,1,1.0
52.0,53.0,52.5,2.838507,2.875,1.0,1,1.0
53.0,54.0,53.5,3.11711,2.875,1.0,1,1.0
54.0,55.0,54.5,2.700911,2.875,1.0,1,1.0
55.0,56.0,55.5,3.025866,2.875,1.0,1,1.0
56.0,57.0,56.5,3.007138,2.875,1.0,1,1.0
57.0,58.0,57.5,2.535555,2.875,1.0,1,1.0
58.0,59.0,58.5,3.004849,2.875,1.0,1,1.0
59.0,60.0,59.5,2.89972,2.875,1.0,1,1.0
60.0,61.0,60.5,3.045691,2.875,1.0,1,1.0
61.0,62.0,61.5,3.171977,2.875,1.0,1,1.0
62.0,63.0,62.5,2.979124,2.739078,1.0,2,1.0
63.0,64.0,63.5,3.730889,2.625,1.0,1,1.0
64.0,65.0,64.5,3.141225,2.625,1.0,1,1.0
65.0,66.0,65.5,2.659642,2.625,1.0,1,1.0
66.0,67.0,66.5,3.377171,2.625,1.0,1,1.0
67.0,68.0,67.5,2.565201,2.625,1.0,1,1.0
68.0,69.0,68.5,2.717333,2.625,1.0,1,1.0
69.0,70.0,69.5,3.082053,2.625,1.0,1,1.0
70.0,71.0,70.5,3.172173,2.625,1.0,1,1.0
71.0,72.0,71.5,2.609907,2.625,1.0,1,1.0
72.0,73.0,72.5,3.038944,2.625,1.0,1,1.0
73.0,74.0,73.5,3.007709,2.625,1.0,1,1.0
74.0,75.0,74.5,2.962862,2.625,1.0,1,1.0
75.0,76.0,75.5,3.047043,2.625,1.0,1,1.0
76.0,77.0,76.5,2.688281,2.987969,1.0,2,1.0
77.0,78.0,77.5,2.894977,3.125,1.0,1,1.0
78.0,79.0,78.5,3.119384,3.125,1.0,1,1.0
79.0,80.0,79.5,2.912618,3.125,1.0,1,1.0
80.0,81.0,80.5,2.810413,3.125,1.0,1,1.0
81.0,82.0,81.5,2.961895,3.125,1.0,1,1.0
82.0,83.0,82.5,3.391173,3.125,1.0,1,1.0
83.0,84.0,83.5,3.175671,3.125,1.0,1,1.0
84.0,85.0,84.5,2.778906,3.125,1.0,1,1.0
85.0,86.0,85.5,3.154597,3.125,1.0,1,1.0
86.0,87.0,86.5,2.941984,3.125,1.0,1,1.0
87.0,88.0,87.5,2.923689,3.125,1.0,1,1.0
88.0,89.0,88.5,2.994435,3.125,1.0,1,1.0
89.0,90.0,89.5,3.074825,3.182617,1.0,2,1.0
90.0,91.0,90.5,2.553421,3.25,1.0,1,1.0
91.0,92.0,91.5,3.073727,3.25,1.0,1,1.0
92.0,93.0,92.5,3.45733,3.25,1.0,1,1.0
93.0,94.0,93.5,3.991271,3.25,1.0,1,1.0
94.0,95.0,94.5,3.212052,3.25,1.0,1,1.0
95.0,96.0,95.5,3.100377,3.25,1.0,1,1.0
96.0,97.0,96.5,2.446548,3.25,1.0,1,1.0
97.0,98.0,97.5,3.210397,3.25,1.0,1,1.0
98.0,99.0,98.5,3.163726,3.25,1.0,1,1.0
99.0,100.0,99.5,2.684477,3.25,1.0,1,1.0
100.0,101.0,100.5,3.207895,3.25,1.0,1,1.0
101.0,102.0,101.5,3.168712,3.25,1.0,1,1.0
102.0,103.0,102.5,3.271761,3.25,1.0,1,1.0
103.0,104.0,103.5,3.190609,3.134453,1.0,2,1.0
104.0,105.0,104.5,3.076064,2.875,1.0,1,1.0
105.0,106.0,105.5,3.142217,2.875,1.0,1,1.0
106.0,107.0,106.5,3.183931,2.875,1.0,1,1.0
107.0,108.0,107.5,2.833597,2.875,1.0,1,1.0
108.0,109.0,108.5,3.074542,3.582344,1.0,2,1.0
109.0,110.0,109.5,2.957229,3.625,1.0,1,1.0
110.0,111.0,110.5,2.974099,3.625,1.0,1,1.0
111.0,112.0,111.5,2.981125,3.625,1.0,1,1.0
112.0,113.0,112.5,3.175694,3.592141,1.0,2,1.0
113.0,114.0,113.5,3.073452,3.5,1.0,1,1.0
114.0,115.0,114.5,2.639223,3.5,1.0,1,1.0
115.0,116.0,115.5,2.853695,3.5,1.0,1,1.0
116.0,117.0,116.5,3.255578,3.5,1.0,1,1.0
117.0,118.0,117.5,2.699445,3.5,1.0,1,1.0
118.0,119.0,118.5,3.005042,3.5,1.0,1,1.0
119.0,120.0,119.5,2.452148,3.5,1.0,1,1.0
120.0,121.0,120.5,3.027522,3.5,1.0,1,1.0
121.0,122.0,121.5,2.932358,3.5,1.0,1,1.0
122.0,123.0,122.5,2.959814,3.5,1.0,1,1.0
123.0,124.0,123.5,2.789423,3.5,1.0,1,1.0
124.0,125.0,124.5,2.46166,3.5,1.0,1,1.0
125.0,126.0,125.5,3.133281,3.5,1.0,1,1.0
126.0,127.0,126.5,3.161602,3.5,1.0,1,1.0
127.0,128.0,127.5,2.56848,3.208562,1.0,2,1.0
128.0,129.0,128.5,3.072543,3.0,1.0,1,1.0
129.0,130.0,129.5,3.04746,3.0,1.0,1,1.0
130.0,131.0,130.5,3.310812,3.0,1.0,1,1.0
131.0,132.0,131.5,3.40573,3.0,1.0,1,1.0
132.0,133.0,132.5,3.052843,3.0,1.0,1,1.0
133.0,134.0,133.5,3.907609,3.0,1.0,1,1.0
134.0,135.0,134.5,3.442284,3.0,1.0,1,1.0
135.0,136.0,135.5,2.985555,3.0,1.0,1,1.0
136.0,137.0,136.5,3.472793,3.0,1.0,1,1.0
137.0,138.0,137.5,2.929474,3.0,1.0,1,1.0
138.0,139.0,138.5,3.096426,3.0,1.0,1,1.0
139.0,140.0,139.5,3.523378,3.0,1.0,1,1.0
140.0,141.0,140.5,3.600296,3.0,1.0,1,1.0
141.0,142.0,141.5,3.24352,3.0,1.0,1,1.0
142.0,143.0,142.5,3.111766,3.191172,1.0,2,1.0
143.0,144.0,143.5,3.133639,3.625,1.0,1,1.0
144.0,145.0,144.5,3.193372,3.625,1.0,1,1.0
145.0,146.0,145.5,2.823558,3.625,1.0,1,1.0
146.0,147.0,146.5,2.991126,3.625,1.0,1,1.0
147.0,148.0,147.5,2.90228,3.503531,1.0,2,1.0
148.0,149.0,148.5,3.028227,3.375,1.0,1,1.0
149.0,150.0,149.5,3.227952,3.375,1.0,1,1.0
150.0,151.0,150.5,3.895052,3.375,1.0,1,1.0
151.0,152.0,151.5,3.215277,3.375,1.0,1,1.0
152.0,153.0,152.5,2.913858,3.375,1.0,1,1.0
153.0,154.0,153.5,2.929294,3.568109,1.0,2,1.0
154.0,155.0,154.5,3.255575,3.625,1.0,1,1.0
155.0,156.0,155.5,3.249928,3.625,1.0,1,1.0
156.0,157.0,156.5,2.695643,3.625,1.0,1,1.0
157.0,158.0,157.5,2.991295,3.625,1.0,1,1.0
158.0,159.0,158.5,2.841564,3.625,1.0,1,1.0
159.0,160.0,159.5,3.197458,3.625,1.0,1,1.0
160.0,161.0,160.5,3.489889,3.625,1.0,1,1.0
161.0,162.0,161.5,2.991904,3.625,1.0,1,1.0
162.0,163.0,162.5,3.355482,3.625,1.0,1,1.0
163.0,164.0,163.5,3.038235,3.512195,1.0,2,1.0
164.0,165.0,164.5,3.332072,3.5,1.0,1,1.0
165.0,166.0,165.5,2.580467,3.5,1.0,1,1.0
166.0,167.0,166.5,3.186572,3.5,1.0,1,1.0
167.0,168.0,167.5,2.871987,3.5,1.0,1,1.0
168.0,169.0,168.5,3.304193,3.5,1.0,1,1.0
169.0,170.0,169.5,2.417962,3.5,1.0,1,1.0
170.0,171.0,170.5,2.540642,3.5,1.0,1,1.0
171.0,172.0,171.5,3.567413,3.5,1.0,1,1.0
172.0,173.0,172.5,2.051584,3.5,1.0,1,1.0
173.0,174.0,173.5,2.590554,3.478367,1.0,2,1.0
174.0,175.0,174.5,3.190674,3.125,1.0,1,1.0
175.0,176.0,175.5,3.057918,3.125,1.0,1,1.0
176.0,177.0,176.5,2.845296,3.125,1.0,1,1.0
177.0,178.0,177.5,2.700742,3.125,1.0,1,1.0
178.0,179.0,178.5,3.389489,3.125,1.0,1,1.0
179.0,180.0,179.5,3.25984,3.125,1.0,1,1.0
180.0,181.0,180.5,2.919395,3.125,1.0,1,1.0
181.0,182.0,181.5,3.239471,3.125,1.0,1,1.0
182.0,183.0,182.5,3.320737,3.125,1.0,1,1.0
183.0,184.0,183.5,2.377876,3.264758,1.0,2,1.0
184.0,185.0,184.5,2.683638,3.5,1.0,1,1.0
185.0,186.0,185.5,3.032808,3.5,1.0,1,1.0
186.0,187.0,186.5,3.038256,3.5,1.0,1,1.0
187.0,188.0,187.5,3.299166,3.5,1.0,1,1.0
188.0,189.0,188.5,3.242673,3.5,1.0,1,1.0
189.0,190.0,189.5,4.194783,3.5,1.0,1,1.0
190.0,191.0,190.5,2.898671,3.5,1.0,1,1.0
191.0,192.0,191.5,2.416328,3.5,1.0,1,1.0
192.0,192.775,192.3875,3.290356,3.5,0.775,1,1.0
