seconds,mos_pred_concat,mos_target_concat_durw
9.65,4.051651,2.666667
18.74,3.983916,3.313412
28.32,3.957394,3.304042
31.8,3.972947,3.372387
39.51,3.984085,3.319233
46.16,4.002368,3.345275
57.62,3.978507,3.197048
59.95,3.97903,3.223937
65.41,3.975527,3.180202
69.8,3.979912,3.20381
76.73,3.98593,3.223034
83.11,3.995136,3.253891
93.02,3.981561,3.181184
99.81,3.97868,3.227169
105.01,3.945613,3.196874
107.4,3.936915,3.204856
110.95,3.931876,3.18916
113.54,3.923338,3.20973
120.04,3.914102,3.168838
125.58,3.909726,3.217269
136.2,3.902138,3.174336
140.6,3.887918,3.203652
144.03,3.87712,3.190864
153.32,3.886019,3.212349
158.07,3.883113,3.203237
165.17,3.875089,3.21434
168.47,3.870879,3.208361
170.02,3.862949,3.214818
173.21,3.860162,3.205839
176.06,3.859907,3.222292
182.94,3.843745,3.185726
