elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
3.3,3.036651,2.909091
9.74,3.672857,2.418207
17.43,3.814566,2.795215
22.89,3.894741,2.772504
32.61,3.897854,2.67773
37.76,3.910412,2.721684
39.2,3.890749,2.759459
46.13,3.903672,2.85819
53.84,3.901982,2.892817
57.03,3.903937,2.883558
65.22,3.93,2.814463
75.13,3.926063,2.782406
77.56,3.935355,2.776169
80.99,3.929442,2.771531
87.49,3.937834,2.751358
93.99,3.927442,2.730832
98.74,3.925653,2.739407
103.52,3.924483,2.754992
108.72,3.919421,2.748314
112.27,3.916703,2.747238
121.51,3.917967,2.766459
132.97,3.91521,2.752113
142.62,3.924442,2.746331
152.2,3.92569,2.780282
154.84,3.922781,2.764847
160.64,3.924171,2.785373
166.14,3.909476,2.775925
176.76,3.917561,2.769361
179.56,3.915844,2.767287
186.8,3.929118,2.756928
