elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
9.09,4.367635,4.0
15.64,3.990301,3.771565
19.12,4.062434,3.800141
23.37,4.060586,3.791023
30.02,4.141587,3.726556
33.16,4.09485,3.726624
35.49,4.122873,3.737277
37.79,4.099385,3.708634
42.18,4.137333,3.692702
44.02,4.128113,3.676287
50.4,4.155094,3.669795
55.14,4.123415,3.612217
61.93,4.145962,3.639071
67.83,4.128384,3.626974
70.22,4.14574,3.624544
71.91,4.124854,3.613481
74.5,4.126663,3.630079
76.29,4.10909,3.617642
81.83,4.141076,3.661582
84.67,4.12396,3.610641
89.07,4.130323,3.635364
91.66,4.130295,3.622548
100.95,4.146249,3.615453
103.04,4.131846,3.623253
110.14,4.141894,3.612829
112.08,4.135992,3.60049
113.63,4.137483,3.604803
115.48,4.13495,3.604973
118.33,4.138783,3.619839
124.43,4.128695,3.612079
128.08,4.131216,3.604135
131.46,4.125161,3.582174
134.61,4.109146,3.584931
140.51,4.068129,3.567369
143.29,4.071319,3.568002
146.58,4.072535,3.567496
148.27,4.076806,3.56754
151.76,4.080163,3.573304
153.51,4.082229,3.571519
157.1,4.070731,3.575597
160.85,4.073645,3.576166
165.05,4.067353,3.553022
167.14,4.075006,3.558612
170.07,4.066093,3.547552
172.87,4.072176,3.548402
176.82,4.068565,3.546461
179.66,4.070602,3.539404
182.2,4.063325,3.521041
