elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
2.14,4.264585,3.545455
8.75,3.802915,3.699974
11.55,3.810997,3.442129
16.91,3.58671,3.497046
24.6,3.795914,3.426924
31.84,3.903147,3.216153
33.28,3.911881,3.239253
42.52,3.94838,3.187261
47.93,3.833933,3.26771
53.85,3.729052,3.268261
56.92,3.757898,3.293018
59.03,3.757325,3.309353
64.18,3.806378,3.284529
69.68,3.723329,3.222605
75.13,3.742009,3.236682
77.01,3.744307,3.241367
83.45,3.778298,3.15843
90.02,3.701629,3.192482
92.62,3.71433,3.219829
95.05,3.735162,3.203557
98.59,3.757274,3.178295
106.12,3.713871,3.159193
108.44,3.721052,3.147764
114.94,3.684612,3.111132
119.72,3.707644,3.109766
129.44,3.691025,3.060564
135.46,3.660627,3.047617
143.65,3.690015,3.006893
148.63,3.700348,2.99661
154.43,3.724108,3.009257
158.3,3.74018,3.00903
160.94,3.750094,2.990428
167.46,3.742913,3.008498
173.47,3.769639,3.011668
179.2,3.745794,3.024086
180.69,3.750441,3.020588
184.24,3.757227,3.021674
