seconds,mos_pred_concat,mos_target_concat_durw
6.88,3.706044,2.25
9.73,3.846684,2.827681
12.92,3.889751,2.80289
14.47,3.905904,2.922195
17.77,3.843248,2.919762
24.87,3.903577,3.074431
29.62,3.878191,3.047916
38.91,3.872332,3.166706
42.34,3.845988,3.126198
46.74,3.831332,3.218915
57.36,3.870657,3.116668
62.9,3.88391,3.217956
69.4,3.85787,3.146455
71.99,3.868036,3.180434
75.54,3.826508,3.158527
77.93,3.827903,3.170704
83.13,3.796009,3.135967
89.92,3.778479,3.190424
99.83,3.762479,3.128977
106.21,3.77104,3.158773
113.14,3.784643,3.174569
117.53,3.795259,3.1888
122.99,3.782912,3.1671
125.32,3.77143,3.18052
136.78,3.761095,3.131882
143.43,3.769358,3.148949
151.14,3.773389,3.146452
154.62,3.772658,3.164055
164.2,3.765854,3.171153
173.29,3.771198,3.214631
182.94,3.764959,3.185726
