block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,3.120125,3.75,1.0,1,1.0
1.0,2.0,1.5,4.112656,3.75,1.0,1,1.0
2.0,3.0,2.5,2.781771,3.75,1.0,1,1.0
3.0,4.0,3.5,3.93765,3.75,1.0,1,1.0
4.0,5.0,4.5,3.0581,3.75,1.0,1,1.0
5.0,6.0,5.5,4.004205,3.75,1.0,1,1.0
6.0,7.0,6.5,3.66981,3.8475,1.0,2,1.0
7.0,8.0,7.5,4.137143,4.0,1.0,1,1.0
8.0,9.0,8.5,4.052065,4.0,1.0,1,1.0
9.0,10.0,9.5,3.773729,4.0,1.0,1,1.0
10.0,11.0,10.5,3.953891,4.0,1.0,1,1.0
11.0,12.0,11.5,1.060122,4.0,1.0,1,1.0
12.0,13.0,12.5,1.060454,4.0,1.0,1,1.0
13.0,14.0,13.5,1.059417,4.0,1.0,1,1.0
14.0,15.0,14.5,3.135635,4.0,1.0,1,1.0
15.0,16.0,15.5,3.556523,3.781818,1.0,2,1.0
16.0,17.0,16.5,3.981954,3.272727,1.0,1,1.0
17.0,18.0,17.5,1.058295,3.272727,1.0,1,1.0
18.0,19.0,18.5,1.058682,3.272727,1.0,1,1.0
19.0,20.0,19.5,2.304869,3.272727,1.0,1,1.0
20.0,21.0,20.5,3.756211,3.272727,1.0,1,1.0
21.0,22.0,21.5,3.4925,3.521948,1.0,2,1.0
22.0,23.0,22.5,3.729444,3.928571,1.0,1,1.0
23.0,24.0,23.5,3.948413,3.928571,1.0,1,1.0
24.0,25.0,24.5,3.779992,3.928571,1.0,1,1.0
25.0,26.0,25.5,3.433438,3.011039,1.0,2,1.0
26.0,27.0,26.5,3.856906,2.909091,1.0,1,1.0
27.0,28.0,27.5,3.279097,2.909091,1.0,1,1.0
28.0,29.0,28.5,3.300725,2.909091,1.0,1,1.0
29.0,30.0,29.5,1.058306,2.909091,1.0,1,1.0
30.0,31.0,30.5,1.058062,2.909091,1.0,1,1.0
31.0,32.0,31.5,2.929042,2.909091,1.0,1,1.0
32.0,33.0,32.5,2.66047,3.127727,1.0,2,1.0
33.0,34.0,33.5,3.723889,3.5,1.0,1,1.0
34.0,35.0,34.5,4.132107,3.5,1.0,1,1.0
35.0,36.0,35.5,3.969724,3.5,1.0,1,1.0
36.0,37.0,36.5,4.297645,3.5,1.0,1,1.0
37.0,38.0,37.5,3.633673,3.5,1.0,1,1.0
38.0,39.0,38.5,4.01493,3.5,1.0,1,1.0
39.0,40.0,39.5,3.799215,3.583077,1.0,2,1.0
40.0,41.0,40.5,4.170856,3.615385,1.0,1,1.0
41.0,42.0,41.5,1.549327,3.615385,1.0,1,1.0
42.0,43.0,42.5,1.060174,3.615385,1.0,1,1.0
43.0,44.0,43.5,2.71001,3.615385,1.0,1,1.0
44.0,45.0,44.5,3.623383,3.713846,1.0,2,1.0
45.0,46.0,45.5,4.263504,3.888889,1.0,1,1.0
46.0,47.0,46.5,4.253301,3.878586,1.0,2,1.0
47.0,48.0,47.5,3.858597,3.545455,1.0,1,1.0
48.0,49.0,48.5,3.868517,3.545455,1.0,1,1.0
49.0,50.0,49.5,3.798633,3.554444,1.0,2,1.0
50.0,51.0,50.5,3.848288,3.555556,1.0,1,1.0
51.0,52.0,51.5,3.642703,3.555556,1.0,1,1.0
52.0,53.0,52.5,3.888553,3.555556,1.0,1,1.0
53.0,54.0,53.5,3.312181,3.590278,1.0,2,1.0
54.0,55.0,54.5,3.769269,3.625,1.0,1,1.0
55.0,56.0,55.5,1.059132,3.625,1.0,1,1.0
56.0,57.0,56.5,1.061431,3.625,1.0,1,1.0
57.0,58.0,57.5,1.059867,3.625,1.0,1,1.0
58.0,59.0,58.5,3.696424,3.625,1.0,1,1.0
59.0,60.0,59.5,4.541369,3.625,1.0,1,1.0
60.0,61.0,60.5,3.819595,3.625,1.0,2,1.0
61.0,62.0,61.5,3.720071,3.625,1.0,1,1.0
62.0,63.0,62.5,3.783085,3.625,1.0,1,1.0
63.0,64.0,63.5,3.995486,3.625,1.0,1,1.0
64.0,65.0,64.5,3.794966,3.625,1.0,1,1.0
65.0,66.0,65.5,4.219666,3.625,1.0,1,1.0
66.0,67.0,66.5,3.499943,3.323558,1.0,2,1.0
67.0,68.0,67.5,3.612971,3.076923,1.0,1,1.0
68.0,69.0,68.5,3.345124,3.076923,1.0,1,1.0
