seconds,mos_pred_concat,mos_target_concat_durw
9.09,4.137844,4.0
16.33,4.207583,3.334966
19.81,4.208053,3.439244
24.96,4.157576,3.348615
31.61,4.18348,3.380463
40.85,4.162588,3.294405
43.18,4.156571,3.326483
49.62,4.158531,3.175955
54.01,4.160071,3.206809
59.51,4.099185,3.141485
65.89,4.09109,3.188303
71.69,4.094038,3.200036
78.48,4.084391,3.256888
88.2,4.085274,3.168467
90.59,4.084481,3.178679
97.09,4.070031,3.133243
99.68,4.066983,3.158126
101.12,4.069361,3.166555
106.66,4.076574,3.223695
109.3,4.069962,3.191119
113.7,4.056698,3.226721
116.13,4.064756,3.213259
125.42,4.052994,3.237865
128.22,4.042568,3.22473
135.32,4.053372,3.237154
143.51,4.057334,3.185574
145.06,4.061762,3.193386
149.84,4.063348,3.189671
152.69,4.0596,3.208944
160.38,4.061265,3.212002
164.03,4.050412,3.214702
169.76,4.03323,3.220956
172.91,4.025781,3.229683
174.4,4.023578,3.224304
177.18,4.018411,3.230198
180.72,4.01766,3.215895
