seconds,mos_pred_concat,mos_target_concat_durw
4.4,4.046856,4.111111
9.6,4.051525,3.300926
18.89,4.07646,3.421184
22.44,4.0659,3.309353
31.53,4.084825,3.508464
38.41,4.004806,3.283048
49.03,4.030788,3.149539
52.51,4.035131,3.201167
59.44,4.026852,3.226292
62.87,4.025987,3.195761
72.78,4.046654,3.110749
77.17,4.047512,3.136053
83.67,4.037272,3.083109
90.77,4.03988,3.11271
98.48,4.050408,3.111715
108.06,4.054549,3.127141
114.85,4.052747,3.170299
121.23,4.062061,3.194229
126.77,4.060893,3.241095
133.42,4.073373,3.254
144.88,4.065887,3.202269
146.43,4.066411,3.209831
149.62,4.063638,3.199542
152.47,4.061099,3.218658
154.86,4.058614,3.223858
157.45,4.058692,3.23812
167.1,4.062685,3.205119
171.85,4.062081,3.196937
177.31,4.053219,3.181634
180.61,4.045913,3.176655
182.94,4.041422,3.185726
