block_start_s,block_end_s,block_mid_s,mos_pred_block_rm_durw,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,4.008706,2.222222,1.0,1,1.0
1.0,2.0,1.5,4.008706,2.222222,1.0,1,1.0
2.0,3.0,2.5,4.126306,2.626,1.0,2,1.0
3.0,4.0,3.5,4.264358,3.1,1.0,1,1.0
4.0,5.0,4.5,4.264358,3.1,1.0,1,1.0
5.0,6.0,5.5,4.106742,3.324154,1.0,2,1.0
6.0,7.0,6.5,4.010139,3.461538,1.0,1,1.0
7.0,8.0,7.5,4.010139,3.461538,1.0,1,1.0
8.0,9.0,8.5,4.010139,3.461538,1.0,1,1.0
9.0,10.0,9.5,4.270825,3.554308,1.0,2,1.0
10.0,11.0,10.5,4.399222,3.6,1.0,1,1.0
11.0,12.0,11.5,4.399222,3.6,1.0,1,1.0
12.0,13.0,12.5,3.970263,3.0055,1.0,2,1.0
13.0,14.0,13.5,3.906165,2.916667,1.0,1,1.0
14.0,15.0,14.5,3.906165,2.916667,1.0,1,1.0
15.0,16.0,15.5,4.42359,3.935,1.0,2,1.0
16.0,17.0,16.5,4.456617,4.0,1.0,1,1.0
17.0,18.0,17.5,4.034129,2.866667,1.0,2,1.0
18.0,19.0,18.5,3.959573,2.666667,1.0,1,1.0
19.0,20.0,19.5,3.959573,2.666667,1.0,1,1.0
20.0,21.0,20.5,3.959573,2.666667,1.0,1,1.0
21.0,22.0,21.5,3.961013,3.273333,1.0,2,1.0
22.0,23.0,22.5,3.961788,3.6,1.0,1,1.0
23.0,24.0,23.5,3.961788,3.6,1.0,1,1.0
24.0,25.0,24.5,3.961788,3.6,1.0,1,1.0
25.0,26.0,25.5,4.215214,3.735,1.0,2,1.0
26.0,27.0,26.5,4.243372,3.75,1.0,1,1.0
27.0,28.0,27.5,4.243372,3.75,1.0,1,1.0
28.0,29.0,28.5,4.135959,3.646667,1.0,2,1.0
29.0,30.0,29.5,3.896878,3.416667,1.0,1,1.0
30.0,31.0,30.5,4.12656,3.641515,1.0,2,1.0
31.0,32.0,31.5,4.307025,3.818182,1.0,1,1.0
32.0,33.0,32.5,4.307025,3.818182,1.0,1,1.0
33.0,34.0,33.5,4.31902,3.800909,1.0,2,1.0
34.0,35.0,34.5,4.478387,3.571429,1.0,1,1.0
35.0,36.0,35.5,4.327207,3.561558,1.0,2,1.0
36.0,37.0,36.5,4.080544,3.545455,1.0,1,1.0
37.0,38.0,37.5,4.080544,3.545455,1.0,1,1.0
38.0,39.0,38.5,4.084545,3.550364,1.0,2,1.0
39.0,40.0,39.5,4.124992,3.6,1.0,1,1.0
40.0,41.0,40.5,4.124992,3.6,1.0,1,1.0
41.0,42.0,41.5,3.981453,3.465667,1.0,2,1.0
42.0,43.0,42.5,3.661963,3.166667,1.0,1,1.0
43.0,44.0,43.5,3.661963,3.166667,1.0,1,1.0
44.0,45.0,44.5,3.661963,3.166667,1.0,1,1.0
45.0,46.0,45.5,3.661963,3.166667,1.0,1,1.0
46.0,47.0,46.5,3.661963,3.166667,1.0,1,1.0
47.0,48.0,47.5,3.70609,3.385333,1.0,2,1.0
48.0,49.0,48.5,3.76959,3.7,1.0,1,1.0
49.0,50.0,49.5,3.76959,3.7,1.0,1,1.0
50.0,51.0,50.5,3.749078,3.453,1.0,2,1.0
51.0,52.0,51.5,3.690699,2.75,1.0,1,1.0
52.0,53.0,52.5,3.690699,2.75,1.0,1,1.0
53.0,54.0,53.5,3.690699,2.75,1.0,1,1.0
54.0,55.0,54.5,3.927711,3.263333,1.0,2,1.0
55.0,56.0,55.5,3.960031,3.333333,1.0,1,1.0
56.0,57.0,56.5,3.960031,3.333333,1.0,1,1.0
57.0,58.0,57.5,3.9615,3.362821,1.0,2,1.0
58.0,59.0,58.5,3.96642,3.461538,1.0,1,1.0
59.0,60.0,59.5,3.96642,3.461538,1.0,1,1.0
60.0,61.0,60.5,3.96642,3.461538,1.0,1,1.0
61.0,62.0,61.5,3.96642,3.461538,1.0,1,1.0
62.0,63.0,62.5,3.96642,3.461538,1.0,1,1.0
63.0,64.0,63.5,3.99914,3.560427,1.0,2,1.0
64.0,65.0,64.5,4.218111,4.222222,1.0,1,1.0
65.0,66.0,65.5,4.218111,4.222222,1.0,1,1.0
66.0,67.0,66.5,4.042403,4.052308,1.0,2,1.0
67.0,68.0,67.5,3.590583,3.615385,1.0,1,1.0
