block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,2.863181,3.75,1.0,1,1.0
1.0,2.0,1.5,4.243364,3.75,1.0,1,1.0
2.0,3.0,2.5,2.524574,3.75,1.0,1,1.0
3.0,4.0,3.5,3.909934,3.75,1.0,1,1.0
4.0,5.0,4.5,2.69854,3.75,1.0,1,1.0
5.0,6.0,5.5,3.850648,3.75,1.0,1,1.0
6.0,7.0,6.5,3.820416,3.3275,1.0,2,1.0
7.0,8.0,7.5,3.910067,2.666667,1.0,1,1.0
8.0,9.0,8.5,4.423977,2.666667,1.0,1,1.0
9.0,10.0,9.5,4.176119,2.666667,1.0,1,1.0
10.0,11.0,10.5,3.966631,2.666667,1.0,1,1.0
11.0,12.0,11.5,3.839674,2.666667,1.0,1,1.0
12.0,13.0,12.5,3.236735,2.666667,1.0,1,1.0
13.0,14.0,13.5,4.116625,2.666667,1.0,1,1.0
14.0,15.0,14.5,2.973957,2.666667,1.0,1,1.0
15.0,16.0,15.5,3.998003,2.666667,1.0,1,1.0
16.0,17.0,16.5,3.385718,3.115152,1.0,2,1.0
17.0,18.0,17.5,3.804767,3.272727,1.0,1,1.0
18.0,19.0,18.5,3.548134,3.272727,1.0,1,1.0
19.0,20.0,19.5,3.909245,3.272727,1.0,1,1.0
20.0,21.0,20.5,3.208824,3.272727,1.0,1,1.0
21.0,22.0,21.5,3.817131,3.272727,1.0,1,1.0
22.0,23.0,22.5,3.300306,3.283377,1.0,2,1.0
23.0,24.0,23.5,3.644136,3.285714,1.0,1,1.0
24.0,25.0,24.5,3.884136,3.285714,1.0,1,1.0
25.0,26.0,25.5,4.005605,3.285714,1.0,1,1.0
26.0,27.0,26.5,3.802125,3.285714,1.0,1,1.0
27.0,28.0,27.5,4.151839,3.285714,1.0,1,1.0
28.0,29.0,28.5,3.635789,3.285714,1.0,1,1.0
29.0,30.0,29.5,3.412532,3.285714,1.0,1,1.0
30.0,31.0,30.5,3.795784,3.285714,1.0,1,1.0
31.0,32.0,31.5,3.688665,3.195325,1.0,2,1.0
32.0,33.0,32.5,3.602172,2.909091,1.0,1,1.0
33.0,34.0,33.5,3.843371,2.909091,1.0,1,1.0
34.0,35.0,34.5,3.506651,2.909091,1.0,1,1.0
35.0,36.0,35.5,3.060499,2.909091,1.0,1,1.0
36.0,37.0,36.5,3.704373,2.909091,1.0,1,1.0
37.0,38.0,37.5,3.986492,2.909091,1.0,1,1.0
38.0,39.0,38.5,3.684216,2.909091,1.0,1,1.0
39.0,40.0,39.5,3.111669,3.044636,1.0,2,1.0
40.0,41.0,40.5,3.924278,3.1,1.0,1,1.0
41.0,42.0,41.5,3.584434,3.1,1.0,1,1.0
42.0,43.0,42.5,4.261442,3.1,1.0,1,1.0
43.0,44.0,43.5,4.184027,3.1,1.0,1,1.0
44.0,45.0,44.5,3.93072,3.1,1.0,1,1.0
45.0,46.0,45.5,4.13625,3.1,1.0,1,1.0
