block_start_s,block_end_s,block_mid_s,mos_pred_block_concat,mos_target_block_durw,used_s,n_pieces,block_seconds
0.0,1.0,0.5,2.863181,3.75,1.0,1,1.0
1.0,2.0,1.5,4.243364,3.75,1.0,1,1.0
2.0,3.0,2.5,2.524574,3.75,1.0,1,1.0
3.0,4.0,3.5,3.909934,3.75,1.0,1,1.0
4.0,5.0,4.5,2.69854,3.75,1.0,1,1.0
5.0,6.0,5.5,3.850648,3.75,1.0,1,1.0
6.0,7.0,6.5,2.932737,3.634773,1.0,2,1.0
7.0,8.0,7.5,3.75202,3.454545,1.0,1,1.0
8.0,9.0,8.5,3.486002,3.454545,1.0,1,1.0
9.0,10.0,9.5,3.592435,3.454545,1.0,1,1.0
10.0,11.0,10.5,4.127281,3.454545,1.0,1,1.0
11.0,12.0,11.5,2.716472,3.454545,1.0,1,1.0
12.0,13.0,12.5,3.270849,3.454545,1.0,1,1.0
13.0,14.0,13.5,3.972745,3.301818,1.0,2,1.0
14.0,15.0,14.5,3.153695,3.272727,1.0,1,1.0
15.0,16.0,15.5,2.057574,3.272727,1.0,1,1.0
16.0,17.0,16.5,2.057574,3.272727,1.0,1,1.0
17.0,18.0,17.5,4.24848,3.272727,1.0,1,1.0
18.0,19.0,18.5,4.042304,3.272727,1.0,1,1.0
19.0,20.0,19.5,4.133898,3.711818,1.0,2,1.0
20.0,21.0,20.5,4.109471,3.75,1.0,1,1.0
21.0,22.0,21.5,1.992298,3.75,1.0,1,1.0
22.0,23.0,22.5,1.992298,3.75,1.0,1,1.0
23.0,24.0,23.5,2.692591,3.186591,1.0,2,1.0
24.0,25.0,24.5,4.263934,2.909091,1.0,1,1.0
25.0,26.0,25.5,3.74126,2.909091,1.0,1,1.0
26.0,27.0,26.5,3.407927,2.909091,1.0,1,1.0
27.0,28.0,27.5,2.11699,2.909091,1.0,1,1.0
28.0,29.0,28.5,2.11699,2.909091,1.0,1,1.0
29.0,30.0,29.5,1.571873,2.909091,1.0,1,1.0
30.0,31.0,30.5,3.684531,3.023636,1.0,2,1.0
31.0,32.0,31.5,2.804734,3.727273,1.0,1,1.0
32.0,33.0,32.5,1.916593,3.727273,1.0,1,1.0
33.0,34.0,33.5,3.830535,3.727273,1.0,1,1.0
34.0,35.0,34.5,4.147613,3.615385,1.0,1,1.0
35.0,36.0,35.5,4.377285,3.615385,1.0,1,1.0
36.0,37.0,36.5,2.035011,3.615385,1.0,1,1.0
37.0,38.0,37.5,2.035011,3.615385,1.0,1,1.0
38.0,39.0,38.5,4.132937,3.615385,1.0,1,1.0
39.0,40.0,39.5,4.30179,3.392205,1.0,2,1.0
40.0,41.0,40.5,3.023359,3.266667,1.0,1,1.0
41.0,42.0,41.5,3.533599,3.361455,1.0,2,1.0
42.0,43.0,42.5,4.115731,3.545455,1.0,1,1.0
43.0,44.0,43.5,3.854365,3.496364,1.0,2,1.0
44.0,45.0,44.5,3.449794,3.3,1.0,1,1.0
45.0,46.0,45.5,4.110893,3.417,1.0,2,1.0
