elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
6.88,3.935275,2.25
9.73,3.977169,2.827681
12.92,4.008069,2.80289
14.47,4.018567,2.922195
17.77,3.895674,2.919762
24.87,4.031989,3.074431
29.62,4.001768,3.047916
38.91,3.996585,3.166706
42.34,3.989257,3.126198
46.74,4.007771,3.218915
57.36,4.024727,3.116668
62.9,4.066686,3.217956
69.4,4.061862,3.146455
71.99,4.060189,3.180434
75.54,4.044374,3.158527
77.93,4.057743,3.170704
83.13,4.045706,3.135967
89.92,4.040944,3.190424
99.83,4.03085,3.128977
106.21,4.042993,3.158773
113.14,4.03867,3.174569
117.53,4.049979,3.1888
122.99,4.045224,3.1671
125.32,4.052448,3.18052
136.78,4.030053,3.131882
143.43,4.052051,3.148949
151.14,4.041629,3.146452
154.62,4.047416,3.164055
164.2,4.030411,3.171153
173.29,4.029408,3.214631
182.94,4.024376,3.185726
