seconds,mos_pred_concat,mos_target_concat_durw
3.54,4.097465,2.5
6.32,4.030177,2.983861
7.81,3.975102,2.910627
10.96,3.89842,3.1375
16.69,3.799828,3.227621
20.34,3.858679,3.246591
28.03,3.898303,3.253762
30.88,3.921696,3.343144
35.66,3.941932,3.307458
37.21,3.923163,3.332835
45.4,3.99556,3.152529
52.5,4.020568,3.194319
55.3,4.023691,3.166068
64.59,4.045641,3.220635
67.02,4.051591,3.197528
71.42,4.04304,3.253811
74.06,4.041843,3.204661
79.6,4.056304,3.278575
81.04,4.053091,3.286951
83.63,4.0553,3.31185
90.13,4.04904,3.253301
92.52,4.05203,3.261109
102.24,4.050466,3.184428
109.03,4.032123,3.226323
114.83,4.019717,3.231728
121.21,4.026915,3.252428
126.71,4.014188,3.219768
131.1,4.028229,3.231012
137.54,4.020953,3.181176
139.87,4.016725,3.192966
149.11,3.999744,3.181008
155.76,4.021962,3.194627
160.91,4.022109,3.188398
164.39,4.019908,3.204067
171.63,4.028936,3.174367
180.72,4.026088,3.215895
