elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
4.794937,4.01982,3.25
19.040125,2.876874,2.408312
20.77,2.997659,2.572112
34.000125,2.895955,2.738612
43.589937,3.190008,3.181119
50.345,3.196478,3.123273
59.203437,3.384552,3.273158
79.653625,3.320139,3.203028
84.587875,3.380922,3.271393
90.757938,3.349455,3.21895
95.936,3.414603,3.281347
112.186125,3.302065,3.186275
116.714,3.35459,3.222693
135.474187,3.269559,3.278404
141.8945,3.331616,3.339333
153.274687,3.28194,3.314139
154.784,3.289545,3.32814
168.684125,3.213012,3.239298
173.328125,3.24441,3.273076
191.653312,3.198676,3.235013
