seconds,mos_pred_concat,mos_target_concat_durw
1.92275,4.444542,4.875
6.72925,4.306896,4.428581
16.581625,4.457013,4.322473
21.039875,4.456177,4.386577
27.641437,4.46771,4.234544
36.035438,4.419473,4.296379
41.0,4.459027,4.290763
50.822063,4.411462,4.403675
57.145,4.378276,4.414333
61.905062,4.308534,4.411308
68.8085,4.346035,4.420207
77.434687,4.309788,4.415171
82.178687,4.313851,4.405636
84.5355,4.16414,4.383872
89.651,4.180432,4.397631
97.371625,4.123626,4.395836
103.65975,4.02279,4.394572
112.123437,4.005322,4.383659
118.771437,4.018795,4.404165
123.577937,4.0333,4.398168
125.500687,4.039322,4.405474
129.958937,4.02282,4.413005
139.811312,4.043014,4.401518
148.205312,4.042893,4.407096
154.806875,4.039216,4.379075
164.628937,4.028425,4.408662
169.5935,4.038237,4.404018
174.353562,4.048625,4.403226
180.6765,4.056811,4.406612
