elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
1.92275,4.444542,4.875
6.72925,4.328556,4.428581
16.581625,4.423397,4.322473
21.039875,4.203748,4.386577
27.641437,4.049742,4.234544
36.035438,4.01267,4.296379
41.0,4.094639,4.290763
50.822063,3.959605,4.403675
57.145,3.94152,4.414333
61.905062,3.954081,4.411308
68.8085,4.023957,4.420207
77.434687,3.957318,4.415171
82.178687,3.974529,4.405636
84.5355,3.972458,4.383872
89.651,4.000551,4.397631
97.371625,3.977675,4.395836
103.65975,3.998582,4.394572
112.123437,3.952554,4.383659
118.771437,3.979536,4.404165
123.577937,3.991306,4.398168
125.500687,3.99825,4.405474
129.958937,3.977274,4.413005
139.811312,4.013277,4.401518
148.205312,4.006328,4.407096
154.806875,3.987249,4.379075
164.628937,3.95197,4.408662
169.5935,3.973563,4.404018
174.353562,3.977148,4.403226
180.6765,3.970814,4.406612
