elapsed_s,mos_pred_rm_durw,mos_target_rm_durw
9.822062,4.086974,4.875
19.674437,4.287883,4.562019
26.322437,4.32494,4.609495
32.645375,4.380272,4.588288
37.405438,4.345227,4.561145
42.520938,4.359613,4.568827
47.264938,4.349159,4.536827
52.025,4.326809,4.52202
58.928438,4.364735,4.519441
65.251375,4.388561,4.517557
72.972,4.372835,4.502474
81.366,4.370399,4.502219
87.654125,4.366951,4.493092
92.112375,4.359842,4.499477
98.713938,4.372769,4.449355
107.107938,4.370924,4.453324
109.030688,4.372222,4.46076
111.3875,4.362236,4.443077
116.352063,4.376205,4.434838
120.810313,4.370443,4.441856
127.411875,4.379909,4.406009
132.218375,4.376356,4.400337
140.682063,4.341333,4.391293
150.534437,4.350944,4.382045
155.499,4.361757,4.37783
157.42175,4.362768,4.383902
167.243812,4.346571,4.412744
175.87,4.320478,4.410892
180.6765,4.319459,4.406612
